Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2		Asym3		Asym4	
465  Points		546  Points		466  Points		407  Points		375  Points		288  Points		484  Points		430  Points		375  Points		288  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.279504	330.9	2.45017e-005	0.0304748	1.00156	2.33623	0.341598	1248.86	0.559018	1542.53	0.838526	4388.15	0.139779	173.715	0.419263	3194.44	0.683191	1112.63	0.698772	2478.17
0.279487	157.336	0.000114235	0.0658154	0.999723	2.33701	0.341625	283.454	0.559024	431.98	0.838528	746.83	0.139868	80.5535	0.419268	394.441	0.683183	441.982	0.69879	575.768
0.279459	103.195	0.000269486	0.10103	0.997884	2.33781	0.341687	159.897	0.559039	251.164	0.838534	408.15	0.140024	52.4819	0.41928	210.204	0.683168	275.758	0.698829	325.739
0.279419	76.7684	0.000489853	0.136105	0.996046	2.3386	0.341784	111.381	0.559062	177.059	0.838544	280.809	0.140244	38.9595	0.4193	143.285	0.683147	200.388	0.698889	227.129
0.279367	61.1112	0.000774667	0.170979	0.994209	2.33941	0.341916	85.4723	0.559092	136.725	0.838558	214.034	0.140528	31.0119	0.419328	108.69	0.68312	157.371	0.698971	174.361
0.279305	50.7536	0.00112328	0.205635	0.992374	2.34022	0.342081	69.3595	0.55913	111.361	0.838576	172.918	0.140876	25.7868	0.419363	87.5548	0.683086	129.556	0.699074	141.5
0.279232	43.3937	0.00153465	0.240007	0.990539	2.34104	0.342281	58.3728	0.559176	93.9386	0.838597	145.054	0.141287	22.094	0.419406	73.3046	0.683047	110.094	0.699197	119.07
0.279149	37.8941	0.00200767	0.274053	0.988706	2.34186	0.342514	50.4038	0.55923	81.233	0.838622	124.926	0.14176	19.3489	0.419457	63.0467	0.683003	95.7136	0.699341	102.786
0.279055	33.6282	0.00254123	0.307746	0.986874	2.34269	0.34278	44.3608	0.559291	71.5576	0.83865	109.704	0.142293	17.2304	0.419515	55.3099	0.682954	84.654	0.699505	90.4275
0.278952	30.2226	0.00313387	0.341037	0.985043	2.34353	0.343078	39.622	0.559361	63.9441	0.838682	97.7902	0.142885	15.548	0.41958	49.2667	0.6829	75.8838	0.699688	80.728
0.278841	27.4406	0.00378425	0.373902	0.983213	2.34437	0.343409	35.8073	0.559438	57.797	0.838718	88.2115	0.143534	14.181	0.419654	44.4163	0.682843	68.7589	0.699889	72.9133
0.278721	25.1251	0.00449084	0.406313	0.981384	2.34522	0.343772	32.6712	0.559523	52.7302	0.838758	80.3428	0.14424	13.0495	0.419735	40.4373	0.682782	62.8558	0.70011	66.4833
