Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2		Asym3		Asym4	
466  Points		546  Points		465  Points		408  Points		374  Points		287  Points		484  Points		430  Points		375  Points		288  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.279507	-0.0127342	2.45017e-005	0.0963124	1.00017	1.97422	0.341596	0.0226112	0.559019	0.0103107	0.838527	0.00584684	0.139758	0.0576942	0.419266	0.0113596	0.68319	-0.00966084	0.698771	0.0144533
0.279495	-0.0190288	0.000114235	0.131473	0.998328	1.97359	0.341617	0.0412631	0.559029	0.0145131	0.838533	0.00780684	0.139811	0.0929462	0.419276	0.0154206	0.683181	-0.013232	0.698785	0.0260966
0.279472	-0.0316137	0.000269486	0.201577	0.99649	1.97235	0.341673	0.0785422	0.559046	0.0228723	0.838542	0.0117825	0.139931	0.16318	0.419294	0.0235756	0.683165	-0.0202834	0.69882	0.0493076
0.279436	-0.0440392	0.000489853	0.271108	0.994653	1.97113	0.341764	0.1156	0.559071	0.0312411	0.838555	0.0157788	0.140115	0.232968	0.41932	0.0317555	0.683143	-0.0271353	0.698877	0.0722921
0.279389	-0.0561462	0.000774667	0.339931	0.992817	1.96991	0.341889	0.152436	0.559104	0.0396291	0.838571	0.0197431	0.140365	0.302159	0.419354	0.0399122	0.683115	-0.0337345	0.698955	0.0950434
0.279332	-0.0679823	0.00112328	0.407849	0.990982	1.96866	0.342048	0.189047	0.559145	0.0479822	0.838591	0.0237165	0.140678	0.370449	0.419395	0.0480959	0.68308	-0.0399018	0.699054	0.117475
0.279263	-0.0794963	0.00153465	0.474618	0.989148	1.9674	0.342241	0.225283	0.559194	0.0563388	0.838615	0.0277083	0.141055	0.43774	0.419443	0.05626	0.68304	-0.0456445	0.699174	0.139486
0.279183	-0.0905125	0.00200767	0.540187	0.987316	1.96621	0.342467	0.261132	0.55925	0.0647024	0.838643	0.0316635	0.141494	0.503916	0.419499	0.0643851	0.682995	-0.0509775	0.699314	0.161095
0.279094	-0.101046	0.00254123	0.604382	0.985484	1.96498	0.342727	0.296503	0.559314	0.0730801	0.838674	0.0356189	0.141994	0.56881	0.419563	0.0725786	0.682945	-0.0557841	0.699474	0.182196
0.278995	-0.111126	0.00313387	0.667074	0.983654	1.9637	0.34302	0.331355	0.559386	0.0814858	0.838709	0.0396479	0.142554	0.632242	0.419635	0.0807625	0.682891	-0.0600507	0.699653	0.20279
0.278887	-0.120594	0.00378425	0.728224	0.981825	1.96246	0.343345	0.365684	0.559466	0.0898743	0.838748	0.0436043	0.143172	0.694139	0.419714	0.0889273	0.682833	-0.0637498	0.699852	0.222884
0.27877	-0.129422	0.00449084	0.787682	0.979997	1.96123	0.343701	0.399405	0.559554	0.0982286	0.838791	0.047562	0.143847	0.754433	0.4198	0.097127	0.682772	-0.0669001	0.700069	0.242346
0.278646	-0.137629	0.005252	0.845369	0.978171	1.95994	0.344089	0.432497	0.559649	0.106587	0.838837	0.0515955	0.144578	0.812984	0.419895	0.105323	0.682709	-0.0695385	0.700303	0.261273
0.278514	-0.145181	0.00606609	0.90127	0.976345	1.95868	0.344507	0.464915	0.559752	0.114956	0.838887	0.0555611	0.145362	0.869734	0.419997	0.113512	0.682643	-0.0715928	0.700555	0.279647
0.278375	-0.152009	0.00693142	0.955356	0.974521	1.95747	0.344955	0.496647	0.559863	0.123342	0.83894	0.0595371	0.146199	0.924715	0.420106	0.121688	0.682575	-0.0730645	0.700824	0.297423
0.278231	-0.15812	0.00784629	1.00757	0.972698	1.95623	0.345433	0.527664	0.559982	0.131766	0.838998	0.063534	0.147085	0.977841	0.420223	0.129909	0.682507	-0.0740305	0.70111	0.314666
0.278081	-0.163532	0.00880892	1.05795	0.970876	1.95491	0.345939	0.557985	0.560109	0.140118	0.839059	0.0674995	0.148021	1.02909	0.420348	0.138147	0.682437	-0.0744976	0.701411	0.331355
0.277926	-0.168202	0.00981766	1.10641	0.969055	1.95367	0.346472	0.587573	0.560243	0.148471	0.839124	0.0714755	0.149003	1.07848	0.420481	0.146348	0.682368	-0.0744796	0.701727	0.347519
0.277767	-0.172124	0.0108706	1.15302	0.967235	1.95244	0.347034	0.616425	0.560386	0.156902	0.839192	0.0754723	0.15003	1.12599	0.420621	0.154547	0.682298	-0.073931	0.702058	0.363221
0.277605	-0.17528	0.0119662	1.19782	0.965417	1.95114	0.347621	0.64454	0.560536	0.165268	0.839264	0.0795109	0.151101	1.17165	0.420769	0.162814	0.68223	-0.0729803	0.702404	0.37844
0.277441	-0.177709	0.0131026	1.24076	0.9636	1.94986	0.348235	0.671838	0.560694	0.17365	0.83934	0.0834866	0.152068	1.20999	0.420924	0.171072	0.682162	-0.0715914	0.702763	0.39313
0.277274	-0.179419	0.0142782	1.28197	0.961783	1.94863	0.348873	0.698457	0.560859	0.182063	0.83942	0.0874828	0.152917	1.24164	0.421088	0.179311	0.682097	-0.069766	0.703136	0.407422
0.277106	-0.180348	0.0154914	1.32147	0.959969	1.94733	0.349536	0.724375	0.561033	0.190468	0.839503	0.0915201	0.153635	1.267	0.421259	0.187587	0.682032	-0.0676531	0.703523	0.421358
0.276938	-0.180595	0.0167406	1.35923	0.958155	1.94606	0.350223	0.74955	0.561214	0.198855	0.83959	0.0954933	0.154213	1.28669	0.421437	0.195862	0.681971	-0.0651119	0.703922	0.434874
0.27677	-0.180136	0.0180242	1.39534	0.956342	1.94482	0.350933	0.773974	0.561403	0.207205	0.839681	0.0994845	0.154643	1.3007	0.421624	0.204135	0.681911	-0.0622268	0.704333	0.44799
0.276602	-0.178926	0.0193407	1.42993	0.954531	1.94353	0.351665	0.7977	0.5616	0.215629	0.839776	0.103512	0.154921	1.30963	0.421818	0.212406	0.681855	-0.0590933	0.704756	0.460745
0.276436	-0.177093	0.0206887	1.46291	0.952721	1.94226	0.352419	0.820761	0.561805	0.224054	0.839874	0.107538	0.155324	1.32245	0.422019	0.220745	0.681801	-0.0556096	0.705192	0.473219
0.276272	-0.174597	0.0220667	1.49446	0.950912	1.94096	0.353194	0.843153	0.562018	0.232407	0.839976	0.111563	0.155766	1.33591	0.422229	0.229074	0.681751	-0.0518648	0.705638	0.485423
0.276111	-0.171436	0.0234734	1.5246	0.949104	1.93969	0.35399	0.864866	0.562238	0.240838	0.840082	0.115584	0.156375	1.35398	0.422446	0.237381	0.681704	-0.0478908	0.706096	0.497306
0.275953	-0.167605	0.0249076	1.55331	0.947297	1.93846	0.354806	0.885952	0.562467	0.249278	0.840191	0.119598	0.157156	1.37635	0.422671	0.245719	0.681662	-0.0436781	0.706565	0.508914
0.275799	-0.163165	0.0263679	1.58077	0.945492	1.93718	0.355641	0.906446	0.562703	0.25766	0.840305	0.123597	0.158118	1.40251	0.422904	0.254045	0.681623	-0.0392812	0.707044	0.520265
