Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2		Asym3	
471  Points		492  Points		205  Points		144  Points		128  Points		368  Points		159  Points		127  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.0051985	7.29608	0.000527939	0.561191	0.279527	0.136622	0.431159	0.0792468	0.559042	0.105239	0.139844	0.452821	0.419263	0.0582003	0.698771	0.029905
0.0119962	7.29487	0.0010508	0.651749	0.279654	0.201124	0.431233	0.11159	0.559141	0.144626	0.140266	0.636049	0.419317	0.107315	0.698799	0.0580006
0.0187917	7.29169	0.0017424	0.827986	0.279902	0.329884	0.431367	0.176468	0.559312	0.223383	0.14103	0.998674	0.419463	0.20544	0.698879	0.114236
0.0255835	7.28708	0.00259366	0.993694	0.280269	0.457984	0.431562	0.241697	0.559557	0.302088	0.142127	1.35215	0.4197	0.303399	0.699012	0.170456
0.0323704	7.28108	0.00359404	1.14764	0.280755	0.585059	0.431817	0.307408	0.559875	0.380616	0.143549	1.69383	0.420028	0.4011	0.699197	0.226573
0.039151	7.27355	0.00473217	1.28899	0.281359	0.710889	0.432135	0.373792	0.560266	0.458937	0.145283	2.02154	0.420448	0.49843	0.699434	0.28263
0.0459238	7.26449	0.00599593	1.41751	0.28208	0.835254	0.432514	0.440934	0.56073	0.536991	0.147316	2.33368	0.420957	0.595384	0.699724	0.33864
0.0526876	7.25393	0.00737354	1.53327	0.282916	0.957861	0.432956	0.508934	0.561267	0.614729	0.149632	2.62916	0.421557	0.691882	0.700065	0.394485
0.0594407	7.24174	0.00885301	1.6366	0.283865	1.07849	0.433462	0.577918	0.561876	0.692202	0.152215	2.9073	0.422246	0.787757	0.700459	0.450217
0.0661817	7.22783	0.0104232	1.72821	0.284925	1.19699	0.434033	0.648063	0.562556	0.769291	0.155049	3.16799	0.423025	0.882975	0.700904	0.505798
