Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2		Asym3	
414  Points		430  Points		199  Points		137  Points		122  Points		329  Points		153  Points		111  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.00364392	7.44631	0.000283372	0.446611	0.322755	0.0794394	0.444284	0.0617841	0.645501	0.0557379	0.161531	0.505701	0.484135	0.0846855	0.806875	0.038435
0.0105816	7.44511	0.000699477	0.542902	0.322829	0.123057	0.444342	0.107888	0.645553	0.0882892	0.162002	0.672368	0.484214	0.124554	0.806911	0.0585091
0.0175171	7.44197	0.00129501	0.731945	0.322985	0.210113	0.444485	0.200131	0.645666	0.153351	0.162784	1.00237	0.484367	0.204243	0.806984	0.0986631
0.0244489	7.43721	0.00206338	0.913155	0.323221	0.296845	0.444715	0.292552	0.645839	0.218361	0.16387	1.32474	0.484594	0.283786	0.807095	0.138761
0.0313755	7.43078	0.00299657	1.08507	0.323538	0.383152	0.44503	0.385329	0.646073	0.283269	0.165252	1.63738	0.484896	0.363185	0.807243	0.178821
0.0382953	7.42274	0.00408529	1.24661	0.323935	0.468754	0.445433	0.47845	0.646367	0.348047	0.166921	1.93857	0.485271	0.442368	0.807428	0.218876
0.045207	7.41304	0.00531949	1.39705	0.324411	0.553606	0.445922	0.57204	0.646721	0.412709	0.168865	2.22697	0.48572	0.521195	0.807651	0.25885
0.0521087	7.40155	0.00668853	1.53591	0.324966	0.637616	0.446499	0.666204	0.647136	0.477214	0.171071	2.50157	0.486242	0.599672	0.807911	0.298807
0.0589989	7.38832	0.00818149	1.66313	0.325599	0.720676	0.447163	0.761	0.64761	0.541552	0.173526	2.7619	0.486837	0.677819	0.808208	0.338732
0.065876	7.37327	0.00978759	1.77892	0.326309	0.802713	0.447917	0.856477	0.648145	0.605701	0.176217	3.00769	0.487505	0.755523	0.808542	0.378518
