Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2		Asym3	
414  Points		430  Points		199  Points		137  Points		122  Points		329  Points		153  Points		111  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.00364392	7.4472	0.000283372	0.174726	0.322755	847.675	0.444284	2787.42	0.645501	1941.62	0.161531	173.904	0.484135	926.718	0.806875	1890.83
0.0105816	7.44661	0.000699477	0.273929	0.322829	245.975	0.444342	407.248	0.645553	510.662	0.162002	87.0724	0.484214	332.996	0.806911	594.005
0.0175171	7.44555	0.00129501	0.371574	0.322985	143.923	0.444485	219.74	0.645666	294.04	0.162784	58.2987	0.484367	203.02	0.806984	352.376
0.0244489	7.44398	0.00206338	0.467155	0.323221	101.775	0.444715	150.522	0.645839	206.501	0.16387	44.0045	0.484594	146.072	0.807095	250.509
0.0313755	7.44186	0.00299657	0.560255	0.323538	78.7669	0.44503	114.516	0.646073	159.161	0.165252	35.4952	0.484896	114.115	0.807243	194.352
0.0382953	7.4392	0.00408529	0.650494	0.323935	64.2826	0.445433	92.4544	0.646367	129.508	0.166921	29.875	0.485271	93.6655	0.807428	158.78
0.045207	7.436	0.00531949	0.737591	0.324411	54.3318	0.445922	77.5576	0.646721	109.195	0.168865	25.9034	0.48572	79.4622	0.807651	134.23
0.0521087	7.43225	0.00668853	0.821316	0.324966	47.0787	0.446499	66.8286	0.647136	94.4128	0.171071	22.9603	0.486242	69.0265	0.807911	116.27
0.0589989	7.42792	0.00818149	0.901505	0.325599	41.5607	0.447163	58.7372	0.64761	83.1761	0.173526	20.7012	0.486837	61.0379	0.808208	102.561
0.065876	7.42302	0.00978759	0.978069	0.326309	37.2244	0.447917	52.4207	0.648145	74.3481	0.176217	18.9194	0.487505	54.7287	0.808542	91.7548
0.0727382	7.41754	0.0114963	1.05097	0.327095	33.7291	0.448759	47.3558	0.648739	67.231	0.179131	17.4833	0.488245	49.6216	0.808913	83.0192
0.0795837	7.41144	0.0132976	1.12022	0.327956	30.8537	0.449692	43.2062	0.649393	61.3729	0.182253	16.3053	0.489057	45.4047	0.809321	75.812
0.0864104	7.40472	0.0151816	1.18587	0.328891	28.4481	0.450715	39.7465	0.650105	56.4681	0.18557	15.3247	0.48994	41.8653	0.809766	69.7649
0.0932165	7.39735	0.0171398	1.24799	0.329898	26.4071	0.45183	36.8197	0.650877	52.3024	0.18907	14.4982	0.490893	38.8535	0.810248	64.6195
0.0999998	7.38931	0.0191636	1.30671	0.330977	24.6547	0.453037	34.3129	0.651708	48.7215	0.192739	13.7941	0.491917	36.2606	0.810767	60.1885
0.106758	7.38058	0.0212455	1.36213	0.332127	23.1348	0.454338	32.1432	0.652596	45.611	0.196568	13.1887	0.49301	34.0057	0.811322	56.3334
0.113489	7.37114	0.0233786	1.41441	0.333347	21.8047	0.455732	30.248	0.653543	42.8846	0.200544	12.6638	0.494171	32.0276	0.811914	52.9492
0.12019	7.36094	0.0255567	1.46368	0.334636	20.6316	0.457221	28.5795	0.654548	40.476	0.204657	12.2055	0.495401	30.2789	0.812543	49.9549
0.126859	7.34997	0.0277743	1.5101	0.335994	19.59	0.458806	27.1003	0.65561	38.3331	0.208898	11.8026	0.496698	28.7226	0.813208	47.2871
0.133493	7.33818	0.0300261	1.55382	0.337419	18.6595	0.460487	25.7809	0.656729	36.4148	0.213256	11.4463	0.498062	27.3291	0.813909	44.8956
0.140088	7.32554	0.0323079	1.595	0.338913	17.8238	0.462266	24.5974	0.657904	34.688	0.217724	11.1295	0.499491	26.0745	0.814646	42.7397
0.146642	7.31201	0.0346155	1.63378	0.340474	17.0695	0.464141	23.5306	0.659136	33.1257	0.222293	10.8465	0.500986	24.9395	0.81542	40.7866
0.153151	7.29754	0.0369455	1.6703	0.342103	16.3858	0.466116	22.5649	0.660424	31.7058	0.226957	10.5925	0.502544	23.9082	0.816229	39.0092
0.159611	7.2821	0.0392949	1.70471	0.3438	15.7636	0.468189	21.6871	0.661767	30.4101	0.231707	10.3636	0.504166	22.9674	0.817074	37.3849
0.166019	7.26562	0.0413558	1.73307	0.345567	15.1955	0.470361	20.8863	0.663165	29.2231	0.236537	10.1564	0.505851	22.1059	0.817955	35.8951
0.172371	7.24807	0.0431213	1.75613	0.347404	14.675	0.472632	20.1534	0.664617	28.1322	0.241442	9.96819	0.507597	21.3143	0.818872	34.5237
0.178662	7.22938	0.0445868	1.77445	0.349313	14.1969	0.475003	19.4806	0.666124	27.1262	0.246415	9.79666	0.509404	20.5849	0.819825	33.2575
0.184888	7.2095	0.0457485	1.78847	0.351296	13.7566	0.477474	18.8612	0.667685	26.1958	0.2508	9.65922	0.51127	19.9107	0.820812	32.0849
0.191043	7.18837	0.0466044	1.79854	0.353355	13.3502	0.480045	18.2896	0.669298	25.3331	0.254573	9.54998	0.513196	19.2859	0.821836	30.9961
0.197123	7.16592	0.0471529	1.80487	0.355493	12.9743	0.482715	17.7609	0.670965	24.5311	0.257716	9.46468	0.515179	18.7055	0.822894	29.9824
0.203122	7.1421	0.0479422	1.81383	0.357714	12.626	0.485484	17.2707	0.672683	23.7838	0.260216	9.40024	0.51722	18.1651	0.823988	29.0366
0.209035	7.11684	0.0488012	1.82337	0.36002	12.3028	0.488353	16.8154	0.674454	23.0859	0.262061	9.35446	0.519317	17.6609	0.825117	28.1521
0.214854	7.09007	0.0499712	1.83604	0.362415	12.0025	0.491319	16.3917	0.676275	22.4328	0.263245	9.32583	0.521469	17.1894	0.826281	27.3232
0.220575	7.06175	0.0514537	1.85158	0.364904	11.7232	0.494384	15.9967	0.678148	21.8206	0.264952	9.28559	0.523676	16.7478	0.82748	26.5451
0.226191	7.0318	0.05325	1.86965	0.367491	11.4632	0.497545	15.6279	0.680071	21.2455	0.266812	9.24301	0.525936	16.3334	0.828714	25.8131
0.231696	7.00018	0.0553615	1.88991	0.370181	11.221	0.500802	15.2829	0.682043	20.7045	0.269352	9.18696	0.528249	15.9439	0.829983	25.1236
0.237084	6.96684	0.0577894	1.91198	0.372979	10.9953	0.504155	14.9599	0.684065	20.1947	0.272578	9.11898	0.530614	15.5772	0.831287	24.4728
0.242347	6.93174	0.0602216	1.93287	0.375889	10.7848	0.507602	14.657	0.686136	19.7136	0.276499	9.04083	0.53303	15.2316	0.832626	23.8579
0.247482	6.89485	0.0626574	1.95266	0.378916	10.5886	0.511142	14.3725	0.688255	19.259	0.281125	8.95437	0.535496	14.9052	0.834	23.2758
0.252481	6.85616	0.0650959	1.97141	0.382065	10.4057	0.514773	14.1051	0.690422	18.8287	0.286465	8.86148	0.538012	14.5967	0.835408	22.7242
0.25734	6.81568	0.0675366	1.9892	0.385339	10.2352	0.518495	13.8534	0.692636	18.4211	0.291835	8.77471	0.540576	14.3047	0.836851	22.2009
0.262055	6.7734	0.0699789	2.00608	0.388742	10.0762	0.522306	13.6163	0.694898	18.0343	0.297233	8.69346	0.543188	14.0279	0.838329	21.7036
0.266621	6.72938	0.0724224	2.02212	0.391815	9.94653	0.526204	13.3926	0.697206	17.667	0.302654	8.6172	0.545847	13.7654	0.839841	21.2307
0.271037	6.68365	0.0748667	2.03737	0.394515	9.84215	0.530189	13.1815	0.69956	17.3178	0.308096	8.54546	0.548553	13.5161	0.841389	20.7804
0.2753	6.63631	0.0773115	2.05188	0.396804	9.7599	0.534258	12.9819	0.701959	16.9855	0.313556	8.47782	0.551305	13.279	0.842971	20.3511
0.279409	6.58742	0.0797564	2.06569	0.39865	9.69736	0.53841	12.7932	0.704404	16.6688	0.319031	8.41389	0.554102	13.0535	0.844587	19.9416
0.283366	6.53711	0.0822013	2.07885	0.400028	9.65275	0.542643	12.6145	0.706893	16.3669	0.324518	8.35335	0.556944	12.8386	0.846239	19.5505
0.287171	6.48549	0.084646	2.09139	0.400919	9.62478	0.546956	12.4452	0.709427	16.0787	0.330015	8.29588	0.55983	12.6338	0.847925	19.1767
0.290826	6.43269	0.0870902	2.10336	0.402212	9.58538	0.551347	12.2847	0.712004	15.8034	0.335518	8.24122	0.56276	12.4384	0.849646	18.8191
0.294336	6.37887	0.0895339	2.1148	0.403634	9.54359	0.555815	12.1324	0.714626	15.5402	0.341026	8.1891	0.565733	12.2518	0.851402	18.4767
0.297704	6.32417	0.0919769	2.12572	0.405595	9.48844	0.560357	11.9877	0.71729	15.2884	0.346536	8.13932	0.568749	12.0735	0.853193	18.1486
0.300936	6.26876	0.0944192	2.13617	0.408121	9.42139	0.564971	11.8503	0.719998	15.0473	0.352046	8.09165	0.571807	11.903	0.855019	17.834
0.304037	6.21277	0.0968606	2.14616	0.411242	9.34415	0.569658	11.7195	0.722747	14.8163	0.357553	8.04593	0.574908	11.7399	0.85688	17.5321
0.307013	6.15637	0.0993011	2.15574	0.414996	9.25863	0.574413	11.5951	0.72554	14.5948	0.363055	8.00196	0.578051	11.5837	0.858775	17.2422
0.30987	6.09971	0.101741	2.16491	0.419422	9.16683	0.579237	11.4766	0.728374	14.3822	0.368549	7.95961	0.581236	11.434	0.860706	16.9636
0.312616	6.04292	0.104179	2.17371	0.423971	9.08134	0.584126	11.3637	0.73125	14.1782	0.374034	7.91873	0.584463	11.2905	0.862672	16.6958
0.315256	5.98615	0.106617	2.18215	0.428639	9.00167	0.58908	11.2561	0.734167	13.9822	0.379507	7.87918	0.587731	11.153	0.864673	16.4381
0.317797	5.9295	0.109054	2.19025	0.433418	8.92736	0.594097	11.1534	0.737126	13.7938	0.384965	7.84084	0.591041	11.0209	0.866709	16.1901
0.320246	5.8731	0.111489	2.19804	0.438303	8.858	0.599174	11.0553	0.740126	13.6126	0.390408	7.80361	0.594392	10.8941	0.86878	15.9511
0.32261	5.81705	0.113924	2.20553	0.443288	8.79317	0.604311	10.9617	0.743167	13.4382	0.395832	7.76737	0.597785	10.7724	0.870886	15.7209
0.324893	5.76143	0.116358	2.21273	0.448366	8.7325	0.609506	10.8722	0.746249	13.2704	0.401235	7.73204	0.60122	10.6554	0.873027	15.4989
0.327103	5.70634	0.11879	2.21966	0.453529	8.67563	0.614756	10.7866	0.749372	13.1087	0.406616	7.69753	0.604696	10.5429	0.875204	15.2847
0.329244	5.65183	0.121222	2.22634	0.45877	8.62223	0.62006	10.7046	0.752536	12.953	0.411972	7.66375	0.608215	10.4347	0.877416	15.078
0.331322	5.59797	0.123653	2.23278	0.464084	8.57199	0.625417	10.6262	0.755741	12.8028	0.417301	7.63062	0.611316	10.3439	0.879663	14.8784
0.333342	5.54481	0.126082	2.23898	0.469462	8.52463	0.630824	10.551	0.758987	12.658	0.422601	7.59809	0.613984	10.2687	0.881945	14.6856
0.335308	5.4924	0.128511	2.24497	0.474899	8.47989	0.63628	10.479	0.762274	12.5183	0.427869	7.56607	0.616209	10.2082	0.884263	14.4992
