Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2	
392  Points		402  Points		217  Points		143  Points		125  Points		323  Points		164  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.00459746	7.44712	0.000411542	0.210549	0.381875	558.87	0.444283	6005.88	0.763767	1879.74	0.191008	291.596	0.572829	1166.2
0.0109306	7.44657	0.000844817	0.301169	0.38185	248.954	0.444365	480.658	0.763801	607.719	0.191296	127.06	0.572871	426.971
0.0172617	7.4456	0.00142839	0.390735	0.381807	160.132	0.444584	250.469	0.763871	362.479	0.191809	81.4103	0.572954	261.357
0.0235899	7.4442	0.00215833	0.478973	0.381748	118.011	0.444941	169.467	0.763975	258.286	0.192544	60.0464	0.573076	188.342
0.0299139	7.44234	0.0030298	0.565611	0.381674	93.4246	0.445433	128.144	0.764115	200.64	0.193498	47.6936	0.573238	147.239
0.0362326	7.44006	0.00403733	0.650427	0.381588	77.3089	0.446059	103.098	0.76429	164.049	0.194666	39.666	0.57344	120.882
0.0425447	7.4373	0.00517491	0.733227	0.381493	65.9292	0.446816	86.3065	0.7645	138.762	0.196041	34.0459	0.573681	102.547
0.0488492	7.43409	0.00643597	0.813832	0.381392	57.4653	0.4477	74.275	0.764746	120.244	0.197619	29.903	0.573962	89.0579
0.0551447	7.43041	0.0078138	0.892114	0.38129	50.924	0.448709	65.2372	0.765026	106.1	0.19939	26.7309	0.574282	78.7191
0.06143	7.42626	0.00930138	0.96796	0.381189	45.7174	0.449838	58.2041	0.765341	94.944	0.201349	24.2306	0.574641	70.5441
0.0677039	7.42162	0.0108918	1.0413	0.381094	41.4753	0.451085	52.5792	0.765691	85.9218	0.203487	22.2142	0.57504	63.9191
0.073965	7.41649	0.0125779	1.11208	0.38101	37.953	0.452445	47.981	0.766076	78.4753	0.205796	20.5576	0.575478	58.4426
0.0802117	7.41085	0.0143531	1.18027	0.380938	34.9821	0.453915	44.1544	0.766496	72.2256	0.208269	19.1754	0.575954	53.8406
0.0864428	7.40469	0.0162106	1.24588	0.380885	32.4433	0.455491	40.9221	0.76695	66.9063	0.210896	18.0072	0.576469	49.9198
0.0926567	7.39798	0.0181441	1.30892	0.380853	30.2492	0.457169	38.1572	0.767439	62.3247	0.213671	17.0089	0.577023	46.54
0.0988518	7.39073	0.0201474	1.36942	0.380847	28.3346	0.458947	35.7665	0.767963	58.3378	0.216584	16.1476	0.577616	43.5971
0.105026	7.3829	0.0222148	1.42742	0.38087	26.65	0.460819	33.6801	0.768521	54.8372	0.21963	15.3982	0.578247	41.0119
0.111179	7.37448	0.0243408	1.48298	0.380927	25.1568	0.462784	31.8442	0.769113	51.7395	0.222799	14.7414	0.578915	38.7235
0.117307	7.36544	0.0265203	1.53617	0.38102	23.8247	0.464838	30.2171	0.76974	48.9793	0.226086	14.1619	0.579622	36.6838
0.123409	7.35577	0.0287487	1.58706	0.381153	22.6296	0.466978	28.7658	0.770401	46.5045	0.229483	13.6476	0.580367	34.8547
0.129483	7.34544	0.0310213	1.63572	0.38133	21.5518	0.469202	27.4639	0.771096	44.2735	0.232984	13.1887	0.581149	33.2056
0.135527	7.33441	0.0333341	1.68223	0.381553	20.5754	0.471507	26.29	0.771825	42.252	0.236583	12.7773	0.581968	31.7113
0.141538	7.32267	0.0356833	1.72667	0.381828	19.6872	0.47389	25.2266	0.772588	40.4122	0.240273	12.4067	0.582825	30.3514
0.147514	7.31019	0.0380655	1.76913	0.382156	18.8764	0.47635	24.2592	0.773385	38.7308	0.244049	12.0715	0.583718	29.1086
0.153452	7.29692	0.0404774	1.80969	0.382541	18.1336	0.478884	23.3757	0.774215	37.1884	0.247907	11.7673	0.584648	27.9688
0.15935	7.28283	0.0429161	1.84844	0.382987	17.4512	0.48149	22.566	0.775079	35.7686	0.25184	11.4901	0.585615	26.9197
0.165205	7.2679	0.0453789	1.88544	0.383497	16.8224	0.484166	21.8216	0.775976	34.4575	0.255844	11.2368	0.586618	25.9512
0.171013	7.25207	0.0478635	1.92079	0.384075	16.2418	0.48691	21.1351	0.776906	33.2433	0.259915	11.0045	0.587657	25.0545
0.176772	7.23531	0.0503674	1.95457	0.384724	15.7044	0.489721	20.5003	0.77787	32.1158	0.264047	10.7909	0.588732	24.222
0.182477	7.21758	0.0528888	1.98683	0.385447	15.206	0.492597	19.9118	0.778866	31.066	0.268238	10.5939	0.589843	23.4472
0.188126	7.19884	0.0554256	2.01767	0.38625	14.743	0.495536	19.3648	0.779896	30.0864	0.272484	10.4118	0.590989	22.7245
0.193714	7.17903	0.0579763	2.04714	0.387134	14.3122	0.498538	18.8554	0.780958	29.1703	0.27678	10.2431	0.59217	22.0488
