Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2		Asym3		Asym4	
480  Points		498  Points		263  Points		194  Points		175  Points		130  Points		390  Points		213  Points		173  Points		127  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.00231621	5.38399	4.04499e-005	0.184715	0.279517	0.0632005	0.420824	0.0599697	0.559035	0.0612187	0.838527	0.0204476	0.139754	0.110729	0.419274	0.0597863	0.698773	0.0249519	0.841613	0.0170948
0.00733245	5.38367	0.000212548	0.256479	0.279575	0.0936705	0.420879	0.0805093	0.559092	0.0822284	0.838546	0.0331749	0.139857	0.217183	0.419329	0.0851732	0.698796	0.0390075	0.841629	0.0273123
0.0123481	5.38271	0.000518369	0.398672	0.279691	0.154612	0.420974	0.12162	0.559188	0.124164	0.838588	0.0586127	0.140159	0.429097	0.419432	0.135919	0.698846	0.067112	0.841664	0.0478575
0.0173625	5.38123	0.00095543	0.537601	0.279864	0.215411	0.421106	0.162899	0.559323	0.166066	0.838655	0.0840001	0.140657	0.6384	0.419583	0.186653	0.698922	0.095196	0.841718	0.06844
0.0223754	5.3793	0.00152013	0.67227	0.280093	0.275924	0.421277	0.204296	0.559498	0.207977	0.838745	0.10936	0.141349	0.843871	0.41978	0.237292	0.699023	0.123239	0.841791	0.0889507
0.0273863	5.37683	0.00220813	0.801788	0.280378	0.33616	0.421487	0.24578	0.559711	0.249757	0.838859	0.134737	0.142229	1.04439	0.420025	0.287813	0.699151	0.151273	0.841884	0.109537
0.0323945	5.37386	0.00301417	0.925473	0.280719	0.39606	0.421735	0.287513	0.559963	0.291496	0.838996	0.160151	0.143295	1.23903	0.420316	0.338244	0.699305	0.17929	0.841996	0.13013
0.0373999	5.37041	0.00393265	1.04276	0.281116	0.455509	0.422023	0.329451	0.560254	0.333154	0.839157	0.185489	0.144538	1.42703	0.420655	0.388496	0.699485	0.207271	0.842126	0.150734
