Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym3	
460  Points		492  Points		460  Points		145  Points		113  Points		104  Points		326  Points		123  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.00133964	9.2221	2.2442e-006	0.017368	0.00355887	9.22223	0.279512	1758.39	0.458683	615.053	0.559019	3272.39	0.139763	839.256	0.419263	10313.1
0.00993148	9.22178	0.000150234	0.141608	0.0121502	9.22152	0.279658	256.413	0.458769	273.491	0.559103	507.112	0.140131	127.597	0.419348	431.273
0.018521	9.2206	0.000526699	0.264327	0.0207388	9.22015	0.280023	138.464	0.458922	175.89	0.559311	274.951	0.141036	69.4784	0.419588	220.367
0.0271061	9.21867	0.00112319	0.384089	0.0293225	9.21805	0.280604	94.9899	0.459143	129.67	0.559642	188.691	0.142465	48.1039	0.419984	148.104
0.0356847	9.21599	0.00192717	0.499786	0.0378991	9.21519	0.281401	72.4189	0.459432	102.723	0.560095	143.702	0.144401	37.0896	0.420534	111.624
0.0442549	9.2126	0.00292258	0.610437	0.0464667	9.21159	0.282409	58.6224	0.45979	85.0796	0.560671	116.098	0.14682	30.429	0.421239	89.642
0.0528143	9.20843	0.00409149	0.715372	0.055023	9.20722	0.283627	49.334	0.460219	72.6364	0.561369	97.443	0.149695	26.0036	0.422097	74.9619
0.0613609	9.20349	0.00541483	0.814127	0.0624683	9.20278	0.28505	42.6669	0.460721	63.3936	0.562188	84.0003	0.152995	22.8747	0.423107	64.4733
0.069892	9.19775	0.00687355	0.906469	0.0688058	9.19852	0.286674	37.6582	0.461297	56.2604	0.563128	73.8587	0.156691	20.5629	0.424268	56.6127
0.0784056	9.19118	0.00844924	0.992339	0.0740392	9.19465	0.288494	33.7648	0.46195	50.5913	0.564187	65.9398	0.160752	18.7974	0.425578	50.5082
0.0868987	9.18376	0.0101248	1.07185	0.0781722	9.19137	0.290503	30.6571	0.462682	45.9799	0.565365	59.5887	0.165147	17.4141	0.427035	45.6351
0.0953689	9.17546	0.0118848	1.14521	0.0812082	9.18883	0.292698	28.1235	0.463497	42.1575	0.56666	54.3847	0.169847	16.3077	0.428639	41.6587
0.103813	9.16625	0.0137153	1.21272	0.0831498	9.18715	0.295071	26.022	0.464396	38.9395	0.568072	50.0452	0.174826	15.4074	0.430386	38.3554
0.112229	9.15607	0.0156044	1.27474	0.0859388	9.18464	0.297615	24.2536	0.465384	36.1947	0.569599	46.3735	0.180059	14.6645	0.432275	35.5703
0.120612	9.14489	0.0175415	1.33163	0.0889676	9.18182	0.300325	22.7473	0.466463	33.8274	0.571241	43.2281	0.185521	14.0437	0.434303	33.1925
0.128959	9.13265	0.019518	1.3838	0.093082	9.1778	0.303194	21.4508	0.467639	31.7664	0.572995	40.5051	0.191192	13.5195	0.436468	31.1405
0.137267	9.11929	0.0215262	1.43161	0.0982769	9.17241	0.306214	20.3247	0.468914	29.957	0.57486	38.1259	0.197051	13.0725	0.438768	29.3534
0.145531	9.10475	0.0232973	1.47003	0.104545	9.1654	0.309378	19.3388	0.470293	28.3573	0.576836	36.0305	0.203081	12.6883	0.4412	27.7843
0.153747	9.08897	0.0248199	1.50056	0.111878	9.15652	0.312681	18.4696	0.471781	26.9339	0.57892	34.172	0.209265	12.3555	0.443761	26.3968
0.16191	9.07185	0.0260863	1.52438	0.120263	9.14538	0.316116	17.6985	0.473382	25.6604	0.581111	32.5133	0.215589	12.0651	0.446448	25.1621
0.170014	9.05332	0.0270918	1.54236	0.128612	9.13318	0.319676	17.0105	0.475102	24.5155	0.583408	31.0245	0.222038	11.8103	0.449259	24.0573
0.178054	9.03329	0.0278332	1.5551	0.136921	9.11987	0.323355	16.3935	0.476944	23.4816	0.585808	29.6816	0.228601	11.5852	0.452191	23.0636
0.186023	9.01165	0.0283085	1.56306	0.145187	9.10538	0.327149	15.8378	0.478915	22.5445	0.58831	28.4646	0.235267	11.3854	0.455241	22.1659
0.193916	8.98829	0.0289928	1.57424	0.153405	9.08965	0.331052	15.3351	0.481019	21.6922	0.590913	27.3573	0.242024	11.2071	0.458406	21.3513
0.201723	8.9631	0.029738	1.58605	0.16157	9.07259	0.335062	14.8786	0.483262	20.9146	0.593616	26.346	0.248864	11.0473	0.461682	20.6096
0.209437	8.93594	0.0307534	1.60154	0.169677	9.05412	0.339173	14.4628	0.485648	20.2032	0.596415	25.4192	0.255779	10.9033	0.465068	19.9317
0.21705	8.90669	0.0320405	1.62028	0.17772	9.03416	0.343384	14.0829	0.488183	19.5509	0.59931	24.567	0.26276	10.773	0.468559	19.3103
0.224552	8.87519	0.0336006	1.64171	0.185692	9.01259	0.347695	13.7349	0.490871	18.9514	0.602299	23.7813	0.2698	10.6546	0.472153	18.7389
0.231932	8.84131	0.0354348	1.66527	0.193588	8.9893	0.352103	13.4153	0.493716	18.3994	0.60538	23.0548	0.276892	10.5467	0.475847	18.2121
0.23918	8.8049	0.0375437	1.69037	0.201399	8.96419	0.356611	13.1213	0.496724	17.8903	0.608552	22.3815	0.284031	10.4478	0.479638	17.7251
0.246285	8.76581	0.039656	1.71359	0.209117	8.93712	0.36122	12.8503	0.499897	17.4201	0.611813	21.7559	0.29121	10.3569	0.483523	17.2739
0.253235	8.72389	0.0417703	1.7351	0.216735	8.90795	0.365932	12.6003	0.503239	16.9851	0.615161	21.1735	0.298424	10.2731	0.487499	16.855
0.260019	8.67902	0.043886	1.75506	0.224241	8.87655	0.370752	12.3695	0.506752	16.5822	0.618594	20.6301	0.305669	10.1955	0.491564	16.4651
0.266624	8.63108	0.0460026	1.77362	0.231626	8.84278	0.375685	12.1562	0.510438	16.2087	0.622112	20.1222	0.312938	10.1234	0.495713	16.1016
0.273039	8.57996	0.0481192	1.79089	0.23888	8.80647	0.380734	11.959	0.514299	15.862	0.625712	19.6465	0.320229	10.0561	0.499946	15.7621
0.279253	8.52562	0.0502358	1.80701	0.245992	8.7675	0.385906	11.7768	0.518336	15.5399	0.629392	19.2004	0.327535	9.99319	0.504258	15.4444
0.285256	8.46802	0.0523519	1.82206	0.252949	8.7257	0.391205	11.6085	0.522547	15.2405	0.633152	18.7813	0.333913	9.94152	0.508648	15.1466
0.291039	8.40716	0.0544673	1.83614	0.25974	8.68095	0.396637	11.453	0.526934	14.9619	0.636989	18.387	0.339356	9.89956	0.513112	14.867
0.296595	8.34312	0.0565818	1.84934	0.266352	8.63314	0.402204	11.3095	0.531493	14.7024	0.640903	18.0154	0.343859	9.8662	0.517649	14.6042
0.30192	8.276	0.0586954	1.86173	0.272776	8.58216	0.407909	11.1771	0.536224	14.4605	0.644891	17.6649	0.34742	9.84061	0.522255	14.3568
