Sym0		Asym0		Sym1		Sym2		Asym1		Asym3	
376  Points		391  Points		169  Points		122  Points		292  Points		135  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.00525513	9.01299	0.000398705	0.558765	0.408244	-0.0373424	0.459151	0.245586	0.204175	0.378813	0.612381	0.0706937
0.0126201	9.01161	0.0008553	0.661291	0.408213	-0.0539144	0.459352	0.352901	0.204484	0.549798	0.612438	0.104369
0.0199828	9.00796	0.00147945	0.863396	0.408155	-0.0855923	0.459728	0.566032	0.205073	0.88964	0.612551	0.17174
0.0273418	9.00268	0.00226635	1.05892	0.408073	-0.113624	0.460277	0.775504	0.205938	1.22443	0.612719	0.239008
0.0346959	8.9957	0.00321004	1.24661	0.40797	-0.136784	0.460995	0.980082	0.207075	1.55246	0.612942	0.306151
0.0420435	8.987	0.00430369	1.42551	0.40785	-0.154211	0.461879	1.17888	0.208476	1.87207	0.613219	0.37313
0.0493834	8.97654	0.00553976	1.59491	0.407718	-0.165264	0.462922	1.37129	0.210134	2.18201	0.613552	0.439945
0.0567139	8.96422	0.00691026	1.75433	0.40758	-0.169417	0.46412	1.55694	0.212042	2.48121	0.613938	0.506519
0.0640336	8.95001	0.00840686	1.90349	0.407441	-0.166531	0.465466	1.7356	0.214189	2.76879	0.614379	0.572777
0.0713409	8.93387	0.0100211	2.04221	0.407307	-0.156584	0.466956	1.90726	0.216567	3.04423	0.614875	0.638818
0.0786342	8.91571	0.0117444	2.17067	0.407185	-0.139531	0.468583	2.07213	0.219164	3.3071	0.615423	0.704511
0.0859118	8.89542	0.0135687	2.28906	0.407079	-0.115695	0.470343	2.23043	0.221971	3.55717	0.616026	0.769842
0.093172	8.87288	0.0154855	2.39764	0.406996	-0.0853094	0.472229	2.38251	0.224978	3.79451	0.616682	0.834783
0.100413	8.84792	0.0174871	2.49697	0.40694	-0.0485891	0.474236	2.52868	0.228173	4.01926	0.61739	0.899276
0.107632	8.82055	0.0195663	2.58742	0.406916	-0.00587972	0.476361	2.66936	0.231546	4.23157	0.618151	0.963376
0.114828	8.79052	0.0217157	2.66951	0.40693	0.0425445	0.478599	2.80501	0.235089	4.43182	0.618965	1.02702
0.121999	8.75762	0.023929	2.74384	0.406986	0.0964694	0.480945	2.93584	0.238789	4.62046	0.61983	1.09018
0.129141	8.72179	0.0262	2.81092	0.407088	0.155633	0.483397	3.06229	0.24264	4.79789	0.620746	1.15279
0.136253	8.68278	0.0285229	2.87133	0.40724	0.219931	0.48595	3.18475	0.246631	4.96461	0.621714	1.21486
0.143331	8.64034	0.0308926	2.92559	0.407447	0.289235	0.488602	3.30341	0.250753	5.12109	0.622732	1.27646
0.150373	8.59429	0.0333042	2.97416	0.407713	0.363458	0.491349	3.41855	0.255	5.26778	0.6238	1.33744
0.157377	8.54428	0.0357533	3.01761	0.408041	0.442591	0.494189	3.5305	0.259363	5.40527	0.624918	1.39785
0.164337	8.4901	0.0382359	3.0564	0.408436	0.526618	0.497119	3.6395	0.263834	5.534	0.626084	1.45763
0.171252	8.43143	0.0407484	3.09089	0.408902	0.615672	0.500137	3.74559	0.268407	5.65436	0.6273	1.51682
0.178117	8.36796	0.0432873	3.12153	0.409443	0.709937	0.50324	3.84904	0.273075	5.76688	0.628563	1.57548
0.184928	8.29931	0.0458499	3.14867	0.410062	0.809531	0.506427	3.95006	0.277832	5.87201	0.629875	1.63343
0.19168	8.22505	0.0484332	3.17264	0.410766	0.914603	0.509696	4.04871	0.282671	5.97003	0.631233	1.6908
0.19837	8.14493	0.0510349	3.19385	0.411557	1.02546	0.513044	4.14514	0.287588	6.06135	0.632638	1.74758
0.204992	8.05843	0.0536529	3.21255	0.412441	1.14244	0.51647	4.23945	0.292577	6.14636	0.634089	1.80368
0.21154	7.96517	0.055946	3.22699	0.413424	1.26584	0.519973	4.3317	0.297633	6.22537	0.635586	1.85918
0.218009	7.86476	0.0579084	3.23801	0.41451	1.39591	0.52355	4.422	0.302752	6.29862	0.637127	1.91406
0.224393	7.7567	0.0595359	3.24633	0.415705	1.53302	0.5272	4.5105	0.307927	6.36646	0.638714	1.96838
0.230686	7.64065	0.0608256	3.25251	0.417016	1.67757	0.530921	4.59714	0.313156	6.42915	0.640344	2.02215
0.23688	7.51625	0.0617755	3.25665	0.418447	1.82978	0.534713	4.68207	0.318434	6.48689	0.642019	2.07532
0.24297	7.38313	0.062384	3.25922	0.420006	1.99	0.538573	4.76534	0.323758	6.53989	0.643736	2.12788
0.248947	7.24106	0.0632596	3.26282	0.421699	2.15835	0.542501	4.84693	0.329123	6.58837	0.645496	2.17998
0.254804	7.08996	0.0642123	3.26644	0.423533	2.33498	0.546494	4.92703	0.334525	6.63255	0.647299	2.23157
0.260534	6.92971	0.0655097	3.27116	0.425515	2.51996	0.550553	5.00555	0.339962	6.67256	0.649143	2.28263
0.266129	6.76045	0.0671532	3.27669	0.427652	2.71314	0.554675	5.0825	0.34543	6.70849	0.651029	2.33331
0.271583	6.58244	0.0691442	3.28268	0.42995	2.91418	0.558859	5.15809	0.350926	6.74059	0.652957	2.38357
0.276887	6.39619	0.0714841	3.28884	0.432415	3.12262	0.563105	5.23226	0.356446	6.76897	0.654925	2.4334
0.282036	6.2024	0.0741742	3.29497	0.435053	3.33781	0.56741	5.30502	0.361988	6.79366	0.656933	2.48295
0.287023	6.00196	0.0768691	3.30025	0.437869	3.55884	0.571775	5.37648	0.367549	6.81482	0.658983	2.53219
0.291845	5.79592	0.0795678	3.30465	0.440869	3.7846	0.576197	5.44657	0.373126	6.83258	0.661072	2.58116
0.296496	5.58566	0.0822698	3.30822	0.444055	4.01376	0.580676	5.51536	0.378716	6.84697	0.663201	2.62999
0.300973	5.37267	0.0849745	3.31122	0.447429	4.24483	0.585211	5.58296	0.384316	6.85806	0.66537	2.67864
0.305276	5.15846	0.0876814	3.31364	0.450992	4.47633	0.5898	5.64934	0.389924	6.86594	0.667579	2.72715
0.309404	4.94475	0.09039	3.31547	0.454744	4.7065	0.594444	5.71455	0.395537	6.87069	0.669827	2.77567
0.313358	4.7332	0.0930999	3.31689	0.458684	4.93361	0.59914	5.77857	0.40043	6.8724	0.672115	2.82419
0.317139	4.52538	0.0958108	3.31793	0.462807	5.15608	0.603888	5.84148	0.404602	6.87205	0.674443	2.87279
0.320753	4.32278	0.0985224	3.31862	0.46711	5.37237	0.608686	5.90332	0.408052	6.87042	0.67681	2.92157
0.324204	4.12684	0.101234	3.31901	0.471587	5.58108	0.613535	5.96405	0.410778	6.86824	0.679217	2.9705
0.327498	3.93866	0.103947	3.31908	0.476232	5.78103	0.618433	6.0238	0.412782	6.86641	0.681665	3.01978
0.330641	3.75911	0.106659	3.31894	0.481035	5.97125	0.62338	6.08257	0.414065	6.86498	0.684153	3.06939
0.333641	3.58891	0.109371	3.31867	0.48599	6.15093	0.628374	6.14034	0.415908	6.86233	0.686681	3.11934
0.336506	3.42857	0.112082	3.31816	0.491088	6.31964	0.633415	6.19716	0.41791	6.85926	0.68925	3.1698
0.339245	3.27832	0.114794	3.31748	0.496319	6.47701	0.638502	6.25309	0.420631	6.85459	0.691861	3.2208
0.341864	3.13824	0.117504	3.31668	0.501673	6.62289	0.643635	6.30817	0.424071	6.8476	0.694514	3.27243
0.344374	3.00824	0.120214	3.31583	0.507142	6.75741	0.648812	6.36238	0.428224	6.83761	0.69721	3.32475
0.346781	2.88811	0.122923	3.3149	0.512717	6.88073	0.654033	6.41577	0.433089	6.82383	0.699948	3.37778
0.349094	2.77754	0.125632	3.31381	0.518388	6.99309	0.659297	6.46836	0.438658	6.80538	0.70273	3.43165
0.35132	2.67607	0.128339	3.31272	0.524146	7.09512	0.664604	6.52016	0.444211	6.78405	0.705556	3.48636
0.353467	2.58327	0.131046	3.31159	0.529228	7.17589	0.669953	6.57125	0.449745	6.75986	0.708428	3.542
0.355542	2.49864	0.133751	3.31036	0.533604	7.23894	0.675343	6.62165	0.455259	6.73273	0.711345	3.59859
0.357551	2.42166	0.136456	3.30911	0.53725	7.28716	0.680775	6.67133	0.460749	6.70271	0.714309	3.65615
0.359499	2.35186	0.139159	3.30791	0.54015	7.32274	0.686246	6.72034	0.466213	6.66987	0.71732	3.71481
0.361394	2.28869	0.141862	3.30664	0.542291	7.34764	0.691758	6.76876	0.471649	6.63421	0.72038	3.77452
