Sym0		Asym0		Sym1		Sym2		Asym1		Asym3	
376  Points		391  Points		169  Points		122  Points		292  Points		135  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.00525513	9.0142	0.000398705	0.228007	0.408244	873.245	0.459151	885.959	0.204175	416.121	0.612381	1368.29
0.0126201	9.01349	0.0008553	0.333346	0.408213	317.761	0.459352	343.98	0.204484	156.356	0.612438	484.255
0.0199828	9.01229	0.00147945	0.437326	0.408155	194.193	0.459728	213.573	0.205073	96.5068	0.612551	294.234
0.0273418	9.01051	0.00226635	0.539594	0.408073	139.801	0.460277	154.991	0.205938	69.9967	0.612719	211.355
0.0346959	9.00821	0.00321004	0.639801	0.40797	109.197	0.460995	121.736	0.207075	55.0838	0.612942	164.94
0.0420435	9.00533	0.00430369	0.73764	0.40785	89.5732	0.461879	100.321	0.208476	45.5543	0.613219	135.27
0.0493834	9.00189	0.00553976	0.832851	0.407718	75.9194	0.462922	85.3917	0.210134	38.9601	0.613552	114.673
0.0567139	8.99786	0.00691026	0.925228	0.40758	65.8708	0.46412	74.3983	0.212042	34.1413	0.613938	99.5424
0.0640336	8.99324	0.00840686	1.0146	0.407441	58.1667	0.465466	65.9725	0.214189	30.4771	0.614379	87.96
0.0713409	8.98801	0.0100211	1.10086	0.407307	52.073	0.466956	59.314	0.216567	27.6056	0.614875	78.8108
0.0786342	8.98216	0.0117444	1.1839	0.407185	47.1333	0.468583	53.9236	0.219164	25.3013	0.615423	71.4026
0.0859118	8.97566	0.0135687	1.26369	0.407079	43.0491	0.470343	49.4738	0.221971	23.4164	0.616026	65.2832
0.093172	8.96851	0.0154855	1.34021	0.406996	39.6168	0.472229	45.7406	0.224978	21.85	0.616682	60.1444
0.100413	8.96067	0.0174871	1.41349	0.40694	36.6928	0.474236	42.566	0.228173	20.5309	0.61739	55.7689
0.107632	8.95212	0.0195663	1.48356	0.406916	34.1728	0.476361	39.835	0.231546	19.4075	0.618151	51.9994
0.114828	8.94284	0.0217157	1.55047	0.40693	31.9794	0.478599	37.4622	0.235089	18.4413	0.618965	48.7189
0.121999	8.93278	0.023929	1.61431	0.406986	30.0538	0.480945	35.3827	0.238789	17.6033	0.61983	45.8387
0.129141	8.92193	0.0262	1.67517	0.407088	28.3506	0.483397	33.5464	0.24264	16.8708	0.620746	43.2904
0.136253	8.91023	0.0285229	1.73314	0.40724	26.8341	0.48595	31.9138	0.246631	16.2264	0.621714	41.0203
0.143331	8.89766	0.0308926	1.78833	0.407447	25.476	0.488602	30.4536	0.250753	15.6559	0.622732	38.9855
