Sym0		Asym0		Sym1		Sym2		Asym1		Asym2		Asym3	
343  Points		344  Points		201  Points		140  Points		289  Points		289  Points		143  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.00436912	9.01336	5.43199e-005	0.256791	0.459115	-0.0413619	0.59512	0.109551	0.297571	0.186003	0.297607	0.273041	0.892583	-0.560113
0.0104615	9.01241	0.000227891	0.344653	0.459087	-0.0736741	0.595194	0.193738	0.297697	0.288888	0.297791	0.375768	0.892204	-0.753284
0.0165525	9.00997	0.000520238	0.519802	0.459015	-0.1378	0.595382	0.361598	0.297961	0.494164	0.298115	0.58057	0.891565	-1.11019
0.0226415	9.00639	0.000930582	0.693523	0.458901	-0.200731	0.595683	0.528415	0.298365	0.698157	0.298576	0.783818	0.890704	-1.40572
0.0287278	9.00157	0.00145777	0.865302	0.458744	-0.26188	0.596097	0.693652	0.298905	0.900392	0.299175	0.985066	0.889664	-1.63971
0.0348103	8.99567	0.00210034	1.03461	0.458547	-0.320778	0.596621	0.856739	0.299582	1.10032	0.299908	1.18393	0.888487	-1.81885
0.0408885	8.9886	0.0028564	1.20108	0.45831	-0.376887	0.597255	1.01734	0.300393	1.29746	0.300775	1.37985	0.887205	-1.95249
0.0469615	8.98022	0.00372401	1.36442	0.458037	-0.429642	0.597996	1.1751	0.301336	1.49143	0.301773	1.57239	0.885847	-2.04996
0.0530284	8.97073	0.00470089	1.52412	0.45773	-0.478818	0.598843	1.32959	0.302409	1.68191	0.302901	1.76122	0.884434	-2.11911
0.0590885	8.95993	0.00578438	1.67997	0.45739	-0.524067	0.599794	1.48046	0.303609	1.86853	0.304154	1.94606	0.882983	-2.16626
0.0651408	8.94781	0.00697194	1.83174	0.457021	-0.564893	0.600845	1.62765	0.304935	2.05084	0.305531	2.12652	0.881506	-2.19643
0.0711846	8.93438	0.00826062	1.97912	0.456626	-0.601114	0.601994	1.77078	0.306382	2.2286	0.307029	2.3023	0.880013	-2.21337
