Sym0		Asym0		Sym1		Asym1		Asym2		Asym3	
342  Points		342  Points		210  Points		292  Points		292  Points		144  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.00483857	9.01329	5.08762e-005	0.246977	0.459114	-0.0384524	0.322759	0.169429	0.322751	0.127439	0.91823	-0.148961
0.0106335	9.0124	0.000209665	0.330743	0.459089	-0.0609096	0.322868	0.261021	0.322833	0.219118	0.918134	-0.268447
0.0164273	9.01005	0.000476166	0.497664	0.459035	-0.105568	0.323095	0.443879	0.323033	0.402133	0.917885	-0.50283
0.0222192	9.00662	0.000849592	0.663489	0.458953	-0.149457	0.323439	0.625764	0.32335	0.584333	0.917488	-0.725886
0.0280085	9.0022	0.00132932	0.827865	0.458843	-0.192338	0.323899	0.806341	0.323784	0.765219	0.916951	-0.933718
0.0337948	8.99676	0.00191411	0.9903	0.458706	-0.233948	0.324476	0.98515	0.324334	0.944434	0.916287	-1.12352
0.0395771	8.99024	0.00260271	1.15065	0.458542	-0.27397	0.325166	1.16191	0.324998	1.12169	0.915507	-1.29382
0.045355	8.9826	0.00339369	1.30855	0.458354	-0.312196	0.32597	1.33626	0.325776	1.29661	0.914623	-1.44412
0.0511275	8.97389	0.00428532	1.46364	0.458141	-0.348314	0.326884	1.50783	0.326666	1.46888	0.91365	-1.57488
0.0568941	8.96402	0.00527574	1.61579	0.457906	-0.382023	0.327909	1.67648	0.327665	1.63818	0.912598	-1.68719
0.062654	8.95298	0.00636301	1.76471	0.45765	-0.413248	0.32904	1.84182	0.328772	1.80432	0.91148	-1.78232
0.0684064	8.94077	0.0075449	1.91012	0.457374	-0.441733	0.330277	2.00364	0.329985	1.96699	0.910306	-1.86187
0.0741506	8.92728	0.00881915	2.05192	0.457082	-0.46718	0.331617	2.16171	0.331301	2.1259	0.909086	-1.92747
