Sym0		Asym0		Sym1		Asym1		Asym2	
341  Points		338  Points		214  Points		291  Points		291  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.00112048	9.01404	0.000317592	0.488456	0.459105	-0.0543316	0.338518	0.180624	0.338543	0.236569
0.00678264	9.01342	0.000624415	0.569622	0.459071	-0.0729994	0.338631	0.266756	0.338691	0.322544
0.012444	9.0118	0.00103321	0.731314	0.459013	-0.1101	0.338853	0.438678	0.338948	0.494212
0.0181041	9.00919	0.00154316	0.891528	0.458933	-0.146605	0.339182	0.609684	0.339312	0.664924
0.0237622	9.0056	0.00215323	1.04998	0.458829	-0.182136	0.339619	0.779508	0.339783	0.834271
0.0294178	9.00104	0.00286225	1.20643	0.458704	-0.216587	0.340162	0.947836	0.34036	1.00197
0.0350702	8.99539	0.00366887	1.36061	0.458557	-0.249748	0.34081	1.11426	0.341042	1.16779
0.0407187	8.98877	0.00457159	1.51233	0.45839	-0.281306	0.341561	1.27862	0.341827	1.33137
0.0463628	8.98117	0.0055688	1.66127	0.458204	-0.31118	0.342416	1.44058	0.342715	1.49243
0.0520018	8.9725	0.00665864	1.80719	0.457999	-0.339098	0.343371	1.5998	0.343702	1.65084
0.0576349	8.96264	0.00783916	1.95007	0.457778	-0.36495	0.344426	1.75616	0.344789	1.80622
0.0632615	8.95173	0.00910851	2.08973	0.457541	-0.388517	0.345578	1.90941	0.345971	1.95837
0.068881	8.93969	0.0104645	2.22586	0.457289	-0.40958	0.346825	2.05935	0.347249	2.10721
0.0744924	8.92646	0.0119049	2.35853	0.457026	-0.428023	0.348165	2.20585	0.348619	2.25258
0.0800953	8.91196	0.0134275	2.48764	0.456752	-0.443724	0.349596	2.34872	0.350079	2.39427
0.0856885	8.89622	0.0150301	2.61299	0.456469	-0.456549	0.351115	2.4878	0.351627	2.53209
0.0912715	8.87917	0.0167102	2.73463	0.456178	-0.46634	0.352721	2.6231	0.35326	2.66607
0.0968434	8.86073	0.0184656	2.85255	0.455883	-0.472884	0.354411	2.75443	0.354976	2.79616
0.102403	8.8409	0.0202938	2.96672	0.455584	-0.476087	0.356182	2.88173	0.356773	2.92218
0.10795	8.81949	0.0221927	3.07707	0.455285	-0.475975	0.358031	3.0051	0.358647	3.04418
0.113483	8.79654	0.0241596	3.18361	0.454986	-0.472274	0.359957	3.1243	0.360597	3.16207
0.119001	8.77205	0.0261922	3.28652	0.454691	-0.464872	0.361956	3.23939	0.36262	3.27583
0.124503	8.74578	0.0282884	3.38577	0.454402	-0.453762	0.364026	3.35051	0.364712	3.38561
0.129989	8.71768	0.0304457	3.48129	0.454121	-0.438821	0.366165	3.45749	0.366873	3.4913
0.135455	8.68777	0.0326619	3.57325	0.453851	-0.419911	0.36837	3.56042	0.369099	3.59296
0.140903	8.65587	0.0349348	3.6618	0.453594	-0.396866	0.370638	3.65939	0.371387	3.69059
0.14633	8.62183	0.0372622	3.74687	0.453352	-0.369677	0.372967	3.75434	0.373735	3.78428
0.151735	8.58558	0.039642	3.82859	0.453129	-0.338223	0.375355	3.84538	0.376141	3.87409
0.157116	8.54709	0.0420721	3.90706	0.452927	-0.302364	0.377798	3.93263	0.378602	3.96007
0.162472	8.50607	0.0445504	3.98233	0.452749	-0.262043	0.380295	4.01608	0.381116	4.0423
0.167802	8.46249	0.0470751	4.05453	0.452598	-0.217032	0.382844	4.09576	0.38368	4.12082
0.173104	8.41628	0.0496441	4.12375	0.452477	-0.167315	0.385441	4.17178	0.386293	4.19575
0.178375	8.36709	0.0522557	4.19006	0.452388	-0.112747	0.388085	4.2443	0.388951	4.26705
0.183615	8.31488	0.0549081	4.2536	0.452335	-0.0531491	0.390773	4.3133	0.391654	4.33491
0.188821	8.25956	0.0575995	4.31439	0.452321	0.0115118	0.393504	4.37884	0.394397	4.39936
0.193992	8.20085	0.0603282	4.37255	0.45235	0.0814098	0.396274	4.44105	0.397181	4.46048
0.199124	8.13852	0.0630927	4.42824	0.452423	0.156785	0.399083	4.49996	0.400001	4.51841
0.204216	8.07252	0.0658914	4.48149	0.452547	0.237682	0.401927	4.55575	0.402857	4.57311
0.209266	8.00266	0.0687228	4.53238	0.452722	0.324193	0.404806	4.60834	0.405746	4.62472
