Sym0		Asym0		Sym1		Asym1		Asym2	
341  Points		338  Points		214  Points		291  Points		291  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.00112048	9.01406	0.000317592	0.203717	0.459105	779.118	0.338518	986.443	0.338543	619.142
0.00678264	9.01404	0.000624415	0.285495	0.459071	377.088	0.338631	348.63	0.338691	288.262
0.012444	9.01348	0.00103321	0.366999	0.459013	248.712	0.338853	211.854	0.338948	187.982
0.0181041	9.01264	0.00154316	0.448147	0.458933	185.524	0.339182	152.262	0.339312	139.563
0.0237622	9.01144	0.00215323	0.528844	0.458829	147.921	0.339619	118.924	0.339783	111.063
0.0294178	9.00993	0.00286225	0.609025	0.458704	122.977	0.340162	97.6378	0.34036	92.3002
0.0350702	9.00808	0.00366887	0.688617	0.458557	105.218	0.34081	82.8805	0.341042	79.0238
0.0407187	9.00589	0.00457159	0.767557	0.45839	91.9298	0.341561	72.0562	0.341827	69.1422
0.0463628	9.00337	0.0055688	0.845786	0.458204	81.6115	0.342416	63.7841	0.342715	61.5068
0.0520018	9.00052	0.00665864	0.923231	0.457999	73.3667	0.343371	57.2619	0.343702	55.4347
0.0576349	8.99732	0.00783916	0.999833	0.457778	66.627	0.344426	51.9915	0.344789	50.4942
0.0632615	8.99375	0.00910851	1.07556	0.457541	61.0144	0.345578	47.6474	0.345971	46.3991
0.068881	8.98984	0.0104645	1.15035	0.457289	56.2676	0.346825	44.0079	0.347249	42.952
0.0744924	8.98556	0.0119049	1.22416	0.457026	52.2006	0.348165	40.9167	0.348619	40.0126
0.0800953	8.98091	0.0134275	1.29696	0.456752	48.6769	0.349596	38.2605	0.350079	37.4782
0.0856885	8.97588	0.0150301	1.36871	0.456469	45.5945	0.351115	35.955	0.351627	35.2719
0.0912715	8.97046	0.0167102	1.43937	0.456178	42.8753	0.352721	33.9365	0.35326	33.3353
0.0968434	8.96463	0.0184656	1.50893	0.455883	40.4589	0.354411	32.1557	0.354976	31.6228
0.102403	8.9584	0.0202938	1.57737	0.455584	38.2975	0.356182	30.5739	0.356773	30.0986
0.10795	8.95174	0.0221927	1.64465	0.455285	36.3527	0.358031	29.1604	0.358647	28.734
0.113483	8.94464	0.0241596	1.71078	0.454986	34.5938	0.359957	27.8904	0.360597	27.506
0.119001	8.9371	0.0261922	1.77573	0.454691	32.9955	0.361956	26.7436	0.36262	26.3955
0.124503	8.92909	0.0282884	1.83951	0.454402	31.537	0.364026	25.7037	0.364712	25.3871
0.129989	8.9206	0.0304457	1.9021	0.454121	30.2009	0.366165	24.7566	0.366873	24.4676
0.135455	8.91162	0.0326619	1.9635	0.453851	28.9726	0.36837	23.8911	0.369099	23.6263
0.140903	8.90212	0.0349348	2.02372	0.453594	27.8398	0.370638	23.0972	0.371387	22.8539
0.14633	8.89209	0.0372622	2.08275	0.453352	26.7921	0.372967	22.3668	0.373735	22.1425
0.151735	8.88151	0.039642	2.14061	0.453129	25.8204	0.375355	21.6928	0.376141	21.4854
