Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2		Asym3		Asym4	
469  Points		497  Points		231  Points		196  Points		183  Points		128  Points		338  Points		209  Points		171  Points		106  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.0021051	5.23924	5.62818e-005	0.0653904	0.279522	472.168	0.468629	525.235	0.559024	1059.27	0.838528	1964.86	0.139801	215.702	0.419264	2386.19	0.698773	2332.68	0.937239	3640.98
0.00698645	5.23922	0.000243641	0.13593	0.279595	183.498	0.46866	256.952	0.559067	383.07	0.838551	617.282	0.140029	88.6364	0.419297	378.632	0.698796	567.548	0.937246	788.192
0.0118674	5.23906	0.000560898	0.205903	0.279732	113.926	0.468712	170.093	0.559152	233.844	0.838599	366.176	0.140448	55.9216	0.419379	205.669	0.698847	323.099	0.937263	441.937
0.0167479	5.23881	0.00100556	0.275061	0.279934	82.6475	0.468786	127.135	0.559277	168.314	0.838671	260.308	0.141054	40.9658	0.41951	141.212	0.698926	225.85	0.937288	307.056
0.0216275	5.2385	0.00157417	0.343144	0.2802	64.8794	0.468881	101.511	0.559444	131.494	0.838768	201.94	0.141843	32.422	0.41969	107.544	0.699033	173.615	0.937323	235.26
0.0265063	5.23812	0.00226249	0.409932	0.280529	53.4293	0.468997	84.4933	0.559651	107.911	0.838889	164.965	0.142812	26.9122	0.419918	86.8644	0.699168	141.017	0.937368	190.681
0.0313837	5.23763	0.00306564	0.475229	0.280922	45.4407	0.469136	72.3707	0.559899	91.5179	0.839034	139.445	0.143955	23.0761	0.420195	72.8762	0.699332	118.738	0.937421	160.309
0.0362597	5.23708	0.00397809	0.538849	0.281378	39.5534	0.469296	63.2978	0.560187	79.4636	0.839203	120.773	0.145267	20.2604	0.42052	62.787	0.699523	102.548	0.937485	138.287
0.041134	5.23643	0.00499394	0.600647	0.281896	35.0375	0.469477	56.2532	0.560516	70.2286	0.839397	106.518	0.14674	18.1123	0.420893	55.1683	0.699742	90.253	0.937557	121.587
0.0460063	5.2357	0.00610712	0.660518	0.282477	31.4659	0.469682	50.626	0.560885	62.9289	0.839615	95.2807	0.148369	16.4245	0.421315	49.2135	0.699989	80.5992	0.937639	108.49
0.0508765	5.23488	0.0073114	0.718377	0.283119	28.5721	0.469908	46.028	0.561295	57.0149	0.839857	86.1948	0.150145	15.0672	0.421784	44.4327	0.700264	72.819	0.937731	97.9419
0.0557443	5.23399	0.0086004	0.774159	0.283823	26.1813	0.470158	42.2011	0.561744	52.1273	0.840124	78.6971	0.152063	13.9549	0.422301	40.511	0.700567	66.4158	0.937833	89.2659
0.0606093	5.233	0.00996798	0.827833	0.284586	24.1741	0.47043	38.9668	0.562234	48.021	0.840415	72.4052	0.154115	13.0292	0.422865	37.237	0.700898	61.0543	0.937944	82.0042
0.0654714	5.23192	0.0114081	0.879389	0.285409	22.4661	0.470725	36.1978	0.562763	44.5231	0.84073	67.0503	0.156295	12.2486	0.423477	34.4634	0.701256	56.5001	0.938065	75.8372
0.0703303	5.23076	0.0129149	0.928833	0.286292	20.9957	0.471044	33.8006	0.563331	41.5085	0.841069	62.4379	0.158594	11.5831	0.424136	32.0843	0.701642	52.5839	0.938196	70.535
0.0751857	5.2295	0.0144828	0.976185	0.287232	19.7174	0.471387	31.7055	0.563939	38.8839	0.841432	58.4239	0.161007	11.0101	0.424842	30.0217	0.702056	49.1808	0.938337	65.9276
0.0800372	5.22815	0.0161066	1.02148	0.288229	18.5965	0.471754	29.8591	0.564586	36.5786	0.841819	54.8993	0.163198	10.5729	0.425594	28.2171	0.702497	46.1966	0.938488	61.887
0.0848847	5.22669	0.0177812	1.06477	0.289283	17.6062	0.472146	28.2197	0.565272	34.5383	0.842231	51.78	0.165126	10.2387	0.426392	26.6253	0.702966	43.5586	0.93865	58.3149
0.0897278	5.22515	0.019502	1.10611	0.290393	16.7253	0.472562	26.7548	0.565997	32.7199	0.842666	49	0.166762	9.98579	0.427236	25.2113	0.703462	41.2103	0.938822	55.1342
0.0945662	5.2235	0.0212648	1.14555	0.291557	15.9371	0.473004	25.438	0.56676	31.0895	0.843126	46.5071	0.16808	9.7992	0.428126	23.9472	0.703985	39.1065	0.939004	52.2842
0.0993996	5.22175	0.0230655	1.18317	0.292775	15.2282	0.473472	24.2481	0.567561	29.6196	0.843609	44.2592	0.169063	9.66895	0.429061	22.8108	0.704536	37.2112	0.939197	49.7158
0.104228	5.21989	0.0249005	1.21904	0.294046	14.5873	0.473966	23.168	0.5684	28.288	0.844116	42.2219	0.169698	9.58849	0.430042	21.7839	0.705114	35.495	0.939401	47.3894
0.10905	5.21792	0.0267663	1.25322	0.295368	14.0056	0.474487	22.1832	0.569277	27.0761	0.844647	40.3673	0.17062	9.47663	0.431066	20.8517	0.705719	33.934	0.939615	45.2724
0.113866	5.21584	0.02866	1.2858	0.296741	13.4754	0.475035	21.2818	0.57019	25.9688	0.845202	38.6718	0.171632	9.35985	0.432135	20.0019	0.706352	32.508	0.939841	43.3378
