Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2		Asym3		Asym4	
420  Points		526  Points		420  Points		400  Points		349  Points		250  Points		453  Points		396  Points		341  Points		214  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.279511	440.607	0.000211369	0.0902141	0.27951	520.996	0.441405	2166.21	0.559017	2145.32	0.838526	10647.3	0.139764	286.712	0.419268	502.306	0.698772	1231.75	0.882812	1118.2
0.279524	178.487	0.000412331	0.125915	0.279522	190.386	0.441413	388.752	0.559026	468.875	0.838529	829.857	0.139833	98.5319	0.419284	237.369	0.698779	466.165	0.882819	512.912
0.279547	111.919	0.00067902	0.161427	0.279544	116.482	0.441434	213.546	0.559046	263.209	0.838538	431.759	0.13997	59.54	0.419312	155.412	0.698792	287.487	0.882833	332.782
0.279581	81.5232	0.0010107	0.196708	0.279577	83.9172	0.441465	147.211	0.559078	182.965	0.838554	291.789	0.140175	42.703	0.419353	115.531	0.698811	207.832	0.882852	246.292
0.279625	64.1173	0.00140643	0.231712	0.27962	65.5882	0.441509	112.328	0.55912	140.223	0.838575	220.357	0.140446	33.3265	0.419405	91.9452	0.698836	162.744	0.882878	195.488
0.279681	52.8412	0.00186519	0.266401	0.279674	53.8356	0.441564	90.8149	0.559174	113.675	0.838602	177.024	0.140784	27.3582	0.419469	76.362	0.698867	133.735	0.882909	162.062
0.279747	44.9425	0.0023857	0.300725	0.279739	45.6593	0.441631	76.223	0.559239	95.5843	0.838635	147.936	0.141186	23.2304	0.419544	65.3002	0.698904	113.505	0.882946	138.4
0.279823	39.102	0.00296666	0.334655	0.279815	39.643	0.44171	65.6756	0.559316	82.4653	0.838674	127.06	0.141652	20.2091	0.419632	57.042	0.698947	98.5937	0.882988	120.769
0.279911	34.6084	0.00360657	0.368147	0.279901	35.0312	0.4418	57.6964	0.559403	72.5167	0.838719	111.349	0.142182	17.9047	0.419732	50.6418	0.698997	87.1474	0.883037	107.125
0.280009	31.0444	0.0043039	0.401176	0.279998	31.3837	0.441902	51.4497	0.559502	64.7136	0.83877	99.0984	0.142772	16.0911	0.419843	45.5364	0.699052	78.0841	0.883091	96.2523
0.280117	28.1487	0.00505701	0.433709	0.280105	28.4272	0.442016	46.4268	0.559613	58.4298	0.838827	89.2777	0.143423	14.6284	0.419966	41.3693	0.699114	70.7301	0.883151	87.3849
0.280236	25.7499	0.00586419	0.465722	0.280223	25.9824	0.442142	42.3004	0.559734	53.2612	0.83889	81.2295	0.144132	13.425	0.420101	37.9038	0.699181	64.6436	0.883217	80.015
0.280366	23.7303	0.0067237	0.497194	0.280352	23.9273	0.442279	38.8505	0.559867	48.9355	0.838958	74.5138	0.144898	12.4186	0.420247	34.9768	0.699255	59.523	0.883289	73.7929
0.280507	22.0067	0.00763383	0.52811	0.280492	22.1758	0.442427	35.9236	0.560011	45.2621	0.839033	68.8251	0.145719	11.5654	0.420406	32.472	0.699335	55.1555	0.883366	68.4699
0.280658	20.5188	0.00859266	0.558447	0.280642	20.6655	0.442588	33.4092	0.560166	42.1041	0.839113	63.9447	0.146593	10.8337	0.420576	30.3043	0.699421	51.3863	0.88345	63.8643
0.28082	19.2213	0.00959852	0.588202	0.280802	19.3498	0.44276	31.226	0.560332	39.3602	0.8392	59.7117	0.147397	10.2765	0.420758	28.4102	0.699513	48.1005	0.883539	59.8404
0.280992	18.0801	0.0106496	0.617363	0.280974	18.1935	0.442943	29.3128	0.560509	36.9542	0.839292	56.0055	0.148112	9.85101	0.420952	26.741	0.699611	45.2108	0.883634	56.2945
0.281175	17.0687	0.0117439	0.645917	0.281156	17.1695	0.443138	27.6226	0.560698	34.8273	0.83939	52.7336	0.148724	9.52897	0.421157	25.2591	0.699715	42.6496	0.883734	53.1464
0.281369	16.1661	0.01288	0.67387	0.281348	16.2563	0.443345	26.1186	0.560898	32.9338	0.839494	49.8238	0.14922	9.29138	0.421374	23.9346	0.699825	40.3641	0.883841	50.3326
0.281573	15.3558	0.014056	0.701214	0.281551	15.437	0.443563	24.7718	0.561109	31.2373	0.839604	47.2193	0.149592	9.12548	0.421603	22.744	0.699941	38.312	0.883953	47.8027
0.281788	14.6245	0.0152701	0.727949	0.281765	14.6979	0.443793	23.5588	0.561331	29.7087	0.83972	44.8745	0.149834	9.02298	0.421843	21.6679	0.700063	36.4594	0.884071	45.5158
0.282013	13.9611	0.0165208	0.75408	0.281989	14.0279	0.444034	22.4607	0.561564	28.3244	0.839842	42.7523	0.150185	8.8804	0.422095	20.6907	0.700192	34.7785	0.884195	43.4385
0.282249	13.3567	0.0178065	0.779611	0.282224	13.4177	0.444287	21.462	0.561808	27.0648	0.83997	40.8227	0.150572	8.73149	0.422359	19.7993	0.700326	33.2466	0.884325	41.5434
0.282496	12.8038	0.0191256	0.804546	0.28247	12.8597	0.444551	20.5499	0.562064	25.914	0.840103	39.0605	0.151107	8.53847	0.422635	18.9831	0.700467	31.8448	0.88446	39.8074
0.282753	12.2963	0.0204766	0.828889	0.282725	12.3476	0.444827	19.7136	0.56233	24.8585	0.840243	37.4449	0.151799	8.30885	0.422922	18.233	0.700613	30.5571	0.884601	38.2114
0.283021	11.8286	0.0218581	0.852654	0.282992	11.876	0.445114	18.9441	0.562608	23.8869	0.840388	35.9584	0.152657	8.05081	0.42322	17.5413	0.700766	29.3703	0.884748	36.7392
0.283299	11.3965	0.0232686	0.875844	0.283269	11.4403	0.445412	18.2338	0.562896	22.9898	0.84054	34.5861	0.153692	7.7726	0.42353	16.9015	0.700925	28.2729	0.884901	35.3768
0.283587	10.996	0.0247068	0.898471	0.283557	11.0367	0.445722	17.5761	0.563195	22.1588	0.840697	33.3154	0.154917	7.48203	0.423852	16.308	0.701089	27.2553	0.885059	34.1126
0.283887	10.6238	0.0261715	0.920546	0.283855	10.6616	0.446043	16.9655	0.563506	21.387	0.84086	32.1353	0.15618	7.21823	0.424185	15.756	0.70126	26.309	0.885223	32.9361
0.284196	10.277	0.0276614	0.942078	0.284163	10.3123	0.446375	16.397	0.563827	20.6684	0.841029	31.0367	0.15748	6.97782	0.424529	15.2413	0.701437	25.4269	0.885393	31.8388
0.284516	9.95326	0.0291753	0.963077	0.284441	10.027	0.446719	15.8666	0.56416	19.9976	0.841204	30.0113	0.158814	6.75796	0.424886	14.7604	0.70162	24.6026	0.885569	30.8127
0.284847	9.65029	0.0307121	0.983559	0.284683	9.79651	0.447074	15.3706	0.564503	19.37	0.841385	29.052	0.160182	6.55624	0.425253	14.31	0.701809	23.8306	0.885751	29.8514
0.285188	9.3662	0.0322708	1.00353	0.284888	9.61422	0.44744	14.9057	0.564857	18.7817	0.841571	28.1528	0.161582	6.37059	0.425632	13.8873	0.702004	23.1063	0.885938	28.9487
0.285539	9.09932	0.0338504	1.02301	0.285053	9.47508	0.447817	14.4692	0.565222	18.2291	0.841764	27.3081	0.163012	6.19925	0.426022	13.49	0.702205	22.4252	0.886131	28.0995
0.285901	8.84814	0.0354497	1.04201	0.285176	9.37547	0.448206	14.0585	0.565598	17.7091	0.841962	26.5132	0.164471	6.04071	0.426424	13.1158	0.702411	21.7836	0.886329	27.2993
0.286274	8.61136	0.037068	1.06053	0.285256	9.31288	0.448605	13.6715	0.565984	17.2189	0.842166	25.7637	0.165958	5.89364	0.426837	12.7627	0.702625	21.1783	0.886534	26.5439
0.286656	8.3878	0.0387044	1.0786	0.285371	9.22444	0.449016	13.3062	0.566382	16.7561	0.842376	25.056	0.167471	5.75691	0.427261	12.4292	0.702844	20.6062	0.886744	25.8296
0.287049	8.17639	0.0403578	1.09621	0.285497	9.13032	0.449437	12.9609	0.56679	16.3183	0.842592	24.3866	0.16901	5.62951	0.427696	12.1135	0.703069	20.0647	0.88696	25.1533
0.287453	7.97621	0.0420278	1.1134	0.285671	9.00554	0.44987	12.6339	0.567209	15.9038	0.842814	23.7525	0.170573	5.51056	0.428143	11.8144	0.7033	19.5515	0.887181	24.5119
0.287867	7.78639	0.0437134	1.13016	0.285894	8.85286	0.450314	12.3239	0.567638	15.5106	0.843042	23.151	0.172159	5.39928	0.428601	11.5306	0.703537	19.0643	0.887409	23.9029
0.288291	7.60618	0.0454139	1.1465	0.28617	8.67546	0.450768	12.0296	0.568079	15.1373	0.843275	22.5797	0.173767	5.295	0.42907	11.2609	0.70378	18.6012	0.887641	23.3238
0.288725	7.43488	0.0471287	1.16245	0.2865	8.47683	0.451234	11.7499	0.568529	14.7823	0.843514	22.0364	0.175397	5.19709	0.42955	11.0045	0.704029	18.1606	0.88788	22.7726
