Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2		Asym3		Asym4	
426  Points		528  Points		426  Points		406  Points		353  Points		254  Points		457  Points		401  Points		346  Points		216  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.279509	0.00951223	0.000194453	0.206571	0.27951	0.0115412	0.441167	0.00886437	0.559017	0.00881319	0.838526	0.00336552	0.139763	0.0734161	0.419267	0.0168533	0.698772	0.00673587	0.882335	0.00817949
0.279518	0.0149799	0.000386914	0.241332	0.279521	0.0169407	0.441175	0.0151109	0.559026	0.0147295	0.838529	0.00647823	0.139832	0.109054	0.419283	0.0230368	0.698779	0.00992035	0.882342	0.0113485
0.279537	0.0258165	0.000644148	0.310532	0.279542	0.0277926	0.441195	0.027625	0.559045	0.0265459	0.838538	0.012667	0.139967	0.180153	0.41931	0.0353617	0.698791	0.0162511	0.882356	0.0175597
0.279566	0.0366498	0.000965556	0.378912	0.279573	0.0386564	0.441226	0.0401288	0.559075	0.0383133	0.838552	0.0188188	0.140168	0.250793	0.419349	0.0476337	0.698809	0.0225406	0.882375	0.0237565
0.279605	0.0475499	0.00135021	0.446239	0.279614	0.0494711	0.441269	0.052612	0.559116	0.0500562	0.838573	0.0249702	0.140434	0.320734	0.419399	0.0599461	0.698833	0.0288206	0.8824	0.0299978
0.279655	0.0583636	0.00179707	0.512411	0.279665	0.0603338	0.441324	0.0651271	0.559168	0.0618233	0.838599	0.0311207	0.140765	0.389793	0.41946	0.0722662	0.698863	0.0350819	0.882431	0.0361815
0.279714	0.0692245	0.00230503	0.577226	0.279726	0.0712195	0.441391	0.0776329	0.559231	0.0736387	0.838631	0.0372693	0.14116	0.457816	0.419533	0.0845285	0.698898	0.041379	0.882468	0.0423965
0.279784	0.0801066	0.00287267	0.640572	0.279797	0.0820776	0.441469	0.0901202	0.559305	0.0854043	0.838668	0.0434141	0.141618	0.52465	0.419618	0.0968216	0.69894	0.0476743	0.88251	0.0486011
0.279863	0.0909575	0.00349867	0.702372	0.279879	0.0929541	0.441559	0.102644	0.559391	0.0971434	0.838712	0.0495514	0.142138	0.590129	0.419714	0.109103	0.698987	0.053966	0.882558	0.0547845
0.279953	0.10182	0.00418146	0.762543	0.279971	0.103794	0.44166	0.115093	0.559487	0.108903	0.838761	0.0557468	0.142718	0.654143	0.419821	0.121362	0.69904	0.0602506	0.882612	0.0609992
0.280053	0.112631	0.00491958	0.820997	0.280072	0.114634	0.441773	0.12754	0.559593	0.12063	0.838815	0.0619122	0.143357	0.716619	0.41994	0.133647	0.699099	0.066521	0.882672	0.0672028
