Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2	
253  Points		398  Points		253  Points		211  Points		148  Points		321  Points		218  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.433012	-0.0418403	0.000269531	0.354557	0.433012	-0.0402378	0.488358	0.114597	0.866026	0.0121211	0.216545	0.186142	0.649525	0.0236871
0.432979	-0.0702437	0.000548718	0.416209	0.43298	-0.0687271	0.488448	0.171867	0.866035	0.0206218	0.216692	0.255213	0.649543	0.0321229
0.432901	-0.126509	0.000924998	0.538857	0.432904	-0.125077	0.488628	0.285786	0.866058	0.0377178	0.216947	0.392925	0.649575	0.0489374
0.432779	-0.181323	0.00139734	0.659967	0.432783	-0.179886	0.488898	0.39802	0.866095	0.0548373	0.21731	0.529516	0.64962	0.0656674
0.432615	-0.234015	0.00196435	0.779127	0.43262	-0.232656	0.489255	0.508006	0.866145	0.0719176	0.217781	0.664647	0.649679	0.0824884
0.432411	-0.284109	0.00262435	0.896036	0.432417	-0.282818	0.489698	0.61532	0.866208	0.0890058	0.218357	0.798071	0.64975	0.0993183
0.432168	-0.331174	0.00337547	1.01052	0.432175	-0.329933	0.490224	0.719454	0.866285	0.10611	0.219038	0.92938	0.649835	0.116079
0.431889	-0.374779	0.00421577	1.12233	0.431897	-0.373638	0.490831	0.820088	0.866375	0.123246	0.219821	1.05828	0.649933	0.132875
0.431578	-0.414673	0.00514297	1.23119	0.431586	-0.413645	0.491516	0.917017	0.866479	0.140359	0.220704	1.18461	0.650044	0.149654
0.431236	-0.450698	0.00615472	1.33697	0.431246	-0.449808	0.492275	1.01009	0.866596	0.157426	0.221686	1.30807	0.650169	0.166486
0.430868	-0.482795	0.00724849	1.43949	0.430878	-0.48201	0.493106	1.09917	0.866727	0.174487	0.222764	1.42846	0.650306	0.183339
0.430476	-0.510852	0.0084217	1.53872	0.430487	-0.51019	0.494006	1.18426	0.866871	0.191625	0.223936	1.54566	0.650457	0.200146
0.430063	-0.534902	0.00967175	1.63449	0.430075	-0.534312	0.494971	1.26543	0.867028	0.208741	0.225199	1.65952	0.650622	0.216947
0.429633	-0.555096	0.0109958	1.72671	0.429645	-0.554564	0.495999	1.34276	0.8672	0.225814	0.22655	1.76988	0.650799	0.233824
0.429189	-0.571479	0.0123911	1.81549	0.429201	-0.571063	0.497086	1.4164	0.867384	0.242889	0.227986	1.87675	0.65099	0.250679
0.428733	-0.58414	0.0138549	1.90075	0.428746	-0.58387	0.49823	1.48646	0.867582	0.259965	0.229505	1.98007	0.651194	0.267489
0.428269	-0.593343	0.0153845	1.98252	0.428282	-0.59319	0.499427	1.55308	0.867793	0.277046	0.231104	2.07978	0.651411	0.284384
0.427799	-0.59927	0.0169771	2.0608	0.427812	-0.599177	0.500675	1.61648	0.868018	0.294136	0.23278	2.17588	0.651642	0.301276
0.427326	-0.602024	0.0186299	2.13563	0.427338	-0.601967	0.501973	1.67691	0.868257	0.311242	0.234531	2.26844	0.651886	0.31816
0.426851	-0.601813	0.0203404	2.20712	0.426864	-0.601826	0.503316	1.73449	0.868509	0.328297	0.236353	2.35745	0.652143	0.335029
0.426378	-0.598791	0.0221058	2.27532	0.42639	-0.598943	0.504704	1.78934	0.868774	0.345334	0.238244	2.44299	0.652413	0.351955
0.425908	-0.593179	0.0239237	2.34039	0.42592	-0.593353	0.506134	1.84175	0.869052	0.362421	0.2402	2.52516	0.652697	0.368908
0.425444	-0.585077	0.0257916	2.40233	0.425456	-0.585291	0.507605	1.89181	0.869344	0.379525	0.24222	2.60397	0.652994	0.385828
0.424987	-0.574678	0.027707	2.46121	0.424999	-0.574973	0.509114	1.93967	0.86965	0.396572	0.244301	2.67952	0.653305	0.40277
