Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2	
469  Points		492  Points		469  Points		178  Points		119  Points		372  Points		130  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.00496006	8.89828	8.21711e-005	0.324012	0.00816267	8.89724	0.27956	0.24963	0.393698	0.0721447	0.139818	0.542895	0.419263	0.0787667
0.0132505	8.89662	0.000384051	0.439733	0.0164522	8.89519	0.279793	0.349616	0.393766	0.113459	0.140324	0.81046	0.419336	0.154651
0.0215379	8.89223	0.000901565	0.665608	0.0247379	8.88999	0.280212	0.548791	0.39391	0.19646	0.141328	1.33872	0.419551	0.306279
0.0298202	8.88574	0.00162434	0.878514	0.0330177	8.88266	0.280815	0.745798	0.394132	0.280431	0.142818	1.85053	0.419907	0.457484
0.0380955	8.87706	0.00253858	1.07537	0.0412897	8.87313	0.281601	0.939862	0.394432	0.365754	0.144776	2.34087	0.420403	0.608063
0.0463617	8.86615	0.00362817	1.25427	0.0495518	8.86126	0.282567	1.13031	0.394813	0.452833	0.14718	2.80579	0.42104	0.757902
0.0546166	8.85284	0.00487576	1.41423	0.0578017	8.84703	0.283707	1.31638	0.395276	0.542102	0.150005	3.24263	0.421816	0.906775
0.062858	8.83705	0.00626343	1.55515	0.0660373	8.83029	0.28502	1.49743	0.395823	0.633921	0.153223	3.65005	0.42273	1.05445
0.0710835	8.81865	0.00777361	1.67776	0.074256	8.81081	0.286498	1.67291	0.396457	0.728717	0.156806	4.02757	0.423781	1.20082
0.0792905	8.79746	0.00938976	1.78324	0.0824552	8.78846	0.288137	1.84223	0.397181	0.826976	0.160727	4.37552	0.424967	1.34568
0.0874766	8.77331	0.0110965	1.87299	0.0906323	8.76311	0.289931	2.00494	0.397998	0.929012	0.164959	4.69495	0.426288	1.48885
0.0956386	8.74588	0.0128799	1.94869	0.0987843	8.73438	0.291873	2.16066	0.398912	1.03531	0.169476	4.98717	0.427742	1.63024
0.103774	8.71498	0.0147277	2.01199	0.106908	8.70204	0.293957	2.30899	0.399928	1.14623	0.174252	5.2538	0.429326	1.76962
0.111878	8.68027	0.016629	2.06455	0.115	8.66577	0.296175	2.44978	0.401048	1.2621	0.179266	5.49666	0.431039	1.90687
0.119948	8.6414	0.0185747	2.10791	0.123056	8.62517	0.298522	2.58299	0.402279	1.38339	0.184495	5.71755	0.432879	2.04192
0.12798	8.59794	0.0205568	2.14337	0.131072	8.57986	0.300988	2.70856	0.403626	1.51033	0.18992	5.91812	0.434844	2.17461
0.13597	8.54947	0.0225687	2.17232	0.139043	8.52931	0.303569	2.82662	0.405094	1.6432	0.195523	6.10013	0.436931	2.3048
0.143911	8.49545	0.0243416	2.193	0.146965	8.47295	0.306256	2.93763	0.406688	1.78223	0.201287	6.26515	0.439139	2.43245
0.1518	8.43523	0.0258649	2.20781	0.154832	8.41018	0.309043	3.04204	0.408415	1.92751	0.207197	6.41458	0.441464	2.55746
0.159629	8.36819	0.0271317	2.21822	0.162637	8.34031	0.311924	3.14047	0.41028	2.07914	0.21324	6.54982	0.443904	2.67966
0.167393	8.29358	0.0281373	2.22556	0.170373	8.26253	0.314895	3.234	0.412289	2.23699	0.219402	6.67212	0.446457	2.79913
0.175084	8.21049	0.0288787	2.2303	0.178033	8.17596	0.31795	3.32371	0.414448	2.40095	0.225672	6.78253	0.44912	2.91574
0.182693	8.11808	0.0293539	2.23311	0.185608	8.07965	0.321088	3.41091	0.416763	2.57074	0.23204	6.88201	0.45189	3.02944
0.190211	8.01528	0.0300382	2.23701	0.193088	7.97258	0.324306	3.49728	0.419238	2.74581	0.238496	6.97154	0.454765	3.14015
0.197628	7.90101	0.0307832	2.24075	0.200464	7.85359	0.327605	3.58463	0.421879	2.92566	0.245031	7.05194	0.457742	3.24791
0.204933	7.77421	0.0317983	2.2454	0.207723	7.72159	0.330986	3.67495	0.42469	3.10965	0.251637	7.12382	0.460817	3.35269
0.212114	7.6337	0.0330851	2.2505	0.214852	7.57551	0.334453	3.77033	0.427674	3.29695	0.258306	7.18783	0.463989	3.45444
0.219158	7.47836	0.0346446	2.25559	0.221839	7.41416	0.338011	3.87292	0.430834	3.4866	0.265031	7.24458	0.467254	3.5532
0.22605	7.30713	0.0364781	2.26042	0.228668	7.23698	0.341669	3.98485	0.434171	3.67776	0.271805	7.29457	0.47061	3.64897
