Minima		Zeros		Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2	
8  Points		7  Points		468  Points		491  Points		467  Points		170  Points		120  Points		362  Points		131  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.386611	4.34412	0.385842	4.34412	0.0002555	8.80248	0.000476372	0.245747	0.00499746	8.80306	0.279535	569.106	0.41277	829.681	0.139769	624.882	0.419267	1795.71
0.0297116	1.56306	0.0296802	1.56306	0.00845704	8.8028	0.00103508	0.360634	0.0131981	8.80231	0.279727	196.593	0.412844	288.864	0.140135	121.29	0.419371	359.921
0.19099	8.55784	0.190636	8.55784	0.0166567	8.80181	0.00179448	0.472001	0.0213957	8.80089	0.280106	118.963	0.412992	174.93	0.140992	67.5552	0.419614	200.114
0.555708	9.30673	0.553448	9.30673	0.0248524	8.80007	0.00274047	0.578945	0.0295882	8.79874	0.280671	85.4072	0.413212	125.498	0.142329	47.1481	0.419995	138.678
0.870691	9.95351	0.870182	9.95351	0.0330423	8.79765	0.00385707	0.68083	0.0377739	8.79592	0.281419	66.7192	0.413507	97.8881	0.144129	36.4842	0.420515	106.184
0.406505	9.00037	0.407037	9.00037	0.0412243	8.79452	0.00512713	0.777198	0.0459504	8.79237	0.282348	54.8285	0.413877	80.2713	0.146373	29.9812	0.421171	86.0946
0.734751	9.67437	0.735062	9.67437	0.0493964	8.79066	0.00653309	0.867765	0.0541159	8.7881	0.283454	46.6104	0.414324	68.0595	0.149036	25.6347	0.421964	72.4569
0.794432	9.79692			0.0575566	8.78607	0.00805799	0.952444	0.0622682	8.78308	0.284735	40.6007	0.41485	59.1007	0.152093	22.5473	0.422892	62.6011
				0.0657026	8.78073	0.00968565	1.03126	0.0704048	8.77728	0.286185	36.0219	0.415456	52.2516	0.155518	20.257	0.423955	55.1519
				0.0738319	8.77459	0.0114012	1.10437	0.0785235	8.77068	0.2878	32.4229	0.416146	46.8487	0.159282	18.5019	0.425151	49.3287
				0.0819423	8.76765	0.0131913	1.17199	0.0866216	8.76325	0.289575	29.524	0.416921	42.4803	0.163359	17.1225	0.426478	44.6554
