Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym3	
466  Points		491  Points		466  Points		165  Points		121  Points		111  Points		352  Points		131  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.00326213	8.70545	0.000580191	0.643665	0.001546	8.70587	0.279533	0.201147	0.430983	0.0384203	0.559028	0.110702	0.139761	0.34452	0.419268	0.11537
0.011373	8.70405	0.00117989	0.748827	0.00965722	8.70462	0.27972	0.300624	0.431019	0.0756459	0.559132	0.168233	0.140082	0.602514	0.419376	0.188263
0.0194812	8.70022	0.00197555	0.951519	0.0177661	8.70119	0.280093	0.498936	0.431124	0.150262	0.559342	0.283185	0.140883	1.11326	0.419619	0.333921
0.0275849	8.69431	0.00295294	1.13806	0.0258709	8.69572	0.28065	0.695607	0.431299	0.225374	0.559659	0.397878	0.142156	1.61064	0.419998	0.479192
0.0356821	8.68629	0.00409619	1.307	0.0339696	8.68814	0.281389	0.890096	0.431544	0.30133	0.560083	0.512274	0.143885	2.08948	0.420512	0.623908
0.0437708	8.67612	0.0053884	1.45769	0.0420603	8.67847	0.282308	1.08183	0.431861	0.378388	0.560614	0.626296	0.14605	2.54574	0.421161	0.767881
0.051849	8.66376	0.00681244	1.59032	0.050141	8.6666	0.283405	1.27019	0.432249	0.456844	0.56125	0.739863	0.148628	2.97655	0.421943	0.910882
0.0599148	8.64907	0.0083518	1.70566	0.0571729	8.65446	0.284675	1.45472	0.432712	0.536927	0.561992	0.852811	0.151596	3.38011	0.422858	1.05282
0.0679656	8.63192	0.00999075	1.80493	0.0631589	8.64269	0.286116	1.63496	0.43325	0.618869	0.562839	0.96511	0.154927	3.75561	0.423905	1.19357
0.0759994	8.61227	0.0117151	1.88957	0.0681024	8.63192	0.287722	1.81044	0.433865	0.703065	0.563791	1.07669	0.158594	4.10304	0.425082	1.33291
0.0840137	8.58997	0.0135118	1.96109	0.0720067	8.62274	0.289489	1.98077	0.43456	0.78972	0.564846	1.18751	0.162572	4.42313	0.426389	1.47068
0.0920059	8.56478	0.0153694	2.02106	0.0748747	8.61558	0.291413	2.14565	0.435337	0.879093	0.566004	1.29745	0.166836	4.71694	0.427823	1.60684
0.0999732	8.5366	0.0172778	2.071	0.076709	8.61078	0.293487	2.30476	0.436198	0.971488	0.567263	1.40643	0.171362	4.98583	0.429383	1.74116
0.107913	8.50512	0.0192284	2.11234	0.0793439	8.60367	0.295707	2.45797	0.437147	1.06714	0.568624	1.51446	0.176127	5.2315	0.431067	1.87358
0.115822	8.47016	0.0212139	2.14631	0.0822055	8.59563	0.298067	2.60516	0.438186	1.16631	0.570085	1.62139	0.18111	5.45552	0.432874	2.00402
0.123696	8.43142	0.0232278	2.17413	0.0860928	8.58405	0.300562	2.74616	0.43932	1.26921	0.571646	1.72721	0.186293	5.6595	0.434801	2.13225
0.131533	8.3886	0.0250019	2.19415	0.0910013	8.5684	0.303185	2.88111	0.440551	1.37614	0.573304	1.83185	0.191656	5.84511	0.436847	2.25827
0.139327	8.3414	0.0265259	2.20844	0.0969249	8.54798	0.30593	3.01014	0.441884	1.48723	0.575059	1.93529	0.197184	6.01381	0.439009	2.38199
0.147076	8.28934	0.0277929	2.21858	0.103855	8.52171	0.308794	3.13337	0.443323	1.6027	0.57691	2.03752	0.202862	6.16708	0.441286	2.50331
0.154774	8.23203	0.0287986	2.22571	0.11178	8.48847	0.311769	3.25115	0.444871	1.72276	0.578856	2.13841	0.208676	6.30619	0.443674	2.62217
0.162415	8.16903	0.02954	2.2305	0.119672	8.45174	0.314852	3.36388	0.446533	1.84745	0.580895	2.23794	0.214613	6.43235	0.446172	2.73846
0.169996	8.0998	0.0300153	2.2333	0.127529	8.41104	0.318037	3.47209	0.448313	1.97686	0.583026	2.33614	0.220662	6.5467	0.448777	2.85223
0.177508	8.02374	0.0306996	2.23692	0.135345	8.36612	0.321322	3.57643	0.450217	2.11101	0.585248	2.43294	0.226812	6.65014	0.451487	2.9634
0.184947	7.94032	0.0314446	2.24061	0.143118	8.31659	0.324702	3.6776	0.452247	2.2499	0.587559	2.52832	0.233054	6.74365	0.454299	3.07184
0.192304	7.84885	0.0324597	2.24529	0.150842	8.26202	0.328174	3.77651	0.454409	2.39349	0.589959	2.62225	0.239378	6.82806	0.457211	3.17768
0.199572	7.74868	0.0337463	2.25032	0.158513	8.20199	0.331739	3.87407	0.456707	2.54159	0.592446	2.71476	0.245777	6.90401	0.46022	3.28082
0.206743	7.63908	0.0353057	2.25542	0.166126	8.13602	0.335393	3.97142	0.459145	2.69394	0.595018	2.80579	0.252243	6.97219	0.463324	3.38127
0.213807	7.51935	0.0371391	2.26022	0.173674	8.06355	0.339139	4.06965	0.461727	2.85032	0.597674	2.89529	0.258769	7.03318	0.466521	3.47904
0.220755	7.38894	0.0392471	2.26438	0.181151	7.984	0.342977	4.16988	0.464456	3.01039	0.600413	2.98333	0.265349	7.0875	0.469807	3.57408
0.227576	7.24715	0.0413585	2.26745	0.188551	7.89672	0.346909	4.27335	0.467336	3.17363	0.603233	3.06989	0.271976	7.13562	0.473181	3.66648
0.234259	7.09348	0.0434723	2.26961	0.195866	7.80105	0.35094	4.38113	0.47037	3.33963	0.606133	3.15499	0.278645	7.17796	0.476639	3.75619
0.240793	6.92773	0.0455877	2.27094	0.203088	7.69634	0.355073	4.4943	0.473559	3.50787	0.609112	3.23853	0.285351	7.21482	0.48018	3.84334
0.247168	6.74968	0.0477039	2.27165	0.210207	7.58191	0.359314	4.61364	0.476906	3.67773	0.612168	3.32059	0.292089	7.24657	0.483801	3.92792
0.253371	6.55946	0.0498206	2.27193	0.217216	7.45706	0.36367	4.73966	0.480412	3.84861	0.6153	3.4012	0.298854	7.27351	0.487499	4.00991
0.259391	6.35767	0.0519374	2.27177	0.224103	7.32113	0.368146	4.87268	0.484078	4.01987	0.618506	3.48032	0.305642	7.29583	0.491273	4.08945
0.265218	6.1451	0.0540538	2.27133	0.230858	7.17359	0.37275	5.0126	0.487903	4.19087	0.621785	3.55799	0.312449	7.31382	0.495119	4.16656
0.270842	5.9229	0.0561698	2.2707	0.23747	7.01405	0.377487	5.15885	0.491887	4.36095	0.625136	3.63417	0.319271	7.3276	0.499037	4.24132
0.276254	5.69283	0.058285	2.26992	0.243928	6.84229	0.382363	5.3105	0.496029	4.52959	0.628557	3.70895	0.326103	7.33744	0.503023	4.31379
0.281449	5.45679	0.0603995	2.26897	0.25022	6.65827	0.387382	5.46621	0.500328	4.69614	0.632047	3.78234	0.332064	7.34291	0.507075	4.38402
0.286422	5.21698	0.062513	2.26788	0.256335	6.46229	0.392548	5.62435	0.50478	4.86006	0.635605	3.85427	0.337147	7.34527	0.511192	4.45211
0.291171	4.97583	0.0646255	2.26682	0.262262	6.25509	0.397862	5.78316	0.509384	5.02096	0.639229	3.92489	0.341351	7.34569	0.515371	4.51821
