Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2		Asym3	
458  Points		491  Points		162  Points		125  Points		109  Points		318  Points		137  Points		109  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.007296	8.26151	0.000613366	0.269925	0.279523	728.178	0.504943	566.982	0.559019	3509.07	0.139755	3674.65	0.419282	792.922	0.698802	809.236
0.0149916	8.26063	0.00120858	0.377205	0.279679	212.593	0.505029	277.142	0.559088	512.454	0.139992	144.362	0.419413	287.175	0.698904	389.312
0.0226837	8.25908	0.00199032	0.481248	0.280007	124.599	0.505173	183.434	0.559261	276.493	0.140664	73.9784	0.419666	175.433	0.699079	256.362
0.0303706	8.25687	0.00294583	0.581326	0.280504	88.238	0.505377	137.12	0.559538	189.392	0.141765	50.0384	0.42004	126.371	0.699324	191.144
0.0380503	8.25402	0.00406098	0.676927	0.281171	68.4007	0.505641	109.509	0.559918	144.083	0.143281	38.0579	0.420536	98.8203	0.699642	152.417
0.0457211	8.25052	0.00532054	0.767662	0.282005	55.9274	0.505966	91.1805	0.5604	116.319	0.145197	30.9159	0.421153	81.1899	0.70003	126.771
0.0533811	8.24635	0.00670913	0.853304	0.283005	47.3724	0.506353	78.1318	0.560985	97.5715	0.147494	26.2062	0.42189	68.9481	0.70049	108.541
0.0610283	8.2415	0.00821166	0.933756	0.284167	41.1495	0.506803	68.3719	0.561672	84.0678	0.150151	22.8892	0.422746	59.9585	0.701021	94.9199
0.0686608	8.23597	0.00981376	1.00903	0.28549	36.4266	0.507317	60.7992	0.562459	73.8826	0.153146	20.4423	0.423722	53.0824	0.701624	84.3592
0.0762763	8.22973	0.0115022	1.07924	0.286971	32.7252	0.507898	54.7549	0.563346	65.9303	0.156456	18.5742	0.424815	47.6568	0.702296	75.9339
