Minima		Zeros		Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2	
8  Points		7  Points		480  Points		492  Points		480  Points		282  Points		142  Points		414  Points		164  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.32693	4.54011	0.328372	4.53615	0.00614894	7.62133	0.000504925	0.565148	0.00345615	7.62206	0.279534	0.122427	0.342622	0.0803773	0.139758	0.254656	0.419299	0.138779
0.0343535	30.9142	0.0343703	31.1898	0.0132497	7.6196	0.00103147	0.659598	0.0105576	7.62075	0.279648	0.171081	0.342697	0.136757	0.139995	0.454502	0.419428	0.189116
0.200937	26.1582	0.200457	26.4395	0.0203472	7.61529	0.00173401	0.84312	0.0176566	7.61717	0.279853	0.267824	0.342877	0.249864	0.140604	0.850865	0.419651	0.289662
0.565654	9.01819	0.563799	9.01607	0.0274399	7.60915	0.00260253	1.01504	0.0247513	7.61169	0.280147	0.363239	0.343162	0.363726	0.14158	1.23878	0.419968	0.389899
0.86406	10.1289	0.861787	10.1239	0.034526	7.60105	0.00362544	1.17403	0.0318401	7.60433	0.28053	0.45695	0.343554	0.478656	0.142913	1.61486	0.420378	0.489738
0.406505	8.28929	0.405531	8.23832	0.0416037	7.59094	0.00479021	1.3193	0.0389212	7.59502	0.280999	0.548572	0.344054	0.594992	0.144589	1.97628	0.42088	0.589075
0.72812	9.64817	0.728921	8.95897	0.0486709	7.57878	0.00608381	1.45054	0.0459926	7.58366	0.281552	0.637699	0.344663	0.712966	0.146595	2.32088	0.421475	0.687773
0.900532	9.97674			0.0557259	7.56448	0.00749313	1.56792	0.0530525	7.57017	0.282187	0.724107	0.345383	0.832898	0.148914	2.6471	0.422162	0.785779
				0.0627665	7.54782	0.00900546	1.67195	0.0600988	7.55439	0.282901	0.807567	0.346215	0.954916	0.151528	2.95406	0.42294	0.882988
				0.0697904	7.52871	0.0106086	1.7634	0.0671293	7.53624	0.283692	0.887915	0.347162	1.0792	0.154419	3.24138	0.423807	0.979262
				0.0767954	7.50697	0.0122914	1.84326	0.0741417	7.51554	0.284556	0.965189	0.348226	1.20582	0.157568	3.50914	0.424764	1.07454
				0.0837788	7.48238	0.0140433	1.91245	0.0811336	7.49208	0.28549	1.03939	0.349409	1.33484	0.160958	3.75778	0.42581	1.16872
				0.090738	7.45481	0.015855	1.97209	0.0881024	7.46566	0.286493	1.11074	0.350713	1.46625	0.16457	3.98795	0.426942	1.26179
				0.09767	7.42385	0.0177181	2.02325	0.0950451	7.43598	0.28756	1.17947	0.352141	1.59994	0.168389	4.20049	0.428161	1.35365
				0.104572	7.38924	0.0196251	2.06683	0.101959	7.40283	0.28869	1.24595	0.353695	1.73577	0.172397	4.39641	0.429465	1.44415
				0.111439	7.35072	0.0215694	2.10382	0.108839	7.36583	0.289882	1.3108	0.355376	1.87348	0.176581	4.57673	0.430852	1.53323
				0.118269	7.30779	0.0235453	2.13511	0.115684	7.32456	0.291133	1.37459	0.357186	2.01288	0.180926	4.74238	0.432322	1.62094
				0.125056	7.26004	0.025548	2.16135	0.122488	7.27873	0.292443	1.438	0.359126	2.15356	0.185418	4.89447	0.433872	1.70714
				0.131797	7.20701	0.0275728	2.18336	0.129247	7.22779	0.293813	1.50191	0.361199	2.29516	0.190046	5.03394	0.435503	1.79172
				0.138486	7.14811	0.0293526	2.19956	0.135956	7.17116	0.295242	1.56732	0.363403	2.43729	0.194798	5.16162	0.437211	1.87475
				0.145117	7.08268	0.0308793	2.2114	0.14261	7.1083	0.296733	1.63524	0.36574	2.57955	0.199664	5.27847	0.438996	1.95614
				0.151684	7.01013	0.0321476	2.22001	0.149202	7.03855	0.298289	1.70668	0.36821	2.72146	0.204634	5.38526	0.440856	2.0358
				0.158179	6.92963	0.0331537	2.22613	0.155725	6.96114	0.299913	1.78292	0.370811	2.8626	0.209699	5.48267	0.44279	2.11375
				0.164596	6.84041	0.0338951	2.23027	0.162173	6.87533	0.301611	1.86523	0.373544	3.00257	0.21485	5.57143	0.444795	2.19003
				0.170926	6.74158	0.0343703	2.23276	0.168537	6.78023	0.303389	1.95478	0.376406	3.14095	0.220081	5.65213	0.44687	2.26451
				0.177158	6.63225	0.0350544	2.23599	0.174807	6.675	0.305254	2.05287	0.379397	3.27736	0.225382	5.72527	0.449014	2.33723
				0.183284	6.51158	0.0357989	2.23928	0.180975	6.55903	0.307214	2.16079	0.382513	3.41146	0.230749	5.79143	0.451226	2.40818
				0.189292	6.37865	0.0368133	2.24352	0.186257	6.44846	0.30928	2.27966	0.385754	3.543	0.236174	5.85102	0.453502	2.47735
				0.19517	6.23269	0.0380988	2.24821	0.190686	6.34671	0.311462	2.41055	0.389115	3.67169	0.241652	5.90443	0.455842	2.54479
				0.200906	6.07304	0.0396566	2.25306	0.194294	6.25713	0.313772	2.55433	0.392595	3.79736	0.247176	5.95207	0.458244	2.61046
				0.206487	5.89941	0.041488	2.25774	0.197109	6.1826	0.316222	2.71167	0.396191	3.91987	0.252743	5.99424	0.460706	2.67441
				0.211899	5.71182	0.0435938	2.26209	0.199157	6.12578	0.318825	2.88272	0.3999	4.03907	0.258346	6.03119	0.463227	2.73668
				0.21713	5.51051	0.0457032	2.26544	0.200457	6.0884	0.321593	3.06727	0.403718	4.15485	0.263981	6.0632	0.465806	2.7973
				0.222167	5.2965	0.0478152	2.26788	0.202313	6.03318	0.32454	3.26463	0.407642	4.26719	0.269644	6.09054	0.46844	2.85634
				0.226999	5.07129	0.0499291	2.26969	0.20431	5.97137	0.327677	3.4733	0.411669	4.37613	0.27533	6.11334	0.471128	2.91386
				0.231617	4.83693	0.0520445	2.27089	0.206993	5.88435	0.331012	3.69135	0.415796	4.48167	0.281036	6.13178	0.473869	2.96986
				0.236012	4.59614	0.0541607	2.27156	0.210329	5.76956	0.334555	3.9163	0.42002	4.58375	0.286756	6.14602	0.476662	3.02445
				0.240181	4.35186	0.0562773	2.27186	0.214273	5.62375	0.33831	4.14507	0.424338	4.68253	0.292488	6.1562	0.479505	3.07773
				0.244122	4.10734	0.058394	2.27186	0.218768	5.44341	0.342279	4.3744	0.428746	4.77805	0.298228	6.16235	0.482397	3.1298
				0.247835	3.86601	0.0605106	2.27157	0.22374	5.22539	0.346461	4.60096	0.433241	4.87038	0.303971	6.1646	0.485337	3.18071
				0.251326	3.63099	0.0626269	2.27106	0.228505	4.99699	0.350852	4.82146	0.437821	4.95958	0.309715	6.16304	0.488324	3.23058
				0.254601	3.405	0.0647425	2.27044	0.233052	4.76026	0.355446	5.03313	0.442483	5.04586	0.315455	6.15764	0.491357	3.27958
				0.25767	3.19031	0.0668576	2.26965	0.237375	4.51796	0.360231	5.23359	0.447223	5.12927	0.321189	6.14852	0.494435	3.32776
				0.260546	2.98857	0.0689718	2.26874	0.24147	4.27326	0.365198	5.42094	0.45204	5.20989	0.326912	6.13563	0.497558	3.37527
				0.263239	2.80093	0.0710851	2.26781	0.245338	4.02943	0.370332	5.59409	0.456931	5.28794	0.332622	6.11901	0.500725	3.42233
				0.265765	2.62788	0.0731976	2.2668	0.248979	3.78978	0.375622	5.75229	0.461894	5.36338	0.338314	6.09865	0.503935	3.46898
				0.268136	2.46942	0.075309	2.26574	0.252399	3.55735	0.381051	5.89539	0.466926	5.43641	0.343986	6.07449	0.507189	3.5154
				0.270366	2.32528	0.0774195	2.26466	0.255608	3.33479	0.386607	6.0237	0.472024	5.50718	0.349633	6.0466	0.510486	3.56181
				0.272469	2.19483	0.079529	2.26358	0.258613	3.12411	0.392276	6.13764	0.477188	5.57576	0.355253	6.01485	0.513826	3.60834
				0.274456	2.07728	0.0816375	2.26252	0.261429	2.92682	0.398044	6.23793	0.482414	5.64225	0.360841	5.97925	0.517209	3.65512
				0.27634	1.97174	0.083745	2.26148	0.264067	2.7438	0.403899	6.32535	0.487701	5.70675	0.366395	5.93984	0.520637	3.7023
				0.27813	1.87725	0.0858515	2.26041	0.266542	2.57546	0.409831	6.40086	0.493048	5.7694	0.37191	5.89647	0.524108	3.7501
				0.279838	1.7928	0.087957	2.25936	0.268866	2.42167	0.415827	6.4654	0.498452	5.83023	0.377382	5.84913	0.527625	3.79866
				0.281471	1.7175	0.0900615	2.25836	0.271054	2.28197	0.421878	6.5197	0.503912	5.88942	0.382809	5.79781	0.531187	3.84817
				0.283038	1.65046	0.0921652	2.25739	0.273119	2.15576	0.427975	6.56465	0.509426	5.94702	0.388186	5.74263	0.534795	3.89864
				0.284546	1.59081	0.0942679	2.25646	0.275071	2.04216	0.434111	6.60108	0.514993	6.00303	0.392828	5.69137	0.538451	3.9503
				0.286002	1.53786	0.0963698	2.25552	0.276924	1.94024	0.440276	6.62963	0.520612	6.05763	0.396752	5.64522	0.542156	4.00328
