Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2		Asym3		Asym4	
478  Points		494  Points		255  Points		144  Points		129  Points		401  Points		2  Points		163  Points		128  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.00231776	7.44631	7.14828e-005	0.0878493	0.279509	4360.27	0.374801	424.441	0.559022	1556.01	0.139807	276.469	-3.87518e-008	8.41692	0.419299	504.43	0.698784	986.329
0.00925479	7.44577	0.000327727	0.187767	0.279569	280.749	0.374922	206.598	0.559087	433.077	0.14018	97.5247	1.01289e-005	0.0330877	0.419426	237.914	0.698841	426.08
0.0161897	7.44471	0.000766289	0.28624	0.279735	145.129	0.375127	136.587	0.559224	251.601	0.140908	59.478			0.419643	155.734	0.698944	271.766
0.0231208	7.44307	0.00138087	0.382642	0.280007	97.9322	0.375417	102.067	0.559433	177.353	0.141983	43.015			0.419952	115.807	0.699091	199.538
0.0300462	7.44079	0.00216284	0.476346	0.280383	73.9623	0.375792	81.5199	0.559715	136.982	0.143395	33.8797			0.420351	92.2223	0.699283	157.665
0.0369646	7.43793	0.00310188	0.566846	0.280862	59.4721	0.376254	67.8972	0.560069	111.618	0.145131	28.1036			0.42084	76.6597	0.699521	130.339
0.0438739	7.43445	0.00418638	0.653726	0.281443	49.7753	0.376802	58.2095	0.560496	94.2099	0.147178	24.144			0.421418	65.6271	0.699803	111.104
0.0507724	7.43033	0.00540417	0.736708	0.282124	42.8372	0.37744	50.9715	0.560994	81.5264	0.149519	21.2762			0.422086	57.4024	0.70013	96.8323
0.0576582	7.42557	0.00674277	0.815599	0.282904	37.6319	0.378167	45.3623	0.561564	71.8772	0.152138	19.1146			0.422842	51.0383	0.700501	85.8244
0.0645294	7.42015	0.00818967	0.890282	0.28378	33.5859	0.378986	40.8906	0.562205	64.2922	0.155017	17.4354			0.423685	45.9704	0.700917	77.0769
0.0713838	7.41403	0.00973291	0.960739	0.284749	30.3536	0.379899	37.245	0.562917	58.1753	0.158139	16.0995			0.424616	41.8416	0.701376	69.9598
0.0782192	7.40719	0.0113613	1.02702	0.285809	27.7142	0.380907	34.2182	0.5637	53.1396	0.161487	15.016			0.425633	38.415	0.701879	64.057
0.0850334	7.39962	0.0130643	1.08923	0.286958	25.52	0.382012	31.667	0.564553	48.923	0.165045	14.1233			0.426736	35.527	0.702426	59.083
0.0918238	7.39126	0.0148322	1.1475	0.288193	23.6687	0.383216	29.4893	0.565475	45.3421	0.168798	13.3778			0.427922	33.0614	0.703016	54.8353
0.0985877	7.38209	0.0166564	1.20198	0.289511	22.0869	0.384522	27.6103	0.566467	42.2642	0.17273	12.7481			0.429192	30.9329	0.703649	51.1663
0.105322	7.37206	0.018529	1.25288	0.29091	20.7208	0.385932	25.9739	0.567528	39.5912	0.176827	12.2109			0.430544	29.0778	0.704325	47.9658
0.112025	7.36114	0.0204432	1.30039	0.292387	19.5299	0.387447	24.5372	0.568657	37.249	0.181077	11.7485			0.431978	27.4474	0.705043	45.1499
0.118691	7.34926	0.0223928	1.34471	0.293939	18.4834	0.38907	23.2672	0.569854	35.1803	0.185467	11.3474			0.433491	26.0042	0.705803	42.6537
0.125318	7.33638	0.0243724	1.38604	0.295566	17.557	0.390803	22.1373	0.571118	33.3406	0.189986	10.997			0.435083	24.7182	0.706605	40.426
0.131903	7.32244	0.0263775	1.42459	0.297265	16.7319	0.392647	21.1268	0.572448	31.6944	0.194623	10.689			0.436752	23.5656	0.707447	38.4259
0.138439	7.30736	0.0284041	1.46055	0.299034	15.9928	0.394605	20.2186	0.573845	30.2132	0.199369	10.4166			0.438497	22.5273	0.708331	36.6207
0.144924	7.29108	0.0301849	1.48991	0.300874	15.3275	0.396678	19.3987	0.575306	28.8738	0.204215	10.1745			0.440317	21.5875	0.709256	34.9834
0.151351	7.27352	0.0317121	1.51359	0.302784	14.7258	0.398867	18.6558	0.576833	27.6571	0.209151	9.95818			0.442211	20.7333	0.710221	33.4919
0.157717	7.2546	0.0329807	1.53228	0.304764	14.1796	0.401174	17.9801	0.578423	26.5475	0.214172	9.76406			0.444177	19.9538	0.711226	32.1277
0.164014	7.23422	0.0339868	1.54651	0.306815	13.682	0.403598	17.3638	0.580076	25.5316	0.219268	9.58909			0.446213	19.24	0.71227	30.8754
0.170236	7.21228	0.0347284	1.55668	0.30894	13.2272	0.406142	16.7998	0.581792	24.5984	0.224433	9.43074			0.448318	18.5842	0.713354	29.7221
0.176377	7.18868	0.0352036	1.56306	0.311141	12.8104	0.408805	16.2824	0.58357	23.7384	0.229662	9.28686			0.450491	17.9799	0.714478	28.6564
0.182429	7.16332	0.0358876	1.57207	0.313422	12.4276	0.411587	15.8067	0.585409	22.9437	0.234948	9.15566			0.452731	17.4214	0.71564	27.6691
0.188384	7.13609	0.0366322	1.58163	0.315786	12.0752	0.414488	15.3682	0.587307	22.2072	0.240285	9.0356			0.455035	16.9041	0.71684	26.7518
0.194234	7.10686	0.0376466	1.59427	0.31824	11.7504	0.417507	14.9632	0.589266	21.523	0.245669	8.92536			0.457403	16.4236	0.718079	25.8976
0.199969	7.07553	0.0389319	1.60969	0.320788	11.4506	0.420644	14.5885	0.591283	20.8859	0.251095	8.8238			0.459832	15.9763	0.719357	25.1003
0.205582	7.04199	0.0404896	1.62752	0.323438	11.1736	0.423896	14.2412	0.593358	20.2914	0.256558	8.72995			0.462323	15.5592	0.720672	24.3544
0.211063	7.00612	0.0423209	1.64737	0.326197	10.9175	0.427264	13.9186	0.59549	19.7355	0.262053	8.64294			0.464872	15.1694	0.722026	23.6554
0.216402	6.96785	0.0444265	1.66881	0.329073	10.6807	0.430745	13.6187	0.597679	19.2147	0.267578	8.56204			0.46748	14.8044	0.723417	22.9989
0.22159	6.92708	0.0465358	1.68893	0.332073	10.4617	0.434337	13.3393	0.599923	18.726	0.273127	8.4866			0.470143	14.462	0.724847	22.3814
0.226618	6.88377	0.0486478	1.70784	0.335204	10.2592	0.438039	13.0788	0.602222	18.2665	0.278697	8.41603			0.472862	14.1404	0.726314	21.7996
0.231477	6.83787	0.0507618	1.72561	0.338476	10.0721	0.441848	12.8355	0.604574	17.8339	0.284285	8.34984			0.475635	13.8378	0.727819	21.2505
0.236162	6.78939	0.0528773	1.74234	0.341893	9.89939	0.445762	12.6079	0.60698	17.426	0.289886	8.28758			0.478461	13.5526	0.729362	20.7316
0.240665	6.73837	0.0549937	1.7581	0.345463	9.73998	0.449779	12.3949	0.609439	17.0407	0.295498	8.22884			0.481338	13.2835	0.730943	20.2405
0.244983	6.68487	0.0571107	1.77297	0.349188	9.59304	0.453896	12.1952	0.611949	16.6765	0.300395	8.18025			0.484265	13.0293	0.732562	19.7752
0.249112	6.629	0.059228	1.78701	0.353074	9.45769	0.45811	12.0079	0.61451	16.3316	0.304572	8.14058			0.487242	12.7888	0.73422	19.3336
