Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2		Asym3	
459  Points		495  Points		183  Points		149  Points		133  Points		99  Points		310  Points		162  Points		129  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.00239218	6.87801	5.44768e-009	0.0956409	0.279516	0.107788	0.509693	0.0390607	0.559027	0.0808169	0.838528	0.0378049	0.139754	0.174994	0.419267	0.0745823	0.698795	0.0792935
0.00880039	6.87742	8.91136e-005	0.187857	0.279616	0.1711	0.50973	0.0568619	0.559102	0.120553	0.838563	0.0605979	0.139917	0.341538	0.419337	0.120171	0.698869	0.105938
0.0152075	6.87587	0.000350057	0.370536	0.279835	0.297462	0.509799	0.092541	0.559251	0.200062	0.838641	0.106199	0.140391	0.672348	0.419491	0.211235	0.698993	0.159283
0.0216128	6.87343	0.000779567	0.548468	0.28017	0.42333	0.509902	0.12845	0.559475	0.279395	0.838761	0.15177	0.14117	0.997419	0.41973	0.302103	0.699166	0.21258
0.0280154	6.87017	0.00137207	0.719577	0.280623	0.548578	0.510039	0.164745	0.559772	0.358372	0.838923	0.197357	0.142249	1.31431	0.420054	0.392799	0.699389	0.26578
0.0344146	6.86606	0.00212042	0.882242	0.281193	0.672877	0.510209	0.201594	0.560143	0.437004	0.839129	0.2429	0.143619	1.62077	0.420462	0.483223	0.699661	0.318934
0.0408095	6.86098	0.00301603	1.03501	0.281877	0.796085	0.510414	0.239036	0.560586	0.515241	0.839376	0.288357	0.145269	1.91509	0.420954	0.573252	0.699983	0.371995
0.0471993	6.85508	0.00404905	1.17701	0.282676	0.918062	0.510655	0.277152	0.561103	0.59298	0.839666	0.333787	0.147188	2.19597	0.42153	0.662928	0.700355	0.425016
0.0535832	6.84826	0.00520925	1.30777	0.283588	1.0386	0.510931	0.316032	0.561691	0.670088	0.839998	0.379163	0.149361	2.46256	0.42219	0.75212	0.700775	0.477884
0.0599603	6.84048	0.00648595	1.42707	0.284611	1.15752	0.511243	0.355778	0.562351	0.746594	0.840372	0.424506	0.151777	2.71441	0.422932	0.840781	0.701245	0.530593
0.0663297	6.8318	0.00786843	1.53499	0.285745	1.27472	0.511594	0.396525	0.563082	0.822482	0.840789	0.469707	0.154419	2.95129	0.423756	0.928895	0.701764	0.583204
0.0726906	6.82207	0.00934623	1.6319	0.286987	1.39002	0.511982	0.438249	0.563884	0.897647	0.841248	0.514847	0.157276	3.17332	0.424663	1.01635	0.702332	0.63569
0.0790419	6.8113	0.0109093	1.7184	0.288335	1.50322	0.51241	0.481047	0.564755	0.972024	0.841748	0.559936	0.160333	3.38096	0.42565	1.10316	0.702948	0.688002
0.0853827	6.79952	0.0125483	1.79518	0.289788	1.61434	0.512879	0.525042	0.565695	1.04563	0.842291	0.604851	0.163576	3.57469	0.426718	1.18917	0.703614	0.74011
0.091712	6.78658	0.0142544	1.86289	0.291343	1.7232	0.513389	0.570186	0.566704	1.11844	0.842876	0.64971	0.166994	3.75507	0.427866	1.27441	0.704328	0.792033
0.0980288	6.77256	0.0160196	1.92228	0.292999	1.82974	0.513941	0.616601	0.567779	1.19036	0.843502	0.694457	0.170573	3.92285	0.429093	1.35882	0.70509	0.843803
0.104332	6.75734	0.0178364	1.9742	0.294753	1.93391	0.514538	0.664387	0.568922	1.26148	0.84417	0.739054	0.174303	4.07897	0.430398	1.44232	0.7059	0.89534
0.11062	6.74081	0.0196983	2.01944	0.296602	2.03554	0.515179	0.713451	0.57013	1.33179	0.844879	0.783569	0.177668	4.20617	0.431781	1.52494	0.706758	0.946633
0.116893	6.72299	0.0215994	2.05866	0.298546	2.13471	0.515867	0.763898	0.571403	1.40116	0.84563	0.827922	0.180616	4.30821	0.43324	1.6066	0.707664	0.997729
