Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2		Asym3	
452  Points		493  Points		175  Points		148  Points		135  Points		97  Points		277  Points		159  Points		128  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.000290067	6.87793	0.000360175	0.189152	0.27954	416.792	0.532595	843.624	0.559021	1869.39	0.838528	2808.92	0.139847	195.378	0.419295	524.437	0.698779	1367.42
0.00669848	6.87822	0.000794487	0.280158	0.27969	174.545	0.532616	340.762	0.55909	454.273	0.838563	681.638	0.140242	85.1259	0.419413	242.266	0.698832	484.387
0.0131063	6.87792	0.00139164	0.369376	0.279961	110.478	0.532654	213.514	0.559242	258.617	0.838643	387.917	0.140947	54.6481	0.419618	157.579	0.698937	294.363
0.0195128	6.87735	0.00214436	0.456319	0.280354	80.8922	0.532711	155.472	0.559477	180.819	0.838765	271.128	0.141953	40.4326	0.419909	116.817	0.699093	211.455
0.0259175	6.87658	0.00304401	0.540587	0.280869	63.8705	0.532788	122.252	0.559795	139.051	0.838932	208.414	0.143254	32.2459	0.420287	92.8546	0.699299	165.015
0.0323197	6.87559	0.00408072	0.621812	0.281504	52.8232	0.532884	100.738	0.560194	112.999	0.839141	169.284	0.144839	26.9505	0.420751	77.0891	0.699557	135.324
0.0387188	6.87436	0.00524431	0.69977	0.282258	45.0829	0.533003	85.6712	0.560674	95.2035	0.839394	142.543	0.146696	23.2631	0.421301	65.9346	0.699866	114.71
0.045114	6.87291	0.00652391	0.774258	0.28313	39.3643	0.533143	74.5323	0.561232	82.2812	0.839691	123.115	0.148813	20.5609	0.421937	57.6308	0.700225	99.5644
0.051505	6.87124	0.00790891	0.845175	0.284119	34.9717	0.533309	65.9637	0.561869	72.4749	0.840031	108.362	0.151175	18.5052	0.422657	51.2121	0.700635	87.9689
0.0578908	6.86933	0.00938883	0.912475	0.285223	31.4957	0.533499	59.1688	0.562582	64.7816	0.840414	96.7797	0.15377	16.8959	0.423462	46.1048	0.701096	78.8078
0.0642709	6.86719	0.0109538	0.976176	0.286441	28.6795	0.533718	53.6493	0.563371	58.5869	0.84084	87.4465	0.156583	15.6072	0.424351	41.9466	0.701607	71.3888
0.0706445	6.86481	0.0125942	1.03632	0.28777	26.3542	0.533965	49.0778	0.564233	53.4935	0.841309	79.7663	0.1596	14.5562	0.425324	38.4973	0.702168	65.2593
0.077011	6.86218	0.0143013	1.093	0.28921	24.4038	0.534243	45.2301	0.565167	49.2332	0.841821	73.3366	0.162808	13.6858	0.426379	35.5913	0.70278	60.1111
0.0833695	6.85931	0.0160672	1.14633	0.290757	22.7461	0.534553	41.9476	0.566172	45.6183	0.842377	67.8758	0.166195	12.9558	0.427516	33.1111	0.703442	55.7267
0.0897195	6.85619	0.0178846	1.19646	0.29241	21.3214	0.534897	39.1148	0.567246	42.5134	0.842975	63.1808	0.169747	12.3367	0.428735	30.9707	0.704153	51.9488
0.0960598	6.8528	0.0197467	1.24353	0.294167	20.085	0.535277	36.6459	0.568389	39.8186	0.843616	59.1018	0.172969	11.8704	0.430034	29.1056	0.704915	48.6603
0.10239	6.84915	0.0216477	1.28769	0.296025	19.003	0.535693	34.4754	0.569598	37.4584	0.844299	55.5254	0.175803	11.5178	0.431412	27.4669	0.705726	45.7724
0.108709	6.84523	0.0235825	1.32912	0.297981	18.049	0.536148	32.5528	0.570872	35.3747	0.845025	52.3646	0.178203	11.2532	0.43287	26.0164	0.706586	43.2167
0.115016	6.84102	0.0255463	1.36796	0.300034	17.2026	0.536644	30.8383	0.572211	33.5223	0.845793	49.5513	0.180137	11.0592	0.434405	24.7242	0.707496	40.9394
0.12131	6.83653	0.027535	1.40439	0.30218	16.4471	0.53718	29.3004	0.573613	31.8652	0.846604	47.0316	0.181577	10.9245	0.436017	23.5663	0.708454	38.8978
0.12759	6.83173	0.0295451	1.43855	0.304418	15.7692	0.53776	27.9135	0.575077	30.3744	0.847456	44.7622	0.182507	10.8415	0.437705	22.5233	0.709461	37.0574
0.133855	6.82663	0.0315734	1.4706	0.306745	15.1582	0.538384	26.6567	0.576602	29.0266	0.848351	42.7077	0.183856	10.7266	0.439468	21.5794	0.710516	35.3903
0.140104	6.82121	0.0333536	1.49691	0.309158	14.605	0.539054	25.513	0.578187	27.8024	0.849287	40.8393	0.185336	10.607	0.441305	20.7216	0.71162	33.8733
0.146336	6.81546	0.0348793	1.51822	0.311655	14.1022	0.539771	24.468	0.579831	26.6859	0.850265	39.1331	0.187372	10.4528	0.443214	19.939	0.712772	32.4873
0.152549	6.80936	0.0361459	1.53511	0.314233	13.6437	0.540536	23.5097	0.581533	25.6638	0.851285	37.5691	0.189985	10.2706	0.445196	19.2224	0.713971	31.2163
0.158743	6.80291	0.0371502	1.54801	0.31689	13.2241	0.541351	22.6282	0.583293	24.7248	0.852346	36.1303	0.193198	10.0676	0.447248	18.5642	0.715217	30.0469
0.164916	6.79609	0.0378901	1.55725	0.319623	12.839	0.542217	21.8149	0.58511	23.8595	0.853447	34.8025	0.197037	9.85093	0.449369	17.9578	0.716511	28.9674
0.171066	6.78889	0.0383643	1.56306	0.322431	12.4845	0.543135	21.0623	0.586982	23.0598	0.85459	33.5735	0.201531	9.62716	0.451559	17.3976	0.717851	27.9681
0.177192	6.78128	0.0390468	1.57127	0.325311	12.1574	0.544107	20.3642	0.588909	22.3186	0.855774	32.4329	0.206112	9.42646	0.453816	16.8787	0.719238	27.0406
0.183293	6.77326	0.0397896	1.58	0.327877	11.8925	0.545135	19.7152	0.59089	21.6299	0.856998	31.3715	0.210775	9.24573	0.456139	16.3969	0.720671	26.1775
0.189367	6.7648	0.0408014	1.59158	0.330105	11.6801	0.546218	19.1104	0.592926	20.9886	0.858262	30.3816	0.215513	9.08238	0.458527	15.9486	0.72215	25.3726
0.195412	6.75588	0.0420833	1.60574	0.331976	11.5131	0.547359	18.5458	0.595014	20.3901	0.859567	29.4563	0.220321	8.93423	0.460978	15.5305	0.723675	24.6202
0.201426	6.74649	0.0436367	1.62217	0.333472	11.3863	0.548558	18.0177	0.597155	19.8303	0.860911	28.5896	0.225195	8.79941	0.463493	15.14	0.725244	23.9155
0.207407	6.7366	0.0454628	1.64054	0.334582	11.2959	0.549818	17.5228	0.599347	19.3058	0.862296	27.7762	0.230129	8.67635	0.466068	14.7745	0.726859	23.2543
0.213354	6.7262	0.0475625	1.66048	0.335297	11.2392	0.55114	17.0584	0.601591	18.8134	0.863719	27.0114	0.23512	8.5637	0.468704	14.4318	0.728517	22.6327
0.219263	6.71525	0.049666	1.67929	0.33633	11.1593	0.552524	16.6219	0.603885	18.3505	0.865182	26.2911	0.240163	8.4603	0.471398	14.11	0.73022	22.0475
0.225133	6.70373	0.0517724	1.69706	0.337461	11.0746	0.553972	16.2111	0.60623	17.9146	0.866684	25.6116	0.245256	8.36512	0.474151	13.8073	0.731967	21.4955
0.23096	6.69162	0.0538811	1.71384	0.339011	10.9627	0.555485	15.824	0.608624	17.5034	0.868225	24.9696	0.250393	8.27731	0.47696	13.5223	0.733757	20.9742
0.236743	6.67888	0.0559916	1.72971	0.340993	10.8264	0.557065	15.4587	0.611066	17.115	0.869804	24.3623	0.255572	8.19609	0.479824	13.2534	0.73559	20.4812
0.242479	6.6655	0.0581035	1.74473	0.34342	10.669	0.558713	15.1136	0.613557	16.7478	0.871422	23.7868	0.260791	8.12081	0.482743	12.9995	0.737466	20.0142
0.248165	6.65144	0.0602162	1.75896	0.346308	10.494	0.560429	14.7874	0.616096	16.4	0.873077	23.241	0.266045	8.05086	0.485715	12.7594	0.739383	19.5714
0.253797	6.63667	0.0623296	1.77246	0.349678	10.3052	0.562217	14.4786	0.618682	16.0703	0.874771	22.7225	0.271334	7.98574	0.488739	12.5321	0.741343	19.151
0.259373	6.62116	0.0644433	1.78526	0.353104	10.1281	0.564075	14.1861	0.621315	15.7573	0.876502	22.2295	0.276653	7.92498	0.491814	12.3167	0.743344	18.7513
0.26489	6.60489	0.0665571	1.79743	0.356587	9.96175	0.566006	13.9088	0.623995	15.46	0.87827	21.7601	0.282001	7.86818	0.494534	12.138	0.745386	18.3711
0.270343	6.58783	0.0686708	1.809	0.360125	9.80538	0.568011	13.6456	0.62672	15.1772	0.880076	21.3129	0.287375	7.81498	0.496882	11.9919	0.747469	18.0089
0.27573	6.56994	0.0707844	1.82	0.363719	9.65822	0.57009	13.3957	0.62949	14.9079	0.881918	20.8863	0.292774	7.76505	0.498844	11.8752	0.749592	17.6635
0.281047	6.5512	0.0728975	1.83048	0.367367	9.51957	0.572245	13.1583	0.632305	14.6513	0.883796	20.4789	0.298195	7.71811	0.500408	11.7855	0.751755	17.3339
0.286291	6.53158	0.0750101	1.84048	0.371069	9.38884	0.574477	12.9326	0.635165	14.4065	0.885711	20.0895	0.303637	7.6739	0.501565	11.7209	0.753958	17.0191
0.291458	6.51106	0.0771223	1.85001	0.374826	9.26547	0.576787	12.7178	0.638068	14.1729	0.887662	19.7171	0.309097	7.63219	0.502308	11.6802	0.756199	16.7181
0.296544	6.48961	0.0792338	1.85911	0.378638	9.14898	0.579174	12.5134	0.641015	13.9496	0.889649	19.3606	0.314575	7.59277	0.503381	11.6224	0.758479	16.4301
0.301547	6.46723	0.0813446	1.86781	0.382504	9.03892	0.581319	12.3432	0.644005	13.7362	0.891671	19.019	0.320068	7.55544	0.504554	11.5606	0.760797	16.1543
0.306463	6.44389	0.0834548	1.87612	0.386427	8.93489	0.583195	12.2037	0.647037	13.5319	0.893728	18.6914	0.325574	7.52004	0.506157	11.4783	0.763153	15.8899
0.311288	6.41959	0.0855642	1.88408	0.390405	8.83652	0.584779	12.092	0.650111	13.3364	0.89582	18.377	0.331094	7.48641	0.5082	11.377	0.765546	15.6364
0.31602	6.39432	0.0876728	1.8917	0.39444	8.74347	0.586054	12.006	0.653227	13.149	0.897946	18.0752	0.336624	7.45441	0.510692	11.2584	0.767976	15.3931
0.320657	6.36809	0.0897808	1.89901	0.398534	8.65545	0.587003	11.9441	0.656384	12.9693	0.900107	17.7851	0.342163	7.42392	0.513647	11.1244	0.770443	15.1595
0.325195	6.34089	0.0918879	1.90602	0.402685	8.57216	0.587615	11.9049	0.659582	12.7969	0.902302	17.5062	0.347711	7.3948	0.517078	10.9772	0.772946	14.9349
0.329633	6.31274	0.0939944	1.91274	0.406896	8.49335	0.588504	11.8494	0.66282	12.6314	0.90453	17.2379	0.353266	7.36697	0.52055	10.8366	0.775484	14.719
0.333969	6.28367	0.0961	1.91921	0.411168	8.41879	0.589479	11.7901	0.665675	12.4925	0.906792	16.9795	0.358827	7.34032	0.524064	10.7021	0.778058	14.5112
0.338203	6.25369	0.098205	1.92542	0.4155	8.34824	0.590822	11.7109	0.668132	12.3779	0.909087	16.7306	0.364392	7.31475	0.527617	10.5735	0.780667	14.3112
0.342332	6.22284	0.100309	1.93139	0.419894	8.28149	0.592547	11.6134	0.67018	12.2855	0.911415	16.4907	0.369961	7.29019	0.531209	10.4504	0.78331	14.1185
0.346357	6.19115	0.102413	1.93714	0.42435	8.21836	0.594675	11.4991	0.67181	12.2141	0.913775	16.2593	0.375532	7.26656	0.53484	10.3324	0.785987	13.9328
0.350278	6.15867	0.104515	1.94268	0.428868	8.15865	0.597228	11.37	0.673015	12.1624	0.916168	16.036	0.381104	7.24379	0.538507	10.2193	0.788698	13.7537
0.354095	6.12544	0.106618	1.94802	0.433449	8.10218	0.600232	11.228	0.673788	12.1297	0.918592	15.8204	0.386677	7.22181	0.542211	10.1109	0.791442	13.5809
0.357809	6.09152	0.108719	1.95316	0.438091	8.04878	0.603317	11.0924	0.674904	12.0832	0.921049	15.6122	0.392248	7.20057	0.545951	10.0067	0.794218	13.4141
0.361422	6.05695	0.11082	1.95813	0.442795	7.99829	0.606483	10.9628	0.676121	12.0333	0.923536	15.411	0.397817	7.18	0.549726	9.90675	0.797027	13.253
0.364935	6.02179	0.11292	1.96292	0.447559	7.95055	0.609728	10.8389	0.677785	11.9665	0.926055	15.2165	0.403384	7.16007	0.553534	9.81066	0.799868	13.0973
0.368349	5.9861	0.115019	1.96755	0.452383	7.90539	0.613052	10.7205	0.679901	11.8838	0.928605	15.0283	0.408946	7.1407	0.557376	9.71828	0.802741	12.9468
0.371667	5.94994	0.117118	1.97203	0.457265	7.86269	0.616455	10.6072	0.68248	11.7863	0.931184	14.8462	0.414503	7.12188	0.561251	9.62941	0.80527	12.8197
0.374892	5.91337	0.119217	1.97636	0.462203	7.82229	0.619936	10.4987	0.685532	11.6753	0.933795	14.6699	0.420054	7.10354	0.565158	9.54388	0.807444	12.7143
0.378026	5.87644	0.121314	1.98054	0.467196	7.78405	0.623493	10.395	0.68907	11.5523	0.936435	14.4992	0.425598	7.08566	0.569096	9.46151	0.809254	12.629
0.381072	5.83921	0.123412	1.9846	0.472241	7.74784	0.627126	10.2956	0.692646	11.4336	0.939104	14.3337	0.431134	7.06819	0.573064	9.38217	0.810694	12.5627
0.384032	5.80174	0.125509	1.98852	0.477337	7.71354	0.630833	10.2004	0.696259	11.3192	0.941803	14.1734	0.436661	7.0511	0.577063	9.30569	0.811757	12.5147
0.38691	5.76408	0.127605	1.99232	0.482481	7.68102	0.634614	10.1093	0.699908	11.2087	0.944531	14.0179	0.442179	7.03436	0.581091	9.23194	0.81244	12.4842
0.389708	5.72629	0.129701	1.99601	0.48767	7.65016	0.638467	10.0219	0.703595	11.1021	0.947288	13.867	0.447685	7.01793	0.585149	9.1608	0.813423	12.4408
0.39243	5.68841	0.131796	1.99959	0.492903	7.62086	0.64239	9.93815	0.707319	10.9992	0.950073	13.7207	0.453179	7.0018	0.589235	9.09215	0.814496	12.3941
0.395078	5.65049	0.133891	2.00306	0.498176	7.593	0.646382	9.85782	0.711079	10.8997	0.952886	13.5786	0.45866	6.98593	0.593348	9.02587	0.815961	12.3315
0.397656	5.61257	0.135985	2.00642	0.503486	7.5665	0.650441	9.78076	0.714876	10.8036	0.955727	13.4406	0.464128	6.97029	0.59749	8.96185	0.817824	12.2537
0.400167	5.5747	0.138079	2.00969	0.508832	7.54125	0.654566	9.70679	0.718709	10.7108	0.958596	13.3066	0.469581	6.95487	0.601658	8.9	0.820092	12.1615
