Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2		Asym3		Asym4	
349  Points		387  Points		350  Points		320  Points		246  Points		346  Points		314  Points		249  Points		143  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.353492	-0.159655	0.000152782	0.197464	1.00116	2.13282	0.384655	0.147711	0.707108	0.00642894	0.176788	0.0840836	0.53033	0.000798031	0.769254	0.0107654	0.883887	0.0114749
0.353304	-0.210888	0.000385496	0.241964	0.99865	2.13053	0.384829	0.213713	0.707116	0.00921994	0.176887	0.127325	0.530331	0.00155661	0.769267	0.0182874	0.883901	0.0156712
0.352995	-0.309581	0.000723097	0.33042	0.996141	2.12592	0.385158	0.34243	0.70713	0.0147365	0.177088	0.213468	0.530334	0.00309991	0.769297	0.0333094	0.883924	0.0240856
0.352574	-0.399888	0.0011643	0.417793	0.993639	2.1213	0.385636	0.463487	0.707151	0.0202764	0.17739	0.298817	0.530338	0.00464844	0.769345	0.0482656	0.883957	0.0324914
0.352052	-0.480381	0.00170784	0.503806	0.991141	2.11669	0.386251	0.575157	0.707178	0.0258631	0.177792	0.383163	0.530345	0.00620741	0.769411	0.0631631	0.884001	0.0409533
0.351442	-0.550545	0.00235179	0.588162	0.98865	2.11209	0.386992	0.676696	0.707212	0.0313968	0.178293	0.466161	0.530353	0.00778726	0.769494	0.0780901	0.884054	0.0494545
0.350754	-0.610527	0.00309416	0.670667	0.986163	2.10749	0.387846	0.767932	0.707252	0.0369711	0.178891	0.547563	0.530363	0.00940888	0.769595	0.0929295	0.884117	0.0578874
0.350003	-0.660838	0.00393256	0.751082	0.983682	2.1029	0.388802	0.849257	0.707299	0.0425532	0.179584	0.627163	0.530375	0.011114	0.769713	0.10774	0.88419	0.0664036
0.349197	-0.702353	0.00486447	0.829294	0.981207	2.09834	0.389848	0.921453	0.707352	0.048151	0.180369	0.704697	0.530389	0.0128398	0.769849	0.122493	0.884274	0.0749399
0.348347	-0.735944	0.00588723	0.905153	0.978736	2.09377	0.390973	0.985351	0.707412	0.0537803	0.181245	0.780079	0.530405	0.0146066	0.770002	0.137131	0.884367	0.0834432
0.347462	-0.76255	0.00699794	0.978576	0.976272	2.08924	0.39217	1.04196	0.707479	0.0593991	0.182208	0.853133	0.530424	0.0164558	0.770172	0.151758	0.88447	0.0920269
0.34655	-0.783169	0.00819375	1.04947	0.973812	2.08473	0.393429	1.09225	0.707552	0.0650704	0.183256	0.923727	0.530444	0.0183964	0.77036	0.166291	0.884584	0.100625
0.345616	-0.798553	0.00947156	1.11772	0.971358	2.08024	0.394745	1.13703	0.707632	0.0707734	0.184385	0.991748	0.530467	0.0203733	0.770564	0.180707	0.884708	0.109252
0.344668	-0.809399	0.0108282	1.18332	0.968909	2.0758	0.396109	1.177	0.707719	0.0764665	0.185593	1.05718	0.530492	0.0224227	0.770786	0.195039	0.884841	0.117936
0.343709	-0.81637	0.0122607	1.24633	0.966465	2.07132	0.397519	1.21293	0.707812	0.0822131	0.186877	1.12001	0.53052	0.0246173	0.771024	0.209273	0.884986	0.126662
0.342743	-0.819985	0.0137659	1.30674	0.964027	2.06689	0.398968	1.24531	0.707913	0.0879932	0.188233	1.18019	0.53055	0.0268824	0.771279	0.223386	0.88514	0.135399
