Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2		Asym3		Asym4	
336  Points		376  Points		335  Points		319  Points		234  Points		345  Points		297  Points		227  Points		112  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.35355	581.8	0.00031896	0.110359	1.00027	2.57647	0.441278	697.506	0.707109	910.079	0.176794	258.34	0.53033	3490.47	0.88248	1379.37	0.884047	826.796
0.353525	197.921	0.000630959	0.155075	0.997806	2.57793	0.441337	243.676	0.707121	361.609	0.176905	94.9645	0.530336	398.614	0.882155	485.159	0.884461	393.486
0.353475	119.228	0.00104705	0.199543	0.995336	2.57941	0.441452	147.659	0.707143	225.636	0.17712	58.2368	0.530349	211.382	0.881721	294.221	0.884965	258.288
0.3534	85.296	0.00156567	0.243655	0.992865	2.58088	0.441623	105.951	0.707175	163.982	0.177436	42.0475	0.530372	143.831	0.881257	211.064	0.88551	192.302
0.353301	66.3885	0.00218524	0.28737	0.990392	2.58237	0.44185	82.6398	0.707217	128.795	0.177852	32.9454	0.530403	109.002	0.880787	164.516	0.886079	153.214
0.353179	54.3332	0.00290367	0.330609	0.987917	2.58385	0.442132	67.7576	0.70727	106.045	0.178369	27.1204	0.530442	87.7562	0.880321	134.764	0.886665	127.361
0.353034	45.9755	0.00371864	0.373309	0.985441	2.58535	0.442469	57.4357	0.707332	90.1285	0.178982	23.0783	0.53049	73.4445	0.87986	114.107	0.887267	108.997
0.352867	39.8393	0.00462777	0.415427	0.982961	2.58684	0.442859	49.859	0.707405	78.3693	0.179691	20.1134	0.530546	63.1489	0.879409	98.9284	0.887883	95.2785
0.352679	35.1422	0.00562839	0.456913	0.98048	2.58834	0.443302	44.0626	0.707488	69.3271	0.180494	17.8487	0.530611	55.3872	0.878966	87.3042	0.888512	84.6417
0.35247	31.4305	0.00671754	0.497713	0.977995	2.58983	0.443797	39.4864	0.707581	62.1581	0.181387	16.0648	0.530685	49.3269	0.878534	78.1171	0.889153	76.1532
0.352243	28.4232	0.00789245	0.537804	0.975507	2.59133	0.444343	35.7828	0.707685	56.335	0.182368	14.6252	0.530767	44.4638	0.878111	70.6736	0.889807	69.2222
0.351998	25.9369	0.00914995	0.577144	0.973015	2.59283	0.444938	32.725	0.707799	51.5115	0.183434	13.4404	0.530858	40.4754	0.8777	64.5206	0.890472	63.4562
0.351736	23.8468	0.010487	0.615712	0.970519	2.59433	0.445582	30.1583	0.707922	47.4507	0.184582	12.4495	0.530957	37.1453	0.877298	59.3495	0.89115	58.5844
0.351458	22.065	0.0119005	0.653485	0.968019	2.59582	0.446273	27.9737	0.708057	43.9852	0.18581	11.6095	0.531065	34.323	0.876908	54.9427	0.891839	54.414
0.351167	20.5278	0.0133873	0.690447	0.965515	2.59731	0.447009	26.0924	0.708201	40.993	0.187113	10.8891	0.531182	31.9007	0.876528	51.1425	0.89254	50.8037
0.350862	19.1882	0.0149444	0.72659	0.963006	2.5988	0.44779	24.4556	0.708356	38.3836	0.188309	10.3407	0.531308	29.7992	0.876159	47.832	0.893252	47.6479
0.350546	18.0101	0.0165687	0.761906	0.960492	2.60029	0.448615	23.0191	0.708521	36.088	0.18937	9.92196	0.531442	27.9587	0.875801	44.9222	0.893976	44.8661
0.35022	16.9661	0.0182571	0.796389	0.957972	2.60177	0.449481	21.7484	0.708696	34.0528	0.190276	9.6051	0.531585	26.3335	0.875454	42.3447	0.894711	42.3955
0.349885	16.0344	0.0200069	0.830042	0.955446	2.60324	0.450387	20.6166	0.708882	32.2363	0.19101	9.37136	0.531737	24.8881	0.875117	40.0457	0.895458	40.1867
0.349543	15.1979	0.021815	0.862868	0.952914	2.60471	0.451333	19.6024	0.709078	30.605	0.191559	9.20816	0.531898	23.5942	0.874792	37.9824	0.896216	38.2003
0.349195	14.4427	0.0236787	0.894872	0.950376	2.60616	0.452317	18.6886	0.709284	29.1321	0.191915	9.10734	0.532068	22.4292	0.874477	36.1205	0.896985	36.4044
0.348842	13.7575	0.0255954	0.926063	0.947831	2.60761	0.453337	17.861	0.709501	27.7956	0.192433	8.96711	0.532247	21.3748	0.874173	34.4318	0.897766	34.7729
0.348486	13.1331	0.0275626	0.956453	0.945279	2.60905	0.454392	17.1082	0.709729	26.5774	0.193002	8.82067	0.532435	20.4161	0.87388	32.8934	0.898558	33.2843
0.348127	12.5617	0.0295776	0.986054	0.942719	2.61048	0.455482	16.4206	0.709966	25.4626	0.19379	8.63086	0.532632	19.5406	0.873598	31.4861	0.899362	31.9206
0.347767	12.0368	0.0316384	1.01488	0.940152	2.61189	0.456604	15.7902	0.710215	24.4385	0.194805	8.40509	0.532838	18.738	0.873326	30.1938	0.900177	30.6667
0.347408	11.5531	0.0337425	1.04295	0.937576	2.61329	0.457757	15.2102	0.710473	23.4947	0.196063	8.15143	0.533054	17.9996	0.873066	29.003	0.901003	29.5101
0.34705	11.106	0.0358877	1.07027	0.934993	2.61468	0.458941	14.6749	0.710743	22.622	0.197576	7.87799	0.533278	17.318	0.872816	27.9024	0.90184	28.4398
0.346695	10.6914	0.0380722	1.09686	0.9324	2.61605	0.460154	14.1793	0.711022	21.8127	0.199362	7.59244	0.533512	16.687	0.872576	26.8819	0.902688	27.4465
0.346343	10.306	0.0402938	1.12275	0.929799	2.61741	0.461396	13.7194	0.711313	21.0602	0.201199	7.33324	0.533755	16.1011	0.872348	25.9333	0.903548	26.5222
0.345996	9.94684	0.0425509	1.14794	0.927189	2.61875	0.462664	13.2913	0.711614	20.3587	0.203083	7.09706	0.534008	15.5557	0.87213	25.0493	0.904419	25.6601
0.345655	9.6114	0.0448415	1.17246	0.924569	2.62007	0.463959	12.892	0.711926	19.7033	0.205012	6.88108	0.534271	15.0468	0.871923	24.2234	0.9053	24.8541
0.34532	9.29742	0.0471642	1.19633	0.92194	2.62137	0.465278	12.5187	0.712248	19.0896	0.206984	6.68291	0.534542	14.5708	0.871726	23.4501	0.906193	24.0989
0.344994	9.00296	0.0495172	1.21956	0.919301	2.62266	0.466622	12.169	0.712581	18.5137	0.208996	6.50052	0.534824	14.1248	0.87154	22.7247	0.907097	23.3899
0.344676	8.72629	0.0518993	1.24217	0.916652	2.62392	0.467989	11.8408	0.712925	17.9724	0.211046	6.33218	0.535115	13.7059	0.871365	22.0428	0.908012	22.723
0.344367	8.46588	0.0543088	1.26418	0.913993	2.62517	0.469378	11.532	0.71328	17.4625	0.213132	6.17639	0.535416	13.3118	0.8712	21.4006	0.908938	22.0945
0.344069	8.22038	0.0567444	1.28561	0.911324	2.62639	0.470788	11.2412	0.713645	16.9815	0.215253	6.03184	0.535727	12.9403	0.871046	20.7948	0.909875	21.5013
0.343782	7.98859	0.0592051	1.30648	0.908645	2.62759	0.472219	10.9668	0.714022	16.527	0.217406	5.89741	0.536048	12.5897	0.870902	20.2224	0.910823	20.9406
0.343507	7.76943	0.0616895	1.32679	0.905955	2.62878	0.47367	10.7074	0.714409	16.0969	0.219589	5.77211	0.536379	12.2582	0.870769	19.6808	0.911782	20.4096
0.343244	7.56193	0.0641964	1.34658	0.903255	2.62993	0.475141	10.4619	0.714807	15.6892	0.221801	5.65507	0.53672	11.9443	0.870646	19.1674	0.912751	19.9062
0.342996	7.36522	0.0667249	1.36585	0.900545	2.63107	0.476437	10.2585	0.715217	15.3024	0.22404	5.54553	0.537071	11.6466	0.870533	18.6803	0.913732	19.4282
0.342761	7.17852	0.0692741	1.38463	0.897824	2.63219	0.477552	10.0923	0.715637	14.9348	0.226305	5.44282	0.537433	11.364	0.870431	18.2174	0.914723	18.9738
0.342541	7.00111	0.0718428	1.40293	0.895093	2.63328	0.478482	9.95956	0.716068	14.5851	0.228594	5.34634	0.537805	11.0954	0.870339	17.777	0.915725	18.5414
0.342336	6.83236	0.0744301	1.42076	0.892351	2.63434	0.479221	9.8575	0.716511	14.252	0.230906	5.25555	0.538187	10.8398	0.870258	17.3575	0.916737	18.1293
0.342148	6.67167	0.0770354	1.43814	0.889599	2.63539	0.479768	9.78403	0.716965	13.9344	0.233239	5.16998	0.53858	10.5961	0.870186	16.9575	0.917761	17.7361
0.341976	6.51852	0.0796577	1.45508	0.886837	2.63641	0.480118	9.73769	0.717429	13.6312	0.235593	5.0892	0.538931	10.3931	0.870125	16.5756	0.918795	17.3607
