Sym0		Sym1		Sym2		Sym3		Asym1		Asym2		Asym3	
416  Points		416  Points		380  Points		231  Points		400  Points		360  Points		240  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
1.0008	2.44692	1.00077	2.44693	0.433025	885.493	0.866025	9431.66	0.216512	546.315	1.00004	2.83249	0.741499	3372.16
0.998435	2.44711	0.998413	2.44711	0.433122	291.656	0.866021	796.088	0.216577	155.549	0.998776	2.83692	0.741536	609.86
0.996081	2.44731	0.996058	2.44732	0.433317	174.649	0.866008	415.577	0.216715	90.7378	0.997521	2.8414	0.741625	335.283
0.993733	2.44754	0.993711	2.44754	0.433608	124.704	0.865987	281.174	0.216924	64.0956	0.99627	2.84591	0.741764	231.226
0.991392	2.44778	0.99137	2.44778	0.433993	97.0226	0.865959	212.457	0.217206	49.5857	0.995023	2.85046	0.741955	176.488
0.989059	2.44803	0.989037	2.44804	0.434469	79.4402	0.865922	170.728	0.217558	40.4651	0.993781	2.85504	0.742195	142.73
0.986733	2.44831	0.98671	2.44831	0.435033	67.2888	0.865877	142.697	0.21798	34.2066	0.992544	2.85967	0.742485	119.832
0.984414	2.44861	0.984391	2.44861	0.435681	58.393	0.865825	122.569	0.218472	29.6496	0.991311	2.86434	0.742824	103.284
0.982102	2.44893	0.98208	2.44893	0.436409	51.602	0.865765	107.415	0.219033	26.186	0.990082	2.86905	0.743211	90.7674
0.979797	2.44926	0.979775	2.44927	0.437212	46.25	0.865697	95.5934	0.219661	23.4667	0.988858	2.87379	0.743644	80.9708
0.977501	2.44962	0.977479	2.44962	0.438088	41.9252	0.865622	86.1139	0.220354	21.2768	0.987637	2.87858	0.744124	73.0958
0.975211	2.45	0.97519	2.45	0.43903	38.359	0.865539	78.3429	0.221113	19.4769	0.986421	2.8834	0.744649	66.6284
0.97293	2.4504	0.972908	2.4504	0.440036	35.3689	0.865449	71.8566	0.221935	17.9725	0.985209	2.88827	0.745217	61.223
0.970656	2.45082	0.970634	2.45082	0.441101	32.8265	0.865351	66.3606	0.222819	16.6973	0.984001	2.89318	0.745828	56.6386
0.96839	2.45126	0.968368	2.45127	0.44222	30.6388	0.865246	61.6441	0.223763	15.6034	0.982796	2.89812	0.74648	52.7018
0.966132	2.45173	0.96611	2.45173	0.443392	28.7369	0.865134	57.5521	0.224766	14.6555	0.981595	2.90311	0.747172	49.285
0.963881	2.45222	0.96386	2.45222	0.444611	27.0685	0.865015	53.9683	0.225826	13.8266	0.980398	2.90813	0.747903	46.2918
0.961639	2.45273	0.961618	2.45273	0.445875	25.5935	0.864889	50.8034	0.226941	13.0962	0.979205	2.9132	0.748671	43.6484
0.959405	2.45326	0.959384	2.45327	0.447181	24.2803	0.864757	47.9881	0.22811	12.4482	0.978015	2.91831	0.749474	41.2972
0.957179	2.45382	0.957157	2.45382	0.448525	23.1038	0.864618	45.4673	0.229331	11.8696	0.976828	2.92345	0.750313	39.1924
0.954961	2.4544	0.95494	2.4544	0.449906	22.0439	0.864473	43.1971	0.230602	11.3503	0.975644	2.92864	0.751185	37.2975
0.952751	2.455	0.95273	2.45501	0.451319	21.0843	0.864321	41.1419	0.231921	10.8818	0.974464	2.93387	0.752089	35.5827
0.950549	2.45563	0.950528	2.45564	0.452765	20.2113	0.864164	39.2724	0.233287	10.4572	0.973286	2.93914	0.753024	34.0236
0.948356	2.45629	0.948335	2.45629	0.454239	19.4139	0.864	37.5646	0.234699	10.0708	0.972112	2.94445	0.753988	32.6
0.946171	2.45697	0.94615	2.45697	0.455741	18.6828	0.863831	35.9984	0.236153	9.71789	0.970941	2.9498	0.754981	31.2952
0.943994	2.45767	0.943973	2.45768	0.457268	18.01	0.863657	34.5568	0.237649	9.39441	0.969772	2.95519	0.756001	30.095
0.941825	2.4584	0.941805	2.45841	0.458819	17.389	0.863477	33.2254	0.239186	9.09696	0.968606	2.96062	0.757047	28.9873
0.939665	2.45915	0.939645	2.45916	0.460392	16.8139	0.863292	31.9922	0.24076	8.82263	0.967442	2.9661	0.758118	27.9619
0.937513	2.45993	0.937493	2.45994	0.461986	16.2799	0.863103	30.8466	0.242372	8.56892	0.966281	2.97161	0.759212	27.01
