Sym0		Sym1		Sym2		Sym3		Asym1		Asym2		Asym3	
405  Points		405  Points		379  Points		216  Points		400  Points		321  Points		194  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
1.00064	2.06065	1.00131	2.06218	0.433046	0.305579	0.866025	-0.00110875	0.216514	0.0702772	1.00091	1.35404	0.833856	0.0315317
0.998586	2.0582	0.999258	2.05976	0.43335	0.451208	0.866024	-0.00163476	0.216584	0.106991	0.999558	1.35616	0.833887	0.0444307
0.996539	2.05343	0.997208	2.05501	0.433945	0.717545	0.866022	-0.00260614	0.216727	0.180301	0.998205	1.36062	0.833944	0.0701285
0.994496	2.04884	0.995164	2.05037	0.43478	0.932951	0.866019	-0.00359564	0.216943	0.253259	0.996847	1.36529	0.834027	0.0957858
0.992457	2.04434	0.993124	2.04577	0.435803	1.09997	0.866015	-0.00462136	0.217232	0.325687	0.995485	1.37013	0.834135	0.121362
0.990423	2.03994	0.991089	2.04133	0.436971	1.22714	0.86601	-0.00554621	0.217592	0.3974	0.994118	1.37522	0.834269	0.146863
0.988394	2.03563	0.989058	2.03706	0.438248	1.3241	0.866004	-0.00652928	0.218023	0.468291	0.992745	1.38054	0.834428	0.172299
0.986368	2.03144	0.987031	2.03283	0.439608	1.39896	0.865997	-0.0074555	0.218525	0.538231	0.991368	1.38608	0.834612	0.197606
0.984347	2.02739	0.985008	2.02871	0.441034	1.45768	0.865989	-0.00835465	0.219095	0.607134	0.989984	1.39186	0.834821	0.222741
0.98233	2.02353	0.982989	2.02473	0.442512	1.50475	0.86598	-0.00928636	0.219734	0.674832	0.988595	1.39787	0.835056	0.247708
0.980316	2.01972	0.980975	2.02091	0.444032	1.54325	0.86597	-0.0101098	0.22044	0.741244	0.9872	1.40409	0.835315	0.272595
0.978306	2.01607	0.978964	2.01727	0.445586	1.57529	0.86596	-0.0108901	0.221211	0.806301	0.985798	1.41056	0.835599	0.297238
0.9763	2.0126	0.976956	2.01371	0.44717	1.60252	0.865949	-0.0116708	0.222046	0.869859	0.98439	1.41725	0.835907	0.321652
0.974297	2.00921	0.974952	2.01032	0.448779	1.62604	0.865937	-0.0124523	0.222944	0.931891	0.982975	1.42422	0.836239	0.345868
0.972298	2.00606	0.972952	2.00709	0.450409	1.64658	0.865924	-0.0131486	0.223902	0.992345	0.981553	1.43141	0.836596	0.369861
0.970301	2.00306	0.970954	2.004	0.452059	1.66485	0.865911	-0.0137611	0.22492	1.05121	0.980123	1.43884	0.836976	0.393669
0.968307	2.00019	0.96896	2.00113	0.453726	1.6813	0.865897	-0.0143797	0.225996	1.10835	0.978686	1.44651	0.83738	0.417194
0.966317	1.99756	0.966968	1.99841	0.455408	1.69617	0.865882	-0.0149234	0.227128	1.16379	0.977242	1.4544	0.837807	0.440411
0.964328	1.99506	0.964979	1.99584	0.457104	1.70979	0.865867	-0.0154043	0.228315	1.21749	0.975789	1.46255	0.838257	0.463361
0.962342	1.99277	0.962992	1.99347	0.458814	1.72238	0.865851	-0.0158462	0.229554	1.2695	0.974328	1.47097	0.83873	0.486034
0.960358	1.99069	0.961007	1.99133	0.460536	1.73405	0.865835	-0.01621	0.230844	1.31978	0.972859	1.47958	0.839226	0.508417
0.958377	1.98878	0.959025	1.98939	0.462268	1.7449	0.865819	-0.0165042	0.232183	1.36828	0.971381	1.4884	0.839743	0.530476
0.956397	1.98713	0.957045	1.98767	0.464011	1.75508	0.865802	-0.0167459	0.233569	1.41508	0.969894	1.49753	0.840282	0.552237
0.954418	1.98565	0.955066	1.98615	0.465764	1.76469	0.865786	-0.0168828	0.235002	1.46017	0.968398	1.50687	0.840843	0.573659
0.952441	1.98443	0.953088	1.98484	0.467527	1.77377	0.865769	-0.0169832	0.236478	1.50363	0.966892	1.51645	0.841425	0.594751
0.950465	1.98347	0.951112	1.98377	0.469298	1.78239	0.865752	-0.0170108	0.237799	1.54023	0.965377	1.52625	0.842028	0.61553
0.94849	1.98275	0.949136	1.98293	0.471077	1.79055	0.865735	-0.0168926	0.23895	1.57042	0.963852	1.53624	0.842651	0.635942
0.946515	1.98225	0.947162	1.98238	0.472865	1.79828	0.865718	-0.0167428	0.239918	1.59469	0.962317	1.5465	0.843295	0.655967
0.944541	1.98205	0.945187	1.98206	0.47466	1.80568	0.865702	-0.0165298	0.240695	1.61341	0.960771	1.55698	0.843958	0.675653
0.942567	1.98209	0.943213	1.98203	0.476462	1.81277	0.865685	-0.0161906	0.241271	1.627	0.959215	1.56762	0.844641	0.695006
0.940593	1.98241	0.941239	1.98231	0.478271	1.8195	0.865669	-0.0157722	0.241642	1.63563	0.957648	1.5785	0.845342	0.713954
0.938618	1.98306	0.939264	1.98279	0.480086	1.82593	0.865654	-0.015282	0.24218	1.64778	0.956071	1.5896	0.846063	0.732523
0.936642	1.98393	0.937289	1.98359	0.481908	1.83213	0.865639	-0.0146482	0.242768	1.66074	0.954482	1.60089	0.846802	0.75077
0.934666	1.98514	0.935313	1.98473	0.483736	1.83802	0.865625	-0.0139005	0.243576	1.67817	0.952882	1.61237	0.847558	0.768632
0.932688	1.98671	0.933335	1.98616	0.48557	1.84365	0.865611	-0.0130985	0.244609	1.6997	0.95127	1.62397	0.848333	0.786069
0.930708	1.98853	0.931356	1.98789	0.487409	1.84903	0.865598	-0.0121879	0.245876	1.72493	0.949647	1.63582	0.849124	0.803178
0.928727	1.99071	0.929376	1.98996	0.489253	1.85422	0.865587	-0.0111465	0.247386	1.75357	0.948011	1.64782	0.849933	0.819891
0.926743	1.99324	0.927392	1.99237	0.491102	1.85916	0.865576	-0.010017	0.249149	1.78515	0.946364	1.65996	0.850758	0.836158
0.924756	1.99605	0.925407	1.99511	0.492956	1.86383	0.865567	-0.00879801	0.250942	1.8154	0.944705	1.67227	0.851598	0.852139
0.922767	1.99925	0.923418	1.99816	0.494815	1.86832	0.865559	-0.0073999	0.252765	1.84427	0.943033	1.68467	0.852455	0.867722
0.920774	2.00279	0.921426	2.00158	0.496678	1.87262	0.865552	-0.0059036	0.254616	1.87187	0.941349	1.69726	0.853327	0.882856
0.918777	2.00666	0.919431	2.00539	0.498546	1.87672	0.865547	-0.00429759	0.256494	1.89829	0.939652	1.70996	0.854214	0.897612
0.916776	2.01093	0.917431	2.00953	0.500417	1.88058	0.865544	-0.0025588	0.258398	1.92349	0.937942	1.7227	0.855115	0.912044
0.914771	2.01558	0.915428	2.014	0.502292	1.88423	0.865542	-0.000727795	0.260326	1.94754	0.93622	1.73561	0.856031	0.92609
0.912761	2.02054	0.913419	2.01887	0.50417	1.88771	0.865542	0.00128765	0.262277	1.97044	0.934485	1.74862	0.85696	0.939708
0.910746	2.02586	0.911406	2.0241	0.506052	1.89103	0.865544	0.00341199	0.264251	1.99228	0.932737	1.76163	0.857903	0.952992
0.908725	2.03157	0.909387	2.02963	0.507937	1.89413	0.865549	0.00566747	0.266246	2.01309	0.930976	1.77474	0.858858	0.965869
0.906699	2.03762	0.907363	2.03557	0.509825	1.89702	0.865556	0.00801188	0.268261	2.03285	0.929201	1.78788	0.859827	0.978362
0.904666	2.04399	0.905332	2.04191	0.511716	1.89977	0.865565	0.0105342	0.270295	2.0517	0.927414	1.80106	0.860807	0.990524
0.902627	2.05076	0.903295	2.04851	0.51361	1.90233	0.865577	0.0132389	0.272348	2.06962	0.925614	1.81435	0.8618	1.00228
0.900581	2.05787	0.901252	2.05548	0.515506	1.90467	0.865591	0.0160485	0.274418	2.08659	0.9238	1.82758	0.862804	1.01366
0.898528	2.06526	0.899201	2.06284	0.517404	1.90683	0.865609	0.0189813	0.276505	2.1027	0.921973	1.84077	0.863819	1.02472
0.896467	2.07302	0.897142	2.07045	0.519304	1.90883	0.865629	0.0220737	0.278607	2.118	0.920133	1.85399	0.864845	1.03541
0.894398	2.08108	0.895076	2.07839	0.521206	1.91066	0.865653	0.0253119	0.280724	2.13249	0.91828	1.86717	0.865882	1.04569
0.892321	2.08941	0.893002	2.08664	0.522865	1.91213	0.865679	0.0286686	0.282855	2.14619	0.916413	1.88034	0.866928	1.05558
0.890236	2.09801	0.89092	2.09516	0.524281	1.9133	0.86571	0.0322622	0.284999	2.15911	0.914534	1.89344	0.867984	1.06515
0.888142	2.10688	0.888828	2.10398	0.525452	1.91408	0.865744	0.0359829	0.287156	2.17133	0.912642	1.90647	0.86905	1.0744
0.886039	2.11605	0.886728	2.11303	0.526378	1.91469	0.865781	0.0397846	0.289325	2.18286	0.910736	1.91943	0.870125	1.08329
0.883927	2.12537	0.884619	2.1223	0.527059	1.91535	0.865823	0.0438348	0.291504	2.19369	0.908818	1.93227	0.871208	1.09179
0.881805	2.13491	0.882501	2.13173	0.527495	1.91555	0.865869	0.0480355	0.293695	2.20388	0.906887	1.94503	0.8723	1.09995
0.879674	2.14464	0.880373	2.14142	0.528122	1.91581	0.865919	0.0523637	0.295895	2.21339	0.904943	1.95774	0.873399	1.10777
0.877533	2.15447	0.878235	2.15125	0.528804	1.91628	0.865973	0.0568605	0.298104	2.2223	0.902987	1.97023	0.874506	1.11528
0.875382	2.16452	0.876087	2.16122	0.529731	1.91667	0.866032	0.061521	0.300322	2.23066	0.901019	1.98257	0.875621	1.1224
0.873221	2.17465	0.87393	2.17136	0.530904	1.91726	0.866096	0.0663355	0.302547	2.23844	0.899038	1.99484	0.876742	1.12919
0.87105	2.18485	0.871762	2.1815	0.532322	1.91779	0.866164	0.0713716	0.304781	2.24562	0.897045	2.00692	0.87787	1.13567
0.868869	2.19511	0.869584	2.19173	0.533987	1.91832	0.866238	0.0765907	0.307021	2.25224	0.89504	2.01877	0.879004	1.14179
0.866677	2.20542	0.867396	2.20204	0.535898	1.91885	0.866317	0.0819159	0.309267	2.25837	0.893023	2.03051	0.880145	1.1476
0.864476	2.21572	0.865197	2.21236	0.53781	1.91911	0.866401	0.0874532	0.311519	2.26395	0.890995	2.04202	0.881291	1.15308
0.862264	2.226	0.862989	2.22268	0.539721	1.91925	0.866491	0.0931549	0.313777	2.26903	0.888955	2.05335	0.882442	1.15824
0.860041	2.23633	0.86077	2.23292	0.541633	1.91923	0.866587	0.099012	0.316039	2.27365	0.886905	2.06449	0.883598	1.16309
0.857809	2.24652	0.858541	2.24317	0.543544	1.91896	0.866688	0.105093	0.318306	2.27778	0.884843	2.07533	0.884759	1.16759
0.855566	2.25667	0.856301	2.25336	0.545456	1.91856	0.866796	0.111362	0.320577	2.28145	0.88277	2.086	0.885924	1.17173
0.853313	2.26673	0.854052	2.26343	0.547366	1.91802	0.86691	0.117748	0.322851	2.28467	0.880688	2.09641	0.887093	1.17561
