Sym0		Sym1		Sym2		Sym3		Asym1		Asym2	
390  Points		390  Points		367  Points		200  Points		401  Points		295  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
1.00021	2.35276	1.0012	2.34983	0.486076	0.119605	0.866026	0.00408069	0.216507	0.0476817	0.649519	-0.000465529
0.997863	2.35609	0.998864	2.35319	0.486195	0.166359	0.86603	0.00591403	0.216555	0.084804	0.649519	-0.000675754
0.995513	2.36277	0.996517	2.35991	0.486407	0.259046	0.866038	0.00950749	0.216676	0.158907	0.649518	-0.00104645
0.993156	2.36938	0.994163	2.36659	0.486711	0.349611	0.866049	0.0130546	0.216871	0.232756	0.649516	-0.00135453
0.990793	2.37584	0.991803	2.3731	0.487104	0.437321	0.866064	0.0166825	0.21714	0.3061	0.649515	-0.0017107
0.988424	2.38225	0.989436	2.37953	0.487582	0.52166	0.866082	0.0202984	0.217481	0.378779	0.649513	-0.0020764
0.986048	2.38857	0.987063	2.38589	0.488143	0.60229	0.866104	0.0238905	0.217894	0.450734	0.649511	-0.0023745
0.983665	2.39473	0.984683	2.39211	0.488782	0.678969	0.86613	0.0275216	0.218379	0.521763	0.649508	-0.00262405
0.981277	2.40079	0.982297	2.39823	0.489496	0.751385	0.866159	0.031144	0.218934	0.591718	0.649506	-0.00286316
0.978883	2.40676	0.979906	2.40424	0.490279	0.819522	0.866192	0.0348356	0.219557	0.660565	0.649503	-0.00308141
0.976483	2.41255	0.977508	2.41009	0.491128	0.88352	0.866229	0.0384923	0.220249	0.728151	0.649499	-0.00325791
0.974077	2.41824	0.975105	2.41582	0.492039	0.943313	0.866269	0.0421661	0.221008	0.794341	0.649496	-0.00335094
0.971666	2.42382	0.972696	2.42146	0.493007	0.999117	0.866313	0.0458739	0.221832	0.859125	0.649493	-0.00345033
0.969249	2.42925	0.970281	2.42695	0.494029	1.05119	0.86636	0.049563	0.222719	0.922396	0.649489	-0.00347579
0.966826	2.43456	0.967861	2.4323	0.495101	1.09961	0.866411	0.0533015	0.223669	0.984117	0.649486	-0.00344005
0.964399	2.43972	0.965436	2.43752	0.49622	1.14463	0.866466	0.0570519	0.22468	1.04421	0.649482	-0.00336856
0.961966	2.44477	0.963005	2.4426	0.497381	1.18657	0.866525	0.0608264	0.225749	1.1026	0.649479	-0.00322559
0.959529	2.44966	0.96057	2.44756	0.498583	1.22564	0.866587	0.064649	0.226876	1.15933	0.649476	-0.00302631
