Sym0		Sym1		Sym2		Sym3		Asym1		Asym2	
390  Points		390  Points		367  Points		200  Points		401  Points		295  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
1.00021	2.61682	1.0012	2.61652	0.486076	639.758	0.866026	1362.57	0.216507	1551.52	0.649519	922.241
0.997863	2.61751	0.998864	2.61721	0.486195	276.907	0.86603	530.784	0.216555	190.701	0.649519	382.001
0.995513	2.61818	0.996517	2.6179	0.486407	176.758	0.866038	329.589	0.216676	101.65	0.649518	240.889
0.993156	2.61885	0.994163	2.61856	0.486711	129.864	0.866049	238.999	0.216871	69.3407	0.649516	175.908
0.990793	2.61949	0.991803	2.61922	0.487104	102.681	0.866064	187.473	0.21714	52.6573	0.649515	138.537
0.988424	2.62013	0.989436	2.61986	0.487582	84.9461	0.866082	154.225	0.217481	42.4795	0.649513	114.262
0.986048	2.62075	0.987063	2.62049	0.488143	72.4686	0.866104	130.995	0.217894	35.6287	0.649511	97.226
0.983665	2.62136	0.984683	2.6211	0.488782	63.2159	0.86613	113.848	0.218379	30.7069	0.649508	84.6105
0.981277	2.62195	0.982297	2.6217	0.489496	56.0835	0.866159	100.672	0.218934	27.003	0.649506	74.8928
0.978883	2.62254	0.979906	2.62229	0.490279	50.4195	0.866192	90.2303	0.219557	24.1172	0.649503	67.1772
0.976483	2.6231	0.977508	2.62286	0.491128	45.8141	0.866229	81.7519	0.220249	21.8073	0.649499	60.9028
0.974077	2.62366	0.975105	2.62343	0.492039	41.997	0.866269	74.7309	0.221008	19.9182	0.649496	55.7003
0.971666	2.62421	0.972696	2.62398	0.493007	38.7826	0.866313	68.8212	0.221832	18.3456	0.649493	51.3167
0.969249	2.62474	0.970281	2.62451	0.494029	36.0392	0.86636	63.7785	0.222719	17.0173	0.649489	47.5726
0.966826	2.62526	0.967861	2.62504	0.495101	33.6709	0.866411	59.425	0.223669	15.8812	0.649486	44.3377
0.964399	2.62577	0.965436	2.62556	0.49622	31.6061	0.866466	55.6285	0.22468	14.8993	0.649482	41.5147
0.961966	2.62627	0.963005	2.62606	0.497381	29.7902	0.866525	52.2886	0.225749	14.0427	0.649479	39.0296
0.959529	2.62676	0.96057	2.62655	0.498583	28.181	0.866587	49.3276	0.226876	13.2894	0.649476	36.8253
0.957086	2.62724	0.95813	2.62703	0.499823	26.7454	0.866654	46.6846	0.228059	12.6223	0.649473	34.8566
0.954639	2.6277	0.955685	2.62751	0.501097	25.4568	0.866724	44.311	0.229295	12.0277	0.649471	33.0877
0.952188	2.62816	0.953235	2.62797	0.502404	24.2939	0.866798	42.1675	0.230584	11.4947	0.649468	31.4897
0.949732	2.62861	0.950781	2.62842	0.503741	23.2393	0.866876	40.2224	0.231748	11.0736	0.649467	30.039
0.947272	2.62905	0.948322	2.62886	0.505107	22.2786	0.866957	38.4492	0.23277	10.7426	0.649466	28.7161
0.944807	2.62948	0.94586	2.62929	0.506499	21.3999	0.867043	36.8263	0.233635	10.4864	0.649465	27.5048
0.942338	2.62989	0.943393	2.62972	0.507916	20.5931	0.867133	35.3353	0.234331	10.2942	0.649465	26.3915
0.939866	2.63031	0.940922	2.63013	0.509356	19.8499	0.867226	33.9607	0.23485	10.1582	0.649467	25.365
0.937389	2.63071	0.938447	2.63054	0.510818	19.1631	0.867324	32.6895	0.235186	10.0735	0.649469	24.4153
0.934909	2.6311	0.935969	2.63094	0.512301	18.5264	0.867426	31.5104	0.235672	9.9548	0.649472	23.5342
0.932426	2.63149	0.933486	2.63133	0.513803	17.9348	0.867532	30.4138	0.236205	9.82964	0.649476	22.7145
0.929939	2.63187	0.931001	2.63171	0.515323	17.3835	0.867642	29.3914	0.23694	9.66562	0.649481	21.9501
0.927448	2.63224	0.928512	2.63208	0.516861	16.8685	0.867756	28.4358	0.237883	9.4678	0.649488	21.2355
0.924954	2.6326	0.926019	2.63245	0.518414	16.3866	0.867875	27.5408	0.239046	9.2419	0.649496	20.566
0.922457	2.63296	0.923524	2.63281	0.519984	15.9345	0.867998	26.7008	0.240437	8.9939	0.649506	19.9375
0.919957	2.63331	0.921025	2.63316	0.521567	15.5096	0.868125	25.9108	0.242071	8.72978	0.649517	19.3464
