Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2		Asym3	
464  Points		496  Points		213  Points		180  Points		166  Points		117  Points		323  Points		191  Points		156  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.00108422	5.71726	3.98295e-005	0.191695	0.279511	0.062715	0.484231	0.0183331	0.559026	0.0594757	0.838534	0.039596	0.139787	0.249714	0.41927	0.0622954	0.698771	0.0191176
0.00641096	5.71708	0.00021843	0.267861	0.279569	0.105297	0.484248	0.0306252	0.559082	0.0860526	0.838571	0.055382	0.14002	0.368631	0.419328	0.0937734	0.698789	0.0374022
0.0117374	5.71649	0.00053896	0.418505	0.279707	0.190343	0.484288	0.0551967	0.559187	0.139197	0.838637	0.0868463	0.140474	0.604824	0.419445	0.15664	0.698841	0.0738722
0.017063	5.71552	0.000998268	0.565325	0.279924	0.27518	0.484351	0.079877	0.559341	0.192311	0.838733	0.118281	0.141147	0.836977	0.41962	0.219385	0.698927	0.110338
0.0223876	5.71424	0.00159238	0.707206	0.28022	0.359675	0.484437	0.104701	0.559545	0.245292	0.838858	0.149729	0.142034	1.06383	0.419853	0.282032	0.699047	0.146867
0.0277109	5.71263	0.00231607	0.843093	0.280594	0.443776	0.484546	0.129667	0.559798	0.298153	0.839012	0.181132	0.143129	1.28426	0.420145	0.344559	0.6992	0.183305
0.0330325	5.71066	0.00316339	0.972191	0.281047	0.527383	0.484678	0.154844	0.560101	0.350849	0.839195	0.212515	0.144427	1.49712	0.420495	0.406917	0.699388	0.219705
0.0383521	5.70833	0.00412764	1.09394	0.281577	0.610369	0.484834	0.180294	0.560452	0.40336	0.839408	0.243862	0.145919	1.70172	0.420904	0.469084	0.69961	0.256105
0.0436693	5.70564	0.00520182	1.20794	0.282184	0.692699	0.485014	0.205999	0.560852	0.45572	0.839649	0.275208	0.147598	1.89756	0.42137	0.531017	0.699865	0.292431
0.0489839	5.70254	0.00637849	1.31399	0.282868	0.774229	0.485218	0.231994	0.561301	0.507779	0.839921	0.306553	0.149455	2.08424	0.421893	0.592699	0.700155	0.32868
0.0542954	5.69905	0.00765029	1.41205	0.283627	0.854965	0.485446	0.258423	0.561799	0.559602	0.840221	0.337821	0.151481	2.26159	0.422474	0.654101	0.700478	0.364924
0.0596034	5.69521	0.00900969	1.50226	0.284461	0.934772	0.4857	0.285207	0.562344	0.611174	0.84055	0.36901	0.153669	2.42954	0.423112	0.715161	0.700835	0.401083
0.0649078	5.69097	0.0104496	1.58484	0.285369	1.01353	0.485978	0.312406	0.562937	0.662388	0.840908	0.400186	0.156009	2.58827	0.423807	0.775903	0.701225	0.437147
0.0702079	5.68631	0.0119629	1.66006	0.286349	1.09127	0.486282	0.340073	0.563578	0.713327	0.841296	0.431337	0.158492	2.738	0.424558	0.836305	0.701649	0.473167
0.0755036	5.68124	0.0135429	1.72839	0.287402	1.16789	0.486612	0.368232	0.564267	0.763935	0.841712	0.462438	0.161111	2.87897	0.425365	0.896318	0.702107	0.509099
0.0807943	5.67571	0.0151835	1.79011	0.288525	1.24326	0.486968	0.396939	0.565002	0.814175	0.842157	0.493439	0.163857	3.0117	0.426228	0.955918	0.702598	0.544926
0.0860796	5.66969	0.0168786	1.84575	0.289719	1.31738	0.487351	0.426154	0.565784	0.864045	0.842632	0.524386	0.166347	3.12098	0.427146	1.01506	0.703122	0.580693
0.0913591	5.66324	0.0186229	1.89579	0.29098	1.39027	0.487762	0.455948	0.566612	0.91354	0.843135	0.555299	0.168539	3.20959	0.428119	1.07372	0.70368	0.616337
0.0966325	5.65633	0.0204112	1.94058	0.292309	1.46179	0.488201	0.486384	0.567486	0.962653	0.843666	0.586142	0.170396	3.27977	0.429147	1.13195	0.704271	0.65181
0.101899	5.64888	0.0222389	1.98064	0.293704	1.53193	0.488668	0.517446	0.568406	1.01129	0.844227	0.616922	0.171893	3.33321	0.430229	1.18965	0.704895	0.687234
0.107159	5.64087	0.0241019	2.01638	0.295164	1.60067	0.489165	0.549176	0.56937	1.05957	0.844816	0.647573	0.173008	3.37169	0.431364	1.24684	0.705551	0.722559
0.11241	5.63232	0.0259962	2.04815	0.296687	1.6679	0.489692	0.581581	0.57038	1.10743	0.845433	0.678186	0.173729	3.39575	0.432552	1.30349	0.706241	0.75776
0.117654	5.62321	0.0279184	2.0764	0.298272	1.73375	0.490249	0.614677	0.571434	1.15481	0.84608	0.708724	0.174774	3.42946	0.433793	1.35959	0.706963	0.792787
0.122888	5.61349	0.0298654	2.10141	0.299917	1.79812	0.490837	0.648495	0.572532	1.2018	0.846754	0.739184	0.175921	3.46555	0.435085	1.4151	0.707718	0.827683
0.128114	5.60312	0.0318342	2.12352	0.301622	1.86095	0.491457	0.683099	0.573673	1.24833	0.847457	0.769562	0.1775	3.51319	0.436429	1.47001	0.708506	0.862466
0.133329	5.59205	0.0338223	2.14306	0.303385	1.9223	0.49211	0.71847	0.574858	1.29436	0.848188	0.799777	0.179528	3.57136	0.437825	1.52433	0.709325	0.897096
0.138534	5.58032	0.0358275	2.16023	0.305204	1.98224	0.492796	0.754642	0.576085	1.33993	0.848947	0.829958	0.182024	3.63883	0.43927	1.57803	0.710177	0.931565
0.143728	5.56784	0.0378477	2.17531	0.307079	2.04066	0.493516	0.79161	0.577355	1.38506	0.849735	0.860071	0.185009	3.71399	0.440765	1.63108	0.711061	0.965859
0.148909	5.55453	0.039881	2.18864	0.309007	2.09758	0.494271	0.829363	0.578666	1.42976	0.85055	0.890048	0.188509	3.79542	0.442309	1.68349	0.711977	1.00002
0.154078	5.54042	0.0416624	2.19889	0.310987	2.15307	0.495061	0.868028	0.580019	1.47397	0.851393	0.919899	0.192082	3.87198	0.443902	1.7353	0.712925	1.034
0.159233	5.52547	0.0431871	2.20672	0.313019	2.2072	0.495888	0.907493	0.581413	1.51772	0.852264	0.949645	0.195724	3.94395	0.445543	1.78639	0.713904	1.06783
0.164374	5.50955	0.0444518	2.21254	0.31483	2.25335	0.496753	0.947825	0.582847	1.56097	0.853163	0.979328	0.199431	4.01155	0.447231	1.8368	0.714914	1.10151
0.169499	5.49265	0.0454541	2.2169	0.316403	2.29178	0.497655	0.989083	0.584321	1.60375	0.854089	1.00888	0.203199	4.07508	0.448965	1.88657	0.715956	1.13495
0.174609	5.47475	0.0461923	2.21996	0.317724	2.32305	0.498596	1.03117	0.585836	1.64611	0.855043	1.03833	0.207024	4.13486	0.450746	1.93565	0.717029	1.16821
