Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2		Asym3	
466  Points		496  Points		226  Points		193  Points		180  Points		125  Points		329  Points		205  Points		168  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.00438314	5.31722	0.000375492	0.169871	0.279509	3271.75	0.477836	782.981	0.559021	1357.22	0.838536	1004.15	0.139765	445.877	0.419265	1441.35	0.698771	45438.6
0.00933701	5.31713	0.0007558	0.240536	0.279549	274.842	0.477859	309.901	0.559062	416.098	0.838571	474.636	0.13993	112.379	0.419306	342.969	0.698786	737.838
0.0142904	5.31693	0.00126371	0.310201	0.279657	143.5	0.477902	193.196	0.559145	245.748	0.838632	310.782	0.14029	64.4461	0.419398	194.682	0.698831	371.962
0.0192432	5.31666	0.00189541	0.378662	0.279832	97.1465	0.477965	140.357	0.559271	174.392	0.838718	231.042	0.140843	45.3083	0.419541	135.951	0.698905	248.679
0.0241951	5.31632	0.00264597	0.445657	0.280075	73.4679	0.478048	110.224	0.55944	135.174	0.838829	183.879	0.141586	35.0441	0.419734	104.472	0.699007	186.793
0.029146	5.3159	0.0035102	0.511026	0.280385	59.1043	0.478151	90.7523	0.559651	110.377	0.838966	152.718	0.142516	28.664	0.419977	84.8548	0.69914	149.585
0.0340955	5.31538	0.00448208	0.574579	0.280762	49.4683	0.478275	77.1356	0.559905	93.2855	0.839128	130.599	0.143625	24.3283	0.420271	71.4618	0.699301	124.752
0.0390434	5.31478	0.00555557	0.636208	0.281206	42.5599	0.478419	67.0793	0.560201	80.7934	0.839315	114.085	0.14491	21.2001	0.420615	61.7394	0.699492	107.001
0.0439896	5.31411	0.00672406	0.695783	0.281715	37.3678	0.478584	59.3494	0.56054	71.2662	0.839528	101.287	0.146363	18.8441	0.421009	54.3627	0.699712	93.6829
0.0489337	5.31335	0.00798126	0.753254	0.282291	33.3256	0.47877	53.2231	0.560921	63.7617	0.839765	91.0776	0.147977	17.0113	0.421453	48.5761	0.699961	83.3224
0.0538756	5.3125	0.00932065	0.808565	0.282931	30.0914	0.478977	48.2488	0.561344	57.699	0.840028	82.745	0.149745	15.5492	0.421947	43.917	0.700239	75.0337
0.0588149	5.31157	0.010736	0.861697	0.283636	27.4466	0.479205	44.1301	0.561809	52.6999	0.840317	75.8154	0.15166	14.3589	0.42249	40.0863	0.700546	68.2526
0.0637515	5.31055	0.0122211	0.91265	0.284404	25.245	0.479455	40.6641	0.562315	48.508	0.84063	69.9627	0.153715	13.3737	0.423083	36.8821	0.700882	62.6027
0.0686849	5.30945	0.0137702	0.961437	0.285236	23.3848	0.479727	37.7076	0.562863	44.943	0.840968	64.9542	0.155902	12.5469	0.423725	34.1633	0.701247	57.8233
0.0736151	5.30825	0.0153777	1.0081	0.286129	21.7934	0.480022	35.1561	0.563452	41.8749	0.841332	60.6199	0.158214	11.8449	0.424415	31.8281	0.701641	53.7281
0.0785417	5.30696	0.0170384	1.05267	0.287085	20.4173	0.480339	32.9322	0.564082	39.2069	0.841721	56.8327	0.160644	11.2426	0.425155	29.8013	0.702064	50.1804
0.0834644	5.30557	0.0187474	1.09521	0.288101	19.2163	0.480679	30.9768	0.564753	36.8662	0.842134	53.4954	0.162854	10.7844	0.425942	28.0262	0.702516	47.0776
0.0883828	5.30409	0.0205002	1.13579	0.289177	18.1595	0.481043	29.2443	0.565464	34.7963	0.842573	50.5325	0.164801	10.4351	0.426777	26.4591	0.702996	44.3414
0.0932968	5.30251	0.0222925	1.17447	0.290311	17.2231	0.48143	27.699	0.566216	32.9532	0.843036	47.8846	0.166453	10.1711	0.42766	25.066	0.703506	41.9105
0.098206	5.30083	0.0241206	1.21132	0.291503	16.388	0.481842	26.3122	0.567007	31.302	0.843525	45.5042	0.167786	9.97668	0.428591	23.8197	0.704043	39.737
0.10311	5.29904	0.0259807	1.24642	0.292753	15.639	0.482278	25.061	0.567838	29.8144	0.844038	43.353	0.16878	9.84109	0.429568	22.6987	0.704609	37.7821
0.108009	5.29715	0.0278698	1.27984	0.294057	14.964	0.48274	23.9266	0.568708	28.4675	0.844576	41.3994	0.169422	9.7574	0.430592	21.6852	0.705204	36.0147
0.112901	5.29515	0.0297847	1.31165	0.295417	14.3527	0.483227	22.8936	0.569617	27.2425	0.845138	39.6177	0.170354	9.6411	0.431661	20.7648	0.705827	34.4093
0.117788	5.29304	0.0317229	1.34195	0.29683	13.7968	0.483741	21.949	0.570565	26.1237	0.845726	37.9861	0.171379	9.51979	0.432777	19.9254	0.706478	32.9447
0.122667	5.29081	0.0336817	1.37078	0.298296	13.2894	0.484281	21.0823	0.571551	25.0982	0.846337	36.4867	0.172789	9.36279	0.433938	19.1571	0.707157	31.6033
0.12754	5.28846	0.0356592	1.39824	0.299814	12.8247	0.484849	20.2843	0.572576	24.155	0.846974	35.1042	0.174602	9.17645	0.435144	18.4514	0.707864	30.3703
0.132405	5.28598	0.0376531	1.42439	0.301381	12.3977	0.485444	19.5473	0.573638	23.2846	0.847635	33.8254	0.176836	8.96765	0.436394	17.8011	0.708599	29.2333
0.137263	5.28338	0.0396618	1.4493	0.302998	12.0041	0.486068	18.8647	0.574737	22.4791	0.84832	32.6392	0.179512	8.74335	0.437688	17.2002	0.709362	28.1816
0.142112	5.28065	0.0416835	1.47303	0.304663	11.6404	0.48672	18.2308	0.575873	21.7316	0.84903	31.536	0.182652	8.51012	0.439026	16.6434	0.710153	27.206
0.146952	5.27778	0.0437169	1.49564	0.306375	11.3035	0.487403	17.6407	0.577046	21.0363	0.849764	30.5075	0.185863	8.29944	0.440407	16.1262	0.710971	26.2986
0.151782	5.27476	0.0454972	1.51448	0.308133	10.9905	0.488115	17.0902	0.578256	20.3879	0.850522	29.5464	0.18914	8.10843	0.441831	15.6446	0.711817	25.4527
0.156603	5.2716	0.0470204	1.52993	0.309702	10.7356	0.488858	16.5755	0.579501	19.7819	0.851304	28.6464	0.19248	7.93468	0.443297	15.1952	0.71269	24.6623
0.161413	5.26829	0.0482835	1.54231	0.311065	10.5302	0.489632	16.0933	0.580782	19.2146	0.85211	27.8019	0.195878	7.77612	0.444804	14.775	0.71359	23.9222
0.166211	5.26481	0.0492843	1.55185	0.312211	10.3681	0.490439	15.6409	0.582098	18.6822	0.85294	27.008	0.199332	7.631	0.446353	14.3814	0.714517	23.2278
0.170998	5.26117	0.0500213	1.55872	0.313128	10.2446	0.491278	15.2155	0.583449	18.1819	0.853794	26.2603	0.202839	7.49782	0.447942	14.012	0.715472	22.5751
0.175773	5.25736	0.0504935	1.56306	0.313808	10.1563	0.49215	14.815	0.584835	17.7109	0.854672	25.555	0.206396	7.37527	0.449572	13.6647	0.716453	21.9604
0.180534	5.25336	0.0511728	1.56922	0.314247	10.1009	0.493056	14.4374	0.586255	17.2667	0.855573	24.8886	0.209999	7.26225	0.451241	13.3377	0.717461	21.3807
0.18528	5.24918	0.051912	1.57581	0.314881	10.0226	0.493997	14.0808	0.587708	16.8472	0.856499	24.2581	0.213646	7.15776	0.452949	13.0294	0.718495	20.8331
0.190012	5.2448	0.0529186	1.5846	0.315575	9.93944	0.494972	13.7436	0.589196	16.4505	0.857447	23.6606	0.217336	7.06096	0.454696	12.7383	0.719556	20.3151
0.194729	5.24021	0.0541935	1.59543	0.316527	9.82933	0.495984	13.4244	0.590716	16.0748	0.858419	23.0937	0.221064	6.97109	0.456481	12.463	0.720643	19.8243
0.199428	5.23541	0.055738	1.60813	0.317745	9.69484	0.497032	13.1219	0.592269	15.7185	0.859415	22.5551	0.224831	6.8875	0.458303	12.2023	0.721756	19.3587
0.20411	5.23039	0.0575532	1.6225	0.319237	9.53894	0.498118	12.8349	0.593855	15.3803	0.860433	22.0429	0.228632	6.8096	0.460163	11.9553	0.722895	18.9166
0.208773	5.22513	0.0596402	1.6383	0.321015	9.36488	0.499241	12.5622	0.595473	15.0588	0.861475	21.5551	0.232467	6.73688	0.462059	11.7208	0.72406	18.4961
