Sym0		Asym0		Sym1		Sym2		Asym1		Asym2	
477  Points		492  Points		478  Points		257  Points		405  Points		144  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.00671335	8.37386	0.000482466	0.58569	0.00330205	8.37475	0.279518	0.123216	0.139822	0.505629	0.419271	0.113173
0.0145152	8.37208	0.00102815	0.688689	0.0111048	8.37342	0.279633	0.191925	0.140293	0.743698	0.419377	0.177274
0.0223138	8.36763	0.00176576	0.887969	0.018905	8.3698	0.279876	0.328473	0.141208	1.21415	0.419602	0.305345
0.0301074	8.36129	0.00268278	1.07288	0.026701	8.36431	0.280245	0.462847	0.142556	1.67101	0.419946	0.433018
0.0378942	8.35294	0.00376496	1.2418	0.034491	8.35686	0.280738	0.594194	0.144322	2.11003	0.420409	0.560191
0.0456722	8.34247	0.00499674	1.39398	0.0422731	8.34729	0.281352	0.72161	0.146487	2.52798	0.42099	0.686657
0.0534394	8.32979	0.00636248	1.52928	0.0500452	8.33563	0.282083	0.844312	0.149032	2.92259	0.421688	0.812221
0.0611938	8.31485	0.00784639	1.64813	0.0578056	8.32167	0.282926	0.961616	0.151933	3.29241	0.422503	0.936785
0.0689332	8.29733	0.0094336	1.75159	0.0655518	8.30527	0.283875	1.07296	0.155167	3.63693	0.423434	1.06016
0.076655	8.27708	0.0111103	1.84072	0.0732815	8.2863	0.284925	1.17787	0.15871	3.95623	0.424479	1.18224
0.0843567	8.25395	0.0128636	1.91688	0.0809924	8.26449	0.28607	1.27599	0.162539	4.25096	0.425637	1.30293
0.0920353	8.22762	0.0146822	1.98154	0.0886815	8.23952	0.287303	1.36713	0.166632	4.5221	0.426907	1.42198
0.0996879	8.19773	0.016556	2.036	0.0963458	8.21121	0.288617	1.45142	0.170966	4.77091	0.428286	1.53932
0.107311	8.16387	0.018476	2.08157	0.103982	8.17919	0.290007	1.5291	0.175522	4.99871	0.429775	1.6549
0.1149	8.12568	0.0204347	2.11953	0.111587	8.14298	0.291467	1.6006	0.18028	5.2069	0.43137	1.7685
0.122452	8.08268	0.0224256	2.15091	0.119156	8.10213	0.29299	1.66677	0.185224	5.39695	0.43307	1.88006
0.129962	8.0342	0.0244427	2.17677	0.126684	8.05609	0.294572	1.72858	0.190337	5.5703	0.434873	1.9895
0.137423	7.97956	0.0262183	2.19555	0.134167	8.00423	0.296211	1.7873	0.195604	5.72817	0.436778	2.09668
0.144831	7.91803	0.027743	2.20902	0.141599	7.94585	0.297903	1.84446	0.201011	5.8718	0.43878	2.20156
0.152177	7.84867	0.0290102	2.2186	0.148974	7.88005	0.299648	1.90181	0.206545	6.00239	0.44088	2.30408
0.159456	7.77052	0.0300158	2.22545	0.156283	7.80581	0.301447	1.96136	0.212196	6.1209	0.443074	2.40411
0.166657	7.68233	0.0307571	2.22992	0.163519	7.72215	0.303303	2.02515	0.217951	6.22834	0.44536	2.50161
0.173771	7.58278	0.0312323	2.23257	0.170672	7.62779	0.30522	2.09539	0.223801	6.32561	0.447735	2.59657
0.180787	7.47056	0.0319163	2.23618	0.177732	7.5213	0.307207	2.17456	0.229738	6.41342	0.450198	2.68893
0.187691	7.34403	0.032661	2.23981	0.184687	7.40121	0.309272	2.265	0.235752	6.49251	0.452746	2.77867
