Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2	
476  Points		491  Points		477  Points		243  Points		128  Points		400  Points		144  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.00773532	8.32395	0.000540994	0.254581	0.00221695	8.32438	0.279509	35091.8	0.35124	5409.81	0.139798	339.555	0.419263	6425.63
0.0154891	8.32308	0.00110986	0.363087	0.00997201	8.32377	0.279578	297.531	0.351293	352.484	0.140216	104.374	0.419331	420.616
0.0232393	8.32153	0.00186807	0.468373	0.0177249	8.32268	0.279784	149.509	0.351439	182.252	0.141074	62.0077	0.419517	217.52
0.0309844	8.31936	0.00280312	0.569726	0.0254739	8.32098	0.280125	99.9359	0.351681	122.965	0.142361	44.3935	0.419823	146.774
0.0387225	8.31656	0.00390077	0.666591	0.0332171	8.31862	0.2806	75.1323	0.352017	92.8387	0.144063	34.8106	0.420246	110.824
0.0464516	8.31309	0.00514566	0.758554	0.0409528	8.31563	0.281205	60.2612	0.352451	74.6181	0.146163	28.828	0.420787	89.0795
0.0541698	8.30895	0.00652207	0.845353	0.048679	8.31198	0.281938	50.3629	0.352985	62.4189	0.148641	24.7657	0.421445	74.5206
0.0618752	8.30411	0.00801481	0.9269	0.0563937	8.30763	0.282795	43.3082	0.353621	53.6864	0.151474	21.8464	0.422219	64.0978
0.0695654	8.29854	0.00960905	1.00318	0.0640949	8.30258	0.283771	38.0312	0.354363	47.1322	0.154639	19.661	0.423109	56.2734
0.077238	8.2922	0.0112912	1.0743	0.0717803	8.29679	0.284861	33.9394	0.355214	42.0362	0.158113	17.9736	0.424113	50.1879
0.0848906	8.28506	0.0130489	1.14044	0.0794474	8.29022	0.28606	30.677	0.356178	37.9644	0.161873	16.6388	0.42523	45.323
0.0925204	8.27706	0.0148707	1.2018	0.0870938	8.28284	0.287362	28.0172	0.357259	34.6397	0.165897	15.5621	0.426459	41.348
0.100124	8.26816	0.0167469	1.25865	0.0947164	8.27459	0.288761	25.8091	0.358462	31.8767	0.170164	14.6794	0.427798	38.0414
0.107699	8.25829	0.0186687	1.31127	0.102312	8.26541	0.29025	23.948	0.359792	29.547	0.174653	13.9458	0.429245	35.2497
0.115241	8.2474	0.0206286	1.35994	0.109878	8.25526	0.291824	22.3591	0.361254	27.5584	0.179346	13.3289	0.4308	32.863
0.122746	8.23539	0.0226202	1.40494	0.11741	8.24405	0.293476	20.9875	0.362852	25.8435	0.184225	12.8048	0.432461	30.8006
