Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2	
476  Points		491  Points		475  Points		230  Points		129  Points		395  Points		143  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.00105019	8.27305	0.000602668	0.634961	0.00295868	8.2727	0.279564	0.210215	0.361826	0.0733548	0.139835	0.521178	0.419266	0.0937138
0.00875815	8.27202	0.00119426	0.735266	0.0106663	8.27143	0.27976	0.285562	0.361894	0.119814	0.140321	0.753501	0.419353	0.156994
0.0164642	8.269	0.00197276	0.929101	0.0183716	8.26796	0.280096	0.435503	0.362049	0.213196	0.141239	1.21265	0.419559	0.283408
0.0241665	8.26413	0.00292554	1.10854	0.0260727	8.26263	0.280571	0.58348	0.362291	0.307601	0.14258	1.65847	0.419882	0.409453
0.0318635	8.25739	0.00403841	1.27217	0.0337681	8.25543	0.281183	0.728775	0.362622	0.403468	0.14433	2.087	0.420322	0.535054
0.0395532	8.24867	0.00529608	1.41931	0.0414558	8.24622	0.281929	0.870757	0.363043	0.50123	0.146469	2.49515	0.420879	0.66006
0.047234	8.2379	0.00668314	1.55005	0.049134	8.2349	0.282806	1.00882	0.363556	0.601248	0.148979	2.88063	0.421552	0.784242
0.0549037	8.225	0.00818442	1.66496	0.0568007	8.22142	0.283809	1.14243	0.364164	0.704092	0.151837	3.24219	0.42234	0.907508
0.0625603	8.20982	0.00978561	1.76493	0.0644537	8.20566	0.284935	1.27106	0.364868	0.810096	0.155021	3.57931	0.423243	1.02975
0.0702018	8.1922	0.0114732	1.85113	0.072091	8.18749	0.286177	1.39428	0.365673	0.919564	0.158507	3.89202	0.424259	1.15082
0.0778256	8.17206	0.013235	1.92487	0.0797102	8.16665	0.287533	1.51176	0.366582	1.03296	0.162273	4.18098	0.425387	1.27056
0.0854295	8.14914	0.01506	1.98753	0.0873087	8.14301	0.288994	1.62323	0.367598	1.15062	0.166298	4.44711	0.426626	1.38891
0.0930106	8.12321	0.0169385	2.04041	0.0948838	8.1163	0.290557	1.72853	0.368726	1.27271	0.17056	4.69152	0.427975	1.50572
0.100566	8.09399	0.018862	2.08473	0.102433	8.08624	0.292215	1.82767	0.36997	1.39956	0.17504	4.91565	0.429432	1.62082
0.108093	8.06118	0.0208232	2.12173	0.109952	8.05249	0.293963	1.92069	0.371334	1.5313	0.179719	5.12074	0.430995	1.73421
0.115587	8.0245	0.0228156	2.15237	0.117437	8.01473	0.295794	2.00793	0.372823	1.66792	0.184582	5.30818	0.432664	1.84577
0.123046	7.98343	0.0248339	2.17768	0.124886	7.97254	0.297705	2.08991	0.374442	1.80956	0.189611	5.47939	0.434435	1.95536
0.130464	7.93754	0.0266101	2.19611	0.132293	7.92537	0.299689	2.16715	0.376195	1.95602	0.194792	5.63554	0.436307	2.06293
0.137836	7.88635	0.028135	2.20935	0.139654	7.87277	0.301743	2.24054	0.378087	2.10707	0.200112	5.77786	0.438279	2.16842
0.145159	7.82922	0.0294024	2.21888	0.146963	7.81408	0.303864	2.31116	0.380121	2.26239	0.205558	5.90743	0.440348	2.27174
