Minima		Zeros		Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2	
8  Points		7  Points		475  Points		493  Points		474  Points		220  Points		129  Points		390  Points		143  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.356771	4.75596	0.357848	4.74683	0.00206527	8.22245	3.14431e-005	0.232835	0.00342449	8.2222	0.279521	0.142042	0.372115	0.0879915	0.139843	0.530002	0.419272	0.112929
0.0320326	27.8512	0.0318221	27.5979	0.00972609	8.22128	0.000248375	0.34137	0.0110851	8.22085	0.279653	0.219393	0.372197	0.13171	0.140337	0.75951	0.419377	0.175673
0.217515	22.8977	0.216836	22.6879	0.0173847	8.21806	0.000667548	0.554473	0.0187431	8.21731	0.27993	0.373518	0.372361	0.219578	0.141258	1.21307	0.419599	0.300991
0.585548	9.81484	0.584482	9.80165	0.0250395	8.21302	0.00128158	0.758024	0.0263971	8.21193	0.280349	0.526127	0.372606	0.30845	0.142597	1.6535	0.419938	0.425943
0.883953	11.0182	0.885384	10.9858	0.0326888	8.20607	0.00208004	0.949208	0.0340452	8.20461	0.28091	0.676585	0.372935	0.398597	0.144339	2.07681	0.420393	0.550457
0.426399	9.02431	0.428065	9.01413	0.0403307	8.19716	0.00305032	1.12591	0.0416855	8.19538	0.28161	0.824352	0.373349	0.490413	0.146467	2.48002	0.420964	0.674313
0.751329	10.504	0.753501	9.7676	0.0479633	8.18622	0.00417805	1.28691	0.0493163	8.1841	0.282446	0.96886	0.373849	0.584323	0.148961	2.86097	0.42165	0.797368
0.870691	10.7505			0.0555848	8.17321	0.00544833	1.43166	0.0569357	8.1707	0.283415	1.10956	0.374438	0.680665	0.151798	3.21843	0.42245	0.919552
				0.0631932	8.15796	0.0068458	1.56018	0.0645415	8.15503	0.284514	1.24594	0.375118	0.779744	0.154958	3.55183	0.423363	1.04073
				0.0707862	8.14034	0.00835556	1.67315	0.0721317	8.13695	0.285737	1.37764	0.375891	0.881956	0.158417	3.86122	0.424389	1.16076
