Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym3	
472  Points		493  Points		472  Points		204  Points		131  Points		121  Points		380  Points		143  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.00377366	8.12191	6.96771e-005	0.289443	0.00668411	8.12111	0.279535	0.173763	0.391865	0.0611359	0.559018	0.0637365	0.139865	0.555421	0.419278	0.125843
0.0113408	8.12058	0.00033935	0.395862	0.0142505	8.11944	0.279697	0.252586	0.391922	0.10103	0.559077	0.112234	0.140382	0.779343	0.419396	0.187372
0.0189055	8.11702	0.000807322	0.604376	0.0218138	8.11515	0.280005	0.409732	0.392053	0.181087	0.559227	0.209166	0.141317	1.22172	0.419628	0.310289
0.026466	8.11167	0.00146554	0.802777	0.0293722	8.10908	0.28046	0.565529	0.392259	0.261734	0.559467	0.305986	0.142659	1.65111	0.419974	0.432856
0.0340207	8.1044	0.00230321	0.988567	0.0369242	8.1011	0.281059	0.719433	0.392541	0.343339	0.559797	0.402651	0.144394	2.06386	0.420434	0.554944
0.0415676	8.09521	0.00330762	1.15998	0.0444677	8.09116	0.281801	0.871014	0.392899	0.426205	0.560218	0.49901	0.146505	2.45708	0.421008	0.676439
0.0491052	8.08408	0.0044647	1.31581	0.0520011	8.07925	0.282682	1.01971	0.393335	0.51049	0.560727	0.595049	0.148972	2.82868	0.421695	0.797188
0.0566314	8.07091	0.00575949	1.45572	0.0595225	8.06525	0.283701	1.16512	0.39385	0.596589	0.561326	0.690738	0.151776	3.17754	0.422493	0.917105
0.0641444	8.05555	0.00717726	1.57997	0.0670299	8.04904	0.284853	1.3069	0.394447	0.684778	0.562014	0.78595	0.154893	3.50312	0.423403	1.03609
0.0716421	8.03786	0.00870358	1.6891	0.074521	8.03046	0.286136	1.44463	0.395126	0.775317	0.562791	0.880647	0.158303	3.80551	0.424424	1.15394
0.0791221	8.0178	0.0103247	1.78408	0.0819937	8.00942	0.287545	1.57799	0.395891	0.868432	0.563655	0.974827	0.161985	4.08537	0.425554	1.27061
0.0865823	7.99517	0.012028	1.86609	0.0894457	7.98573	0.289077	1.70674	0.396745	0.964353	0.564607	1.06841	0.165916	4.34342	0.426792	1.38598
0.0940202	7.96978	0.013802	1.93636	0.0968743	7.95921	0.290726	1.83063	0.397688	1.0634	0.565646	1.16131	0.170078	4.58082	0.428136	1.49988
0.101433	7.94139	0.0156362	1.99619	0.104277	7.92976	0.292488	1.94959	0.398726	1.16576	0.566771	1.25352	0.174452	4.79883	0.429587	1.61234
0.108818	7.90983	0.0175216	2.04678	0.110704	7.90141	0.294358	2.0635	0.399861	1.27168	0.567982	1.34498	0.17902	4.99865	0.431141	1.72322
0.116172	7.87481	0.0194502	2.0893	0.116164	7.8752	0.296333	2.17238	0.401096	1.38127	0.569278	1.43562	0.183766	5.18165	0.432798	1.83239
0.123492	7.83599	0.0214148	2.1249	0.120665	7.85193	0.298406	2.27633	0.402434	1.49469	0.570657	1.52542	0.188676	5.34908	0.434555	1.93978
0.130774	7.79306	0.0234097	2.15448	0.124214	7.83247	0.300575	2.37553	0.403881	1.6121	0.57212	1.61434	0.193734	5.50209	0.436412	2.04535
0.138014	7.74565	0.0254295	2.17902	0.126818	7.81763	0.302833	2.47036	0.405438	1.73349	0.573665	1.70232	0.198928	5.64183	0.438367	2.14906
0.145207	7.69332	0.0272065	2.19693	0.128481	7.80781	0.305178	2.56115	0.407111	1.85892	0.575292	1.78936	0.204247	5.76935	0.440417	2.25077
0.152349	7.6356	0.0287319	2.20983	0.130869	7.79314	0.307605	2.64847	0.408902	1.98834	0.577	1.87541	0.209679	5.8856	0.442561	2.35049
0.159435	7.57195	0.0299994	2.21915	0.13346	7.77665	0.310113	2.73303	0.410816	2.12165	0.578787	1.96043	0.215214	5.99152	0.444796	2.44819
0.166459	7.50184	0.0310053	2.22566	0.136974	7.75333	0.312698	2.81556	0.412856	2.2587	0.580653	2.04439	0.220843	6.08787	0.447122	2.54377
0.173414	7.42462	0.0317466	2.23011	0.141403	7.72212	0.315359	2.89698	0.415025	2.3992	0.582596	2.12729	0.226558	6.17539	0.449537	2.63722
0.180294	7.3396	0.0322218	2.23276	0.146734	7.68181	0.318096	2.97838	0.417326	2.54296	0.584617	2.20908	0.23235	6.25477	0.452037	2.72853
0.18709	7.2461	0.0329059	2.23618	0.152951	7.63056	0.320909	3.0609	0.419763	2.68955	0.586713	2.28975	0.238213	6.32661	0.454621	2.81771
0.193796	7.14341	0.0336506	2.23969	0.160032	7.56629	0.3238	3.14582	0.422338	2.83852	0.588883	2.36928	0.244139	6.39146	0.457287	2.90466
0.200401	7.03076	0.0346651	2.24403	0.16705	7.49559	0.326771	3.23437	0.425053	2.98948	0.591127	2.44769	0.250123	6.44976	0.460033	2.98941
0.206897	6.90741	0.0359509	2.24891	0.173999	7.41772	0.329827	3.32788	0.427909	3.14189	0.593444	2.5249	0.256158	6.50197	0.462858	3.07206
0.213273	6.77268	0.0375093	2.25388	0.180872	7.33206	0.332972	3.42775	0.430907	3.29525	0.595832	2.60089	0.262238	6.54854	0.465758	3.15248
0.219517	6.62599	0.0393414	2.25866	0.187661	7.23778	0.336214	3.53514	0.434049	3.44898	0.598291	2.67573	0.26836	6.58966	0.468732	3.23075
0.225619	6.46694	0.0414481	2.26297	0.194359	7.13428	0.33956	3.65112	0.437334	3.60247	0.600818	2.74939	0.274518	6.62578	0.471778	3.30689
0.231568	6.29531	0.0435582	2.26618	0.200955	7.02078	0.343018	3.7765	0.440762	3.75522	0.603414	2.82186	0.280707	6.65722	0.474894	3.38088
0.23735	6.11113	0.0456709	2.26849	0.207441	6.89647	0.346597	3.91183	0.444331	3.90667	0.606077	2.89312	0.286923	6.68405	0.478078	3.45281
0.242955	5.91483	0.0477853	2.27008	0.213806	6.76074	0.350307	4.05725	0.448042	4.05636	0.608805	2.96313	0.293162	6.70653	0.481328	3.52272
0.248372	5.70731	0.0499009	2.27109	0.220039	6.61301	0.354157	4.21237	0.45189	4.20383	0.611598	3.03195	0.299419	6.72496	0.484642	3.5906
0.25359	5.4898	0.0520172	2.27156	0.226129	6.4529	0.358156	4.37642	0.455875	4.34862	0.614455	3.09964	0.305693	6.73941	0.488019	3.65656
0.258601	5.26395	0.0541337	2.27169	0.232063	6.28019	0.362312	4.54808	0.459993	4.4904	0.617374	3.16611	0.311978	6.74999	0.491456	3.72066
0.263399	5.03192	0.0562503	2.27153	0.237831	6.09496	0.366631	4.7255	0.464242	4.62887	0.620354	3.23137	0.318271	6.75689	0.494952	3.78288
0.267978	4.79615	0.0583665	2.27105	0.243421	5.89772	0.371117	4.90668	0.468619	4.7638	0.623395	3.29546	0.324568	6.76013	0.498505	3.84337
0.272336	4.55928	0.0604821	2.27041	0.248821	5.68927	0.375774	5.08917	0.473119	4.89501	0.626495	3.35838	0.330867	6.75988	0.502113	3.90224
0.276473	4.32395	0.0625971	2.26965	0.254022	5.47097	0.380601	5.27045	0.47774	5.0223	0.629653	3.42021	0.337165	6.75614	0.505776	3.95948
0.280393	4.09271	0.0647114	2.26875	0.259015	5.24456	0.385595	5.44815	0.482478	5.14563	0.632868	3.48088	0.343457	6.74905	0.509491	4.01522
0.2841	3.86804	0.0668247	2.26779	0.263795	5.01212	0.390753	5.62007	0.487328	5.26498	0.636139	3.5404	0.348933	6.74015	0.513258	4.06957
0.287601	3.65191	0.0689371	2.26676	0.268355	4.77611	0.396067	5.78425	0.492288	5.38028	0.639465	3.59887	0.353595	6.73049	0.517075	4.12261
