Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2		Asym3	
465  Points		492  Points		184  Points		137  Points		118  Points		344  Points		150  Points		120  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.000848282	7.6219	0.000508646	0.566731	0.279573	0.217714	0.478599	0.0865096	0.559024	0.0824874	0.139776	0.338944	0.419303	0.150858	0.698774	0.0516157
0.00794957	7.62104	0.00103667	0.661146	0.279775	0.292052	0.478679	0.118733	0.559101	0.1275	0.140092	0.538688	0.419443	0.205202	0.698822	0.0833505
0.0150493	7.61839	0.00174062	0.844564	0.280117	0.440286	0.47882	0.183322	0.559262	0.217494	0.14078	0.934527	0.419685	0.313815	0.698929	0.146768
0.0221456	7.61403	0.00261042	1.01635	0.280596	0.58756	0.479021	0.248267	0.559506	0.30732	0.141833	1.32118	0.420028	0.42213	0.699096	0.210101
0.0292372	7.60802	0.00363448	1.17522	0.281212	0.733647	0.479283	0.313777	0.559835	0.396885	0.143242	1.69531	0.420471	0.530068	0.699321	0.273341
0.0363223	7.60025	0.00480031	1.32032	0.281963	0.878236	0.479606	0.379904	0.560246	0.48622	0.144992	2.05435	0.421016	0.637547	0.699605	0.336539
0.0433994	7.59079	0.00609475	1.45136	0.282848	1.021	0.47999	0.446826	0.560741	0.575242	0.14707	2.39621	0.421659	0.744472	0.699948	0.399653
0.0504669	7.57957	0.00750476	1.56857	0.283865	1.16174	0.480438	0.51468	0.561318	0.663858	0.149457	2.71949	0.422403	0.850728	0.70035	0.4626
0.0575231	7.56649	0.0090176	1.67247	0.285013	1.30024	0.48095	0.58359	0.561978	0.752025	0.152137	3.02349	0.423245	0.956235	0.70081	0.525433
