Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2		Asym3	
464  Points		493  Points		185  Points		139  Points		118  Points		339  Points		153  Points		121  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.0043722	7.5204	3.8426e-005	0.0647529	0.279575	302.932	0.494111	799.501	0.559018	4758.18	0.139813	264.493	0.419263	16468.4	0.698786	1060.06
0.011378	7.5198	0.000252922	0.165838	0.279777	150.856	0.494178	318.882	0.55907	532.864	0.140203	96.0099	0.419315	438.085	0.698855	439.285
0.0183813	7.51863	0.000652776	0.2657	0.280115	100.533	0.494302	199.202	0.559206	282.303	0.140955	58.9279	0.419465	222.075	0.698982	277.089
0.0253807	7.51694	0.00123187	0.363542	0.280586	75.4673	0.494485	144.878	0.559426	192.073	0.142062	42.7421	0.419714	148.806	0.699166	202.406
0.0323745	7.51468	0.0019819	0.458752	0.281192	60.4755	0.494725	113.866	0.559729	145.601	0.143512	33.7247	0.420061	111.95	0.699408	159.465
0.0393612	7.51189	0.00289273	0.550797	0.281929	50.5125	0.495024	93.8168	0.560115	117.278	0.145293	28.0105	0.420506	89.7764	0.699707	131.582
0.0463392	7.50853	0.00395263	0.639212	0.282798	43.4201	0.495383	79.795	0.560584	98.2161	0.14739	24.0881	0.421049	74.9781	0.700064	112.022
0.053307	7.5046	0.00514922	0.723683	0.283796	38.1202	0.495802	69.4411	0.561135	84.5165	0.149786	21.2448	0.421689	64.4063	0.700477	97.5451
0.0602628	7.5001	0.00646987	0.804012	0.284921	34.0145	0.496282	61.485	0.561768	74.1996	0.152465	19.1007	0.422425	56.4813	0.700948	86.4007
0.0672049	7.495	0.00790177	0.880059	0.286172	30.7442	0.496823	55.1825	0.562483	66.1532	0.155408	17.4344	0.423257	50.3235	0.701475	77.5586
0.0741316	7.48931	0.00943264	0.951795	0.287546	28.0811	0.497428	50.0684	0.56328	59.7046	0.158599	16.1086	0.424184	45.4041	0.702059	70.3738
0.0810411	7.483	0.0110509	1.01926	0.28904	25.8729	0.498097	45.8372	0.564156	54.423	0.162019	15.0334	0.425206	41.3862	0.7027	64.4215
0.0879314	7.47606	0.0127458	1.08256	0.290653	24.0145	0.498832	42.2797	0.565113	50.0196	0.165652	14.1475	0.426321	38.0447	0.703397	59.4108
0.0948005	7.46848	0.0145072	1.14181	0.292382	22.4307	0.499633	39.2483	0.566149	46.2936	0.169483	13.4078	0.427529	35.2238	0.704149	55.1356
0.101647	7.46023	0.0163263	1.19719	0.294224	21.0662	0.500502	36.6353	0.567264	43.1012	0.173495	12.783	0.428828	32.8122	0.704958	51.4458
0.108467	7.4513	0.0181949	1.24889	0.296175	19.8798	0.501441	34.3607	0.568456	40.3363	0.177676	12.2501	0.430219	30.728	0.705823	48.2297
0.11526	7.44167	0.0201061	1.29712	0.298235	18.8398	0.502452	32.3637	0.569726	37.9195	0.182012	11.7916	0.431699	28.9098	0.706742	45.402
0.122024	7.43131	0.0220534	1.34208	0.300399	17.9217	0.503535	30.5973	0.571072	35.7898	0.18649	11.394	0.433267	27.3109	0.707717	42.8971
0.128754	7.42019	0.0240313	1.38398	0.302665	17.1061	0.504693	29.0245	0.572494	33.8995	0.1911	11.0468	0.434923	25.8945	0.708747	40.6632
0.13545	7.40828	0.0260353	1.42303	0.30503	16.3773	0.505927	27.6157	0.573991	32.211	0.195216	10.7788	0.436664	24.6318	0.709831	38.6589
0.142108	7.39557	0.028061	1.45943	0.307492	15.723	0.507239	26.3474	0.575562	30.6944	0.198792	10.5723	0.438491	23.4998	0.710969	36.851
0.148725	7.382	0.0298412	1.48914	0.310048	15.1328	0.508631	25.2002	0.577206	29.325	0.201793	10.4149	0.4404	22.4797	0.712162	35.2123
0.155298	7.36756	0.0313682	1.51308	0.312696	14.5982	0.510105	24.158	0.578922	28.0829	0.204192	10.2982	0.442392	21.5562	0.713407	33.7205
