Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4		Asym5		Asym6	
401  Points		399  Points		402  Points		388  Points		378  Points		364  Points		355  Points		399  Points		396  Points		378  Points		362  Points		173  Points		131  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
2.20192	2.41169	0.346115	906.849	2.20358	2.41174	2.20515	2.49976	1.00187	480.849	1.38447	614.068	2.20176	2.72869	0.346111	1910.36	0.667906	422.435	1.03833	2427.99	1.33584	652.429	1.73055	2474.74	2.00376	48023.1
2.19621	2.41152	0.346396	128.817	2.19786	2.41157	2.1989	2.49921	1.00184	228.16	1.38458	303.503	2.19689	2.73046	0.346355	139.178	0.667842	171.749	1.03841	379.668	1.33584	306.744	1.73058	575.578	2.00377	852.988
2.19051	2.41137	0.347098	69.4687	2.19215	2.41141	2.19263	2.49864	1.00179	149.558	1.38475	201.583	2.19213	2.73239	0.34702	72.3567	0.667724	107.769	1.03861	205.973	1.33583	200.507	1.73065	325.673	2.00382	430.325
2.18482	2.41124	0.348213	47.6752	2.18646	2.41127	2.18635	2.49804	1.00172	111.231	1.38499	150.924	2.18749	2.73447	0.348099	49.0049	0.667556	78.5058	1.03892	141.352	1.33583	148.928	1.73076	227.09	2.00389	287.753
2.17915	2.41112	0.349731	36.3877	2.18079	2.41115	2.18005	2.49743	1.00163	88.5369	1.3853	120.627	2.18298	2.73672	0.349584	37.1472	0.667341	61.7298	1.03934	107.623	1.33583	118.456	1.73091	174.331	2.00399	216.15
2.17349	2.41101	0.35164	29.5034	2.17512	2.41104	2.17374	2.4968	1.00153	73.5309	1.38568	100.473	2.1786	2.73915	0.351459	29.9927	0.667082	50.8522	1.03987	86.9122	1.33584	98.3358	1.73109	141.472	2.00413	173.087
2.16784	2.41092	0.353923	24.8785	2.16947	2.41094	2.16742	2.49615	1.00142	62.8719	1.38612	86.0997	2.17435	2.74176	0.353711	25.219	0.666786	43.2263	1.04051	72.9056	1.33585	84.0589	1.73131	119.042	2.00429	144.338
2.16222	2.41085	0.356561	21.5661	2.16384	2.41087	2.16109	2.4955	1.0013	54.9101	1.38661	75.3331	2.17023	2.74455	0.356319	21.8159	0.666458	37.5832	1.04125	62.8038	1.33588	73.4028	1.73156	102.757	2.0045	123.784
2.1566	2.41079	0.359534	19.0827	2.15822	2.4108	2.15475	2.49483	1.00119	48.7369	1.38716	66.9679	2.16624	2.74753	0.359263	19.2734	0.666106	33.2384	1.04209	55.1753	1.33592	65.1455	1.73184	90.3957	2.00473	108.359
2.151	2.41075	0.362818	17.1559	2.15262	2.41076	2.14841	2.49415	1.00108	43.8108	1.38775	60.2817	2.16239	2.75069	0.362521	17.306	0.665739	29.7901	1.04301	49.2121	1.33598	58.5593	1.73215	80.6931	2.00501	96.3564
2.14542	2.41073	0.366388	15.6205	2.14703	2.41073	2.14206	2.49346	1.00098	39.7887	1.3884	54.8155	2.15866	2.75403	0.366067	15.7414	0.665366	26.987	1.04402	44.4234	1.33606	53.184	1.73248	72.875	2.00533	86.7518
2.13986	2.41073	0.370221	14.3702	2.14146	2.41072	2.13571	2.49276	1.00091	36.4432	1.38908	50.2634	2.15506	2.75756	0.369878	14.4696	0.664997	24.6638	1.04511	40.494	1.33617	48.714	1.73282	66.441	2.00569	78.8924
2.13431	2.41074	0.37429	13.334	2.13591	2.41073	2.12936	2.49206	1.00086	33.6172	1.38979	46.4141	2.15158	2.76126	0.373927	13.4169	0.664644	22.7075	1.04627	37.2119	1.33632	44.939	1.73319	61.0535	2.00609	72.3426
2.12878	2.41078	0.378568	12.462	2.13037	2.41076	2.123	2.49135	1.00085	31.1988	1.39054	43.1165	2.14822	2.76513	0.378188	12.5322	0.66432	21.0379	1.04748	34.4297	1.3365	41.7088	1.73357	56.4764	2.00655	66.8006
2.12326	2.41083	0.383028	11.7187	2.12485	2.41081	2.11664	2.49063	1.00088	29.1063	1.39131	40.2599	2.14497	2.76917	0.382634	11.7789	0.664038	19.597	1.04875	32.0414	1.33673	38.914	1.73395	52.5395	2.00706	62.051
2.11776	2.4109	0.387644	11.0779	2.11935	2.41088	2.11028	2.48991	1.00097	27.2784	1.39209	37.7613	2.14182	2.77337	0.387237	11.13	0.663813	18.3414	1.05007	29.969	1.33702	36.4724	1.73434	49.1172	2.00762	57.9354
2.11228	2.411	0.392387	10.5198	2.11387	2.41097	2.10392	2.48917	1.00112	25.6684	1.39288	35.5573	2.13877	2.77772	0.391971	10.5654	0.66366	17.2382	1.05142	28.1535	1.33736	34.3215	1.73473	46.1148	2.00824	54.3353
2.10682	2.41111	0.397231	10.0292	2.1084	2.41108	2.09756	2.48844	1.00134	24.2401	1.39368	33.5986	2.13582	2.78222	0.396807	10.0695	0.663597	16.2619	1.0528	26.55	1.33778	32.4127	1.73511	43.4593	2.00892	51.1599
2.10138	2.41125	0.402148	9.59443	2.10295	2.41121	2.09119	2.4877	1.00165	22.9648	1.39448	31.8463	2.13296	2.78687	0.401719	9.63025	0.66364	15.3926	1.05419	25.1233	1.33826	30.7077	1.73549	41.0938	2.00966	48.3385
2.09595	2.41141	0.407111	9.20605	2.09752	2.41136	2.08482	2.48695	1.00205	21.8198	1.39526	30.2692	2.13018	2.79166	0.406679	9.23815	0.66381	14.6144	1.05559	23.8454	1.33882	29.1759	1.73585	38.973	2.01048	45.8153
2.09055	2.4116	0.412092	8.85657	2.09211	2.41154	2.07846	2.4862	1.00256	20.7865	1.39603	28.8422	2.12748	2.79658	0.411659	8.88555	0.664125	13.9145	1.05699	22.6942	1.33947	27.7926	1.73619	37.0608	2.01136	43.5458
2.08516	2.4118	0.417064	8.53991	2.08672	2.41174	2.07209	2.48544	1.00319	19.8498	1.39678	27.5446	2.12486	2.80163	0.416633	8.56626	0.664605	13.2824	1.05838	21.6514	1.34022	26.5376	1.73651	35.3276	2.01232	41.4937
2.0798	2.41203	0.421998	8.25111	2.08135	2.41196	2.06572	2.48468	1.00394	18.9973	1.39751	26.3595	2.12231	2.8068	0.421571	8.27521	0.665272	12.7097	1.05975	20.7022	1.34107	25.3941	1.73681	33.7494	2.01336	39.6296
2.07445	2.41229	0.426868	7.98605	2.07599	2.41221	2.05936	2.48392	1.00483	18.2187	1.3982	25.2726	2.11983	2.8121	0.426448	8.00823	0.666148	12.1891	1.06109	19.8343	1.34202	24.3483	1.73708	32.3061	2.01448	37.929
2.06912	2.41257	0.431648	7.7413	2.07066	2.41248	2.05299	2.48315	1.00587	17.5052	1.39885	24.272	2.11741	2.81752	0.431237	7.76183	0.667252	11.7147	1.06239	19.0375	1.34309	23.3886	1.73731	30.9809	2.01568	36.3714
2.06382	2.41287	0.436311	7.51398	2.06535	2.41278	2.04662	2.48238	1.00706	16.8494	1.39946	23.3478	2.11506	2.82306	0.435318	7.56161	0.668608	11.2815	1.06365	18.3032	1.34428	22.505	1.73751	29.7599	2.01696	34.9399
2.05853	2.4132	0.440832	7.3017	2.06006	2.4131	2.04026	2.4816	1.00843	16.2451	1.40002	22.4914	2.11276	2.82871	0.438715	7.40029	0.670234	10.8851	1.06485	17.6241	1.34559	21.6891	1.73766	28.631	2.01833	33.6198
2.05327	2.41356	0.445188	7.10241	2.05479	2.41345	2.03389	2.48082	1.00997	15.6868	1.40053	21.6953	2.11053	2.83447	0.44146	7.27272	0.672151	10.522	1.06599	16.994	1.34703	20.9338	1.73778	27.5842	2.01979	32.3989
2.04802	2.41394	0.449357	6.91438	2.04954	2.41383	2.02752	2.48003	1.01169	15.1699	1.40098	20.9534	2.10835	2.84034	0.443586	7.17526	0.674375	10.1888	1.06706	16.4075	1.34861	20.2328	1.73785	26.6107	2.02134	31.2665
