Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4		Asym5	
395  Points		394  Points		394  Points		388  Points		371  Points		361  Points		159  Points		395  Points		381  Points		376  Points		360  Points		172  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
2.20474	2.17906	0.346273	0.258664	2.20123	2.17341	0.692249	0.105001	1.1123	-0.0277653	1.38451	0.107227	1.85383	-0.0414539	0.346137	0.161923	0.741506	-0.055544	1.03838	0.104317	1.48302	-0.0692374	1.73055	0.0515499
2.19972	2.17498	0.34687	0.352414	2.19621	2.16929	0.692491	0.157398	1.11224	-0.0498503	1.38476	0.144466	1.85373	-0.0694959	0.34651	0.256363	0.741378	-0.078063	1.03862	0.145149	1.48286	-0.0932502	1.73067	0.0888967
2.19471	2.16683	0.347899	0.538006	2.19122	2.16113	0.692975	0.261632	1.11207	-0.0936201	1.38518	0.218391	1.85351	-0.125277	0.34732	0.443662	0.741146	-0.122548	1.03905	0.226337	1.48259	-0.140826	1.73096	0.163144
2.18972	2.15866	0.349352	0.719202	2.18624	2.15292	0.693698	0.364338	1.1118	-0.136482	1.38577	0.291094	1.85316	-0.180004	0.348558	0.627243	0.740813	-0.165597	1.03967	0.306315	1.48221	-0.187124	1.73142	0.236493
2.18475	2.15046	0.351218	0.894605	2.18128	2.14472	0.694656	0.464869	1.11144	-0.177967	1.38652	0.362306	1.85268	-0.233134	0.350214	0.805808	0.740382	-0.206722	1.04047	0.384606	1.48172	-0.231747	1.73205	0.308556
2.17979	2.14225	0.353481	1.06304	2.17634	2.13652	0.695843	0.562658	1.11098	-0.217651	1.38744	0.431635	1.85208	-0.284315	0.352276	0.977927	0.739859	-0.245468	1.04144	0.460841	1.48114	-0.274337	1.73285	0.378927
2.17486	2.13403	0.356124	1.22354	2.17142	2.12825	0.697253	0.657236	1.11043	-0.255199	1.38851	0.498734	1.85137	-0.333138	0.354727	1.14258	0.739249	-0.281357	1.04259	0.534649	1.48046	-0.314475	1.7338	0.447379
2.16995	2.1258	0.359127	1.37528	2.16652	2.12006	0.698876	0.748173	1.1098	-0.290157	1.38974	0.563353	1.85054	-0.379222	0.357549	1.29895	0.73856	-0.313951	1.04391	0.605727	1.47969	-0.351903	1.73491	0.513459
