Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4		Asym5	
386  Points		381  Points		386  Points		374  Points		366  Points		342  Points		132  Points		381  Points		379  Points		366  Points		173  Points		126  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
2.20092	2.51207	0.346114	1092.83	2.20212	2.51209	0.69223	1211.02	1.38429	1534.07	1.40932	1722.33	2.07661	1134.82	0.34612	704.329	2.20059	2.55623	1.03837	1157.58	1.7304	753.285	1.879	1254.2
2.19508	2.51202	0.346407	132.01	2.19627	2.51203	0.692495	240.533	1.38268	430.774	1.41093	451.404	2.07642	501.878	0.346448	123.784	2.19578	2.5575	1.03888	324.204	1.72996	375.708	1.8794	493.857
2.18925	2.51198	0.347159	70.3962	2.19044	2.51199	0.693114	133.641	1.37978	250.089	1.41393	260.247	2.07607	322.137	0.347235	68.0024	2.19099	2.5588	1.03996	188.678	1.72924	250.182	1.88015	307.569
2.18343	2.51195	0.348364	48.1238	2.18461	2.51196	0.694081	92.6207	1.37615	175.876	1.41775	183.162	2.07558	237.153	0.348473	47.0045	2.18622	2.56012	1.04156	133.205	1.72824	187.458	1.88124	223.416
2.17762	2.51194	0.350012	36.6647	2.1788	2.51194	0.695387	70.9493	1.37214	135.427	1.42204	141.527	2.07495	187.617	0.350154	36.0204	2.18146	2.56147	1.04365	103.06	1.72698	149.824	1.88266	175.494
2.17182	2.51193	0.352091	29.7031	2.173	2.51193	0.697023	57.5644	1.36793	109.968	1.42661	115.466	2.07418	155.173	0.352266	29.2862	2.17671	2.56284	1.04618	84.1384	1.72548	124.726	1.88438	144.562
2.16603	2.51194	0.354587	25.0395	2.16721	2.51194	0.698976	48.4862	1.36361	92.4688	1.43135	97.6191	2.07327	132.272	0.354793	24.7487	2.17197	2.56423	1.0491	71.1667	1.72376	106.79	1.8864	122.952
2.16025	2.51196	0.357483	21.7071	2.16143	2.51196	0.701231	41.9312	1.35925	79.7022	1.43622	84.6328	2.07223	115.241	0.357718	21.4933	2.16724	2.56563	1.05236	61.7261	1.72183	93.3294	1.88868	107.008
