Sym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4		Asym5	
416  Points		417  Points		394  Points		365  Points		294  Points		172  Points		411  Points		397  Points		371  Points		268  Points		172  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
1.40209	2.36542	1.40305	2.36532	0.433017	1076.39	0.866024	4103.53	0.929535	956.76	1.29903	1398.95	0.216508	885.837	1.40194	2.48291	0.64962	584.155	1.08252	902.906	1.23935	1401.41
1.39888	2.36576	1.39983	2.36566	0.433112	234.665	0.865942	523.411	0.929714	384.987	1.29901	547.653	0.216608	128.338	1.3996	2.48512	0.650044	254.376	1.08246	409.665	1.23942	532.457
1.39568	2.36613	1.39663	2.36602	0.433328	131.749	0.865734	279.468	0.930043	241.05	1.29895	340.457	0.216855	69.2571	1.39726	2.48735	0.650777	162.742	1.08236	264.915	1.23955	328.697
1.39249	2.36651	1.39344	2.3664	0.433664	91.6369	0.865403	190.568	0.930517	175.514	1.29888	246.996	0.21725	47.491	1.39493	2.48959	0.651783	119.765	1.08221	195.731	1.23975	237.751
1.38931	2.36692	1.39026	2.36679	0.434118	70.2936	0.864953	144.531	0.931132	138.047	1.29878	193.787	0.217789	36.1901	1.3926	2.49186	0.65302	94.8389	1.08202	155.186	1.24001	186.248
1.38614	2.36734	1.38709	2.36721	0.434689	57.052	0.864393	116.371	0.931881	113.805	1.29865	159.433	0.218471	29.2806	1.39028	2.49414	0.654449	78.5752	1.08179	128.542	1.24033	153.104
1.38299	2.36778	1.38392	2.36765	0.435373	48.0409	0.863727	97.362	0.932755	96.8412	1.29851	135.419	0.219293	24.6267	1.38796	2.49644	0.656035	67.1319	1.08151	109.696	1.24072	129.992
1.37984	2.36824	1.38077	2.3681	0.436167	41.5163	0.862965	83.6638	0.933748	84.31	1.29834	117.686	0.220251	21.2843	1.38564	2.49876	0.657749	58.6454	1.0812	95.6598	1.24117	112.957
1.3767	2.36872	1.37763	2.36858	0.437068	36.5769	0.862114	73.3212	0.934849	74.6771	1.29814	104.055	0.221341	18.7713	1.38333	2.5011	0.659569	52.1025	1.08085	84.7993	1.24167	99.8822
1.37357	2.36922	1.3745	2.36907	0.438072	32.7098	0.861184	65.2341	0.936052	67.0432	1.29793	93.2488	0.222559	16.8162	1.38101	2.50345	0.661475	46.905	1.08045	76.1456	1.24224	89.5322
1.37045	2.36974	1.37138	2.36959	0.439175	29.6019	0.860182	58.7363	0.937347	60.8458	1.29769	84.4721	0.2239	15.2539	1.3787	2.50582	0.663453	42.6772	1.08002	69.0876	1.24286	81.1365
1.36734	2.37029	1.36827	2.37012	0.440373	27.0509	0.859117	53.4005	0.938728	55.7152	1.29743	77.2016	0.225359	13.9787	1.37639	2.5082	0.66549	39.1714	1.07956	63.2205	1.24354	74.1901
1.36425	2.37085	1.36517	2.37068	0.441661	24.9205	0.857996	48.9401	0.940186	51.3986	1.29715	71.0801	0.226931	12.9196	1.37408	2.5106	0.667579	36.2173	1.07906	58.2662	1.24427	68.3481
1.36116	2.37143	1.36208	2.37126	0.443035	23.1155	0.856827	45.1557	0.941714	47.7169	1.29685	65.8549	0.228611	12.0269	1.37177	2.513	0.66971	33.6945	1.07852	54.0266	1.24506	63.3673
1.35809	2.37204	1.359	2.37186	0.444491	21.5672	0.855616	41.9044	0.943306	44.5401	1.29652	61.3424	0.230393	11.2653	1.36946	2.51542	0.671879	31.515	1.07796	50.3572	1.24589	59.0706
1.35502	2.37267	1.35593	2.37248	0.446023	20.2251	0.854369	39.0807	0.944958	41.7713	1.29618	57.406	0.232273	10.6085	1.36715	2.51785	0.67408	29.6134	1.07736	47.1501	1.24678	55.3265
1.35197	2.37332	1.35287	2.37312	0.447629	19.051	0.853093	36.6055	0.946662	39.3368	1.29582	53.9418	0.234244	10.0369	1.36483	2.52028	0.676309	27.9396	1.07673	44.323	1.24772	52.0352
1.34892	2.37399	1.34983	2.37379	0.449303	18.0156	0.851792	34.418	0.948414	37.1797	1.29544	50.8696	0.236302	9.53531	1.36251	2.52272	0.678563	26.4553	1.07608	41.8118	1.2487	49.1195
1.34589	2.37469	1.34679	2.37448	0.451042	17.0959	0.850471	32.4709	0.95021	35.2552	1.29505	48.1263	0.238441	9.09208	1.36019	2.52517	0.680838	25.1298	1.07541	39.5665	1.24973	46.5189
1.34287	2.37541	1.34377	2.37519	0.452841	16.2738	0.849134	30.7266	0.952046	33.5278	1.29464	45.6618	0.240657	8.69784	1.35786	2.52762	0.683133	23.9392	1.0747	37.5468	1.25081	44.1849
1.33986	2.37615	1.34075	2.37593	0.454697	15.5347	0.847785	29.155	0.953918	31.9688	1.29421	43.4354	0.242943	8.34515	1.35553	2.53007	0.685445	22.8637	1.07398	35.7203	1.25193	42.0789
1.33686	2.37692	1.33775	2.37669	0.456606	14.8668	0.846429	27.7318	0.955823	30.5546	1.29376	41.4144	0.245296	8.02795	1.35319	2.53252	0.687771	21.8875	1.07324	34.0604	1.25308	40.169
1.33387	2.3777	1.33476	2.37747	0.458564	14.2604	0.845067	26.437	0.957758	29.2661	1.2933	39.5713	0.247711	7.7413	1.35083	2.53497	0.690112	20.9975	1.07248	32.5455	1.25428	38.4292
