Sym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4	
403  Points		403  Points		395  Points		364  Points		250  Points		146  Points		409  Points		380  Points		352  Points		264  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
1.40113	2.44328	1.40139	2.44317	0.433033	587.386	0.866025	3675.85	1.02492	790.39	1.29904	1154.21	0.216513	503.115	1.40272	2.59702	0.683272	2011.33	1.08253	8444.14
1.39832	2.44453	1.39858	2.44442	0.433187	198.655	0.865999	515.791	1.02501	374.077	1.29903	505.684	0.216633	115.617	1.39932	2.59768	0.683482	383.314	1.08252	688.814
1.39552	2.44581	1.39578	2.44569	0.433492	119.618	0.865936	277.335	1.02516	245.049	1.29901	323.763	0.216904	65.3898	1.39591	2.5983	0.683968	211.987	1.0825	359.043
1.39273	2.4471	1.39298	2.44698	0.433947	85.6359	0.865833	189.638	1.02537	182.228	1.29899	238.101	0.217324	45.6518	1.39246	2.59887	0.684711	146.624	1.08246	242.794
1.38994	2.44842	1.3902	2.4483	0.434546	66.7431	0.865694	144.064	1.02565	145.065	1.29895	188.282	0.217891	35.1219	1.389	2.59941	0.685683	112.164	1.0824	183.404
1.38717	2.44976	1.38742	2.44964	0.435286	54.7247	0.865516	116.138	1.02598	120.511	1.29891	155.701	0.218602	28.5859	1.38551	2.59991	0.686856	90.8949	1.08233	147.354
1.3844	2.45112	1.38465	2.451	0.436161	46.4126	0.865302	97.2703	1.02638	103.081	1.29887	132.731	0.219456	24.141	1.38201	2.60037	0.688199	76.4669	1.08224	123.143
1.38164	2.4525	1.38189	2.45238	0.437166	40.3258	0.865052	83.667	1.02683	90.0701	1.29882	115.665	0.220447	20.9272	1.37848	2.6008	0.689688	66.0409	1.08213	105.761
1.37889	2.45391	1.37914	2.45378	0.438293	35.6794	0.864767	73.3936	1.02735	79.988	1.29876	102.486	0.221572	18.4993	1.37494	2.6012	0.691298	58.1572	1.08201	92.6762
1.37615	2.45534	1.3764	2.45521	0.439537	32.0185	0.864448	65.3599	1.02792	71.9471	1.29869	92.0021	0.222827	16.6032	1.37138	2.60157	0.693011	51.9885	1.08188	82.4692
1.37342	2.45679	1.37367	2.45666	0.44089	29.0614	0.864096	58.9048	1.02854	65.3854	1.29862	83.4627	0.224207	15.0838	1.3678	2.60191	0.694811	47.031	1.08173	74.2847
1.37069	2.45826	1.37094	2.45813	0.442345	26.6243	0.863711	53.6043	1.02923	59.9299	1.29854	76.3727	0.225707	13.8407	1.36421	2.60222	0.696684	42.9605	1.08157	67.5754
1.36797	2.45976	1.36822	2.45962	0.443896	24.5821	0.863296	49.1735	1.02997	55.3233	1.29845	70.392	0.227322	12.8062	1.3606	2.6025	0.698621	39.559	1.08139	61.9754
1.36526	2.46127	1.36551	2.46113	0.445537	22.8468	0.862851	45.4145	1.03076	51.3821	1.29836	65.279	0.229046	11.9331	1.35698	2.60276	0.700611	36.6743	1.0812	57.2303
1.36256	2.4628	1.36281	2.46266	0.44726	21.3546	0.862378	42.1848	1.0316	47.9725	1.29826	60.8576	0.230874	11.1871	1.35335	2.603	0.702648	34.1972	1.08099	53.1581
1.35986	2.46436	1.36011	2.46422	0.449061	20.0582	0.861879	39.3799	1.03249	44.9939	1.29816	56.9964	0.232802	10.5431	1.3497	2.60321	0.704726	32.0471	1.08078	49.6251
1.35717	2.46593	1.35742	2.46579	0.450933	18.9219	0.861354	36.9211	1.03343	42.3699	1.29805	53.5951	0.234823	9.98214	1.34604	2.6034	0.70684	30.1634	1.08055	46.5308
1.35449	2.46752	1.35473	2.46737	0.452871	17.918	0.860805	34.7477	1.03442	40.0409	1.29793	50.5763	0.236933	9.48958	1.34237	2.60357	0.708986	28.4995	1.08031	43.7981
1.3518	2.46912	1.35205	2.46898	0.45487	17.0249	0.860234	32.8129	1.03545	37.96	1.29781	47.8788	0.239126	9.05401	1.33869	2.60373	0.71116	27.0193	1.08005	41.3671
1.34912	2.47073	1.34936	2.47059	0.456926	16.2253	0.859642	31.0792	1.03653	36.0898	1.29769	45.4539	0.241398	8.6664	1.335	2.60386	0.713359	25.6938	1.07979	39.1904
1.34643	2.47235	1.34668	2.4722	0.459033	15.5054	0.859032	29.5168	1.03765	34.4	1.29756	43.2622	0.243743	8.3195	1.3313	2.60398	0.71558	24.5001	1.07951	37.2301
