Sym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4	
396  Points		395  Points		392  Points		365  Points		241  Points		132  Points		406  Points		378  Points		327  Points		257  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
1.40365	2.68142	1.40153	2.6869	0.433063	0.160837	0.866025	-0.00786741	1.09111	0.0407855	1.29904	-0.000582795	0.21653	0.111769	1.4013	2.59875	0.727411	0.0861144	1.08253	-0.00612266
1.39978	2.68599	1.39765	2.69051	0.433295	0.225248	0.866014	-0.0149811	1.09117	0.0557198	1.29904	-0.000776456	0.216692	0.164127	1.39755	2.60051	0.727536	0.129727	1.08252	-0.00861249
1.39589	2.69357	1.39376	2.69657	0.433713	0.352122	0.865982	-0.0291444	1.09127	0.0855813	1.29904	-0.00121096	0.217004	0.268393	1.3938	2.60402	0.727786	0.216252	1.08251	-0.0135918
1.392	2.69861	1.38986	2.7007	0.434312	0.474474	0.86593	-0.0432621	1.09142	0.115348	1.29903	-0.0016405	0.217466	0.371531	1.39004	2.60739	0.72816	0.301119	1.08248	-0.0185698
1.3881	2.7021	1.38596	2.70356	0.435083	0.591152	0.865857	-0.0572885	1.0916	0.145	1.29903	-0.00198689	0.218077	0.472996	1.38627	2.61053	0.728655	0.383695	1.08245	-0.0234722
1.3842	2.70454	1.38206	2.70552	0.436018	0.701313	0.865764	-0.0711323	1.09184	0.174493	1.29903	-0.00231347	0.218832	0.572435	1.3825	2.61351	0.729268	0.463446	1.08241	-0.0282966
1.38029	2.70619	1.37815	2.70689	0.437108	0.804302	0.865652	-0.0848306	1.09211	0.203743	1.29902	-0.00260042	0.219729	0.669508	1.37873	2.61632	0.729993	0.540038	1.08237	-0.0331114
1.37639	2.70737	1.37425	2.70786	0.43834	0.899903	0.86552	-0.0983113	1.09242	0.232725	1.29902	-0.0028081	0.220764	0.763822	1.37495	2.61902	0.730826	0.613169	1.08232	-0.0378336
1.37248	2.7082	1.37034	2.70849	0.439705	0.988128	0.865368	-0.111503	1.09278	0.261468	1.29902	-0.00293049	0.221934	0.855187	1.37117	2.62157	0.731763	0.682599	1.08226	-0.0424442
1.36857	2.70868	1.36643	2.70888	0.441193	1.06907	0.865198	-0.12441	1.09318	0.289875	1.29901	-0.00295554	0.223233	0.94336	1.36738	2.62394	0.732797	0.748218	1.0822	-0.0469778
1.36466	2.70898	1.36252	2.70907	0.442791	1.14313	0.865009	-0.137041	1.09362	0.317905	1.29901	-0.0029324	0.224657	1.02815	1.36359	2.62621	0.733923	0.809948	1.08212	-0.0513575
1.36075	2.70915	1.35861	2.70915	0.444492	1.2107	0.864802	-0.149338	1.0941	0.345621	1.299	-0.00281288	0.226201	1.10941	1.3598	2.62832	0.735135	0.867857	1.08205	-0.055576
1.35684	2.70912	1.3547	2.70909	0.446286	1.27221	0.864578	-0.161261	1.09461	0.372928	1.299	-0.00257383	0.22786	1.18703	1.356	2.63034	0.736428	0.922079	1.08196	-0.0596916
1.35293	2.70899	1.35079	2.70889	0.448165	1.32823	0.864337	-0.172802	1.09517	0.399784	1.299	-0.00216899	0.229628	1.26106	1.35221	2.63227	0.737797	0.97266	1.08188	-0.0636748
1.34902	2.7088	1.34688	2.70865	0.450121	1.37918	0.864079	-0.183874	1.09577	0.426175	1.29899	-0.00165228	0.2315	1.33139	1.34841	2.63407	0.739236	1.01977	1.08178	-0.0674664
1.34511	2.70849	1.34297	2.70831	0.452146	1.4255	0.863806	-0.194517	1.0964	0.452078	1.29899	-0.0010583	0.233471	1.39809	1.3446	2.63576	0.740741	1.0636	1.08168	-0.0710945
1.3412	2.70816	1.33906	2.70793	0.454236	1.46766	0.863517	-0.204672	1.09707	0.477517	1.29899	-0.00023655	0.235536	1.46125	1.3408	2.63731	0.742306	1.10431	1.08158	-0.0745421
1.33729	2.70773	1.33515	2.70747	0.456383	1.50606	0.863215	-0.214361	1.09778	0.502393	1.29899	0.000747764	0.23769	1.52084	1.33699	2.63874	0.743929	1.14215	1.08147	-0.0777752
1.33338	2.70723	1.33124	2.70697	0.458583	1.54105	0.862899	-0.223559	1.09852	0.52673	1.29899	0.00183748	0.239926	1.57697	1.33318	2.64013	0.745603	1.17726	1.08135	-0.080799
1.32948	2.70675	1.32734	2.70642	0.460832	1.57293	0.86257	-0.232141	1.0993	0.550503	1.299	0.00313802	0.242242	1.62982	1.32937	2.64144	0.747327	1.20982	1.08123	-0.083624
1.32557	2.70615	1.32343	2.70582	0.463124	1.60205	0.862229	-0.240221	1.10011	0.573658	1.299	0.00464046	0.24432	1.67324	1.32555	2.64259	0.749096	1.24002	1.08111	-0.0861978
1.32166	2.70554	1.31952	2.70522	0.465456	1.62865	0.861876	-0.24774	1.10096	0.596237	1.29901	0.00632698	0.246133	1.70844	1.32174	2.64366	0.750907	1.26796	1.08098	-0.0884889
1.31776	2.70491	1.31562	2.70453	0.467826	1.65292	0.861513	-0.254647	1.10183	0.618179	1.29902	0.00823517	0.247661	1.73627	1.31792	2.64462	0.752756	1.29389	1.08085	-0.0905809
1.31386	2.70422	1.31172	2.70381	0.470228	1.67509	0.861141	-0.260991	1.10274	0.639504	1.29903	0.010367	0.248886	1.75743	1.3141	2.64551	0.754642	1.31793	1.08072	-0.0924211
1.30995	2.70351	1.30781	2.7031	0.472661	1.69542	0.86076	-0.266721	1.10368	0.660181	1.29905	0.0127263	0.249795	1.77263	1.31029	2.64635	0.756561	1.34021	1.08059	-0.0939775
1.30605	2.70274	1.30391	2.70235	0.475122	1.71395	0.860371	-0.271809	1.10465	0.680221	1.29907	0.015321	0.250382	1.78213	1.30647	2.64707	0.758511	1.36083	1.08045	-0.0952592
1.30215	2.70194	1.30001	2.70149	0.477609	1.73087	0.859975	-0.276271	1.10564	0.699574	1.29909	0.0181665	0.25123	1.79537	1.30264	2.6477	0.760489	1.37988	1.08031	-0.0962113
1.29825	2.70115	1.29612	2.70066	0.480119	1.74633	0.859574	-0.280069	1.10667	0.718211	1.29912	0.0212941	0.252159	1.80947	1.29882	2.64822	0.762494	1.39755	1.08017	-0.0968704
1.29435	2.7003	1.29222	2.69981	0.48265	1.7604	0.859167	-0.28327	1.10772	0.73615	1.29916	0.0246928	0.253435	1.82819	1.295	2.64862	0.764524	1.4139	1.08003	-0.0972366
1.29046	2.6994	1.28832	2.6989	0.485201	1.77323	0.858756	-0.285791	1.10879	0.753424	1.29919	0.0283408	0.255066	1.85086	1.29118	2.64898	0.766576	1.42897	1.07989	-0.0973096
1.28656	2.69848	1.28443	2.69797	0.487769	1.78482	0.858342	-0.28761	1.10989	0.770027	1.29924	0.0323409	0.257065	1.87702	1.28735	2.64925	0.768649	1.44283	1.07975	-0.0970163
1.28267	2.69751	1.28053	2.69699	0.490353	1.79527	0.857926	-0.28883	1.11102	0.785876	1.29929	0.0366058	0.259444	1.90589	1.28353	2.64936	0.770741	1.45563	1.07961	-0.0963564
1.27877	2.69653	1.27664	2.69599	0.492951	1.80473	0.857508	-0.289367	1.11216	0.80102	1.29934	0.0411805	0.262218	1.93677	1.2797	2.64942	0.772851	1.46737	1.07947	-0.0954027
1.27488	2.69553	1.27275	2.69493	0.495563	1.81319	0.85709	-0.289195	1.11333	0.815415	1.29941	0.0460818	0.265035	1.96544	1.27588	2.64941	0.774977	1.47811	1.07934	-0.0940814
1.27099	2.69448	1.26886	2.69391	0.498186	1.82066	0.856673	-0.288339	1.11452	0.829117	1.29948	0.0513435	0.267892	1.99192	1.27206	2.64923	0.777118	1.48794	1.0792	-0.0923909
1.2671	2.69341	1.26497	2.69281	0.500819	1.82731	0.856258	-0.286847	1.11572	0.842093	1.29955	0.0569596	0.270786	2.01626	1.26823	2.64894	0.779272	1.49692	1.07907	-0.0903282
1.26322	2.69228	1.26109	2.69165	0.503461	1.83308	0.855845	-0.284667	1.11695	0.854275	1.29964	0.0629185	0.273713	2.03862	1.26441	2.6486	0.781439	1.50498	1.07894	-0.0878875
1.25933	2.69113	1.2572	2.6905	0.50611	1.83803	0.855436	-0.281774	1.11819	0.865749	1.29974	0.0692697	0.276671	2.05906	1.26059	2.64812	0.783616	1.51223	1.07882	-0.0850568
1.25545	2.68999	1.25332	2.6893	0.508767	1.84222	0.855032	-0.278184	1.11945	0.876465	1.29984	0.0759664	0.279657	2.07766	1.25676	2.64747	0.785804	1.51877	1.0787	-0.0818124
1.25157	2.68874	1.24944	2.68807	0.511428	1.8456	0.854633	-0.273935	1.12072	0.886471	1.29995	0.0830609	0.282668	2.09458	1.25294	2.64675	0.788001	1.52451	1.07858	-0.0781801
1.24769	2.68748	1.24556	2.68678	0.514094	1.84828	0.854241	-0.269024	1.122	0.895717	1.30008	0.0905848	0.285703	2.10975	1.24912	2.64588	0.790205	1.52955	1.07847	-0.074138
1.24381	2.68622	1.24168	2.68545	0.516764	1.85026	0.853856	-0.263379	1.1233	0.904175	1.30022	0.0985281	0.288759	2.12337	1.24531	2.64482	0.792416	1.53391	1.07837	-0.0696428
1.23993	2.68486	1.23781	2.6841	0.519436	1.85158	0.853481	-0.257067	1.12461	0.911934	1.30036	0.106871	0.291833	2.13549	1.24149	2.64364	0.794633	1.53758	1.07827	-0.064754
1.23606	2.68346	1.23394	2.68273	0.521765	1.85217	0.853114	-0.250085	1.12594	0.918958	1.30052	0.115646	0.294923	2.14613	1.23767	2.64232	0.796855	1.5406	1.07818	-0.0594441
1.23219	2.68206	1.23006	2.68129	0.523751	1.85231	0.852759	-0.242418	1.12727	0.925168	1.3007	0.124847	0.298028	2.15533	1.23386	2.64084	0.79908	1.54298	1.0781	-0.0536583
1.22832	2.68065	1.2262	2.67982	0.525394	1.85217	0.852415	-0.234043	1.12861	0.930629	1.30089	0.134534	0.301145	2.16315	1.23005	2.63913	0.801309	1.54473	1.07802	-0.0474334
1.22445	2.67915	1.22233	2.67833	0.526692	1.85181	0.852083	-0.224983	1.12995	0.935401	1.30109	0.144678	0.304273	2.16974	1.22624	2.63725	0.80354	1.5459	1.07796	-0.0407697
1.22058	2.6776	1.21846	2.67675	0.527646	1.85153	0.851765	-0.215285	1.13131	0.939377	1.3013	0.155298	0.307409	2.17505	1.22244	2.63517	0.805772	1.54647	1.07791	-0.0335946
1.21672	2.67605	1.2146	2.67513	0.528257	1.8513	0.851462	-0.204899	1.13267	0.942568	1.30153	0.166359	0.310551	2.17905	1.21864	2.63283	0.808004	1.54643	1.07786	-0.0259827
1.21286	2.67441	1.21074	2.67351	0.529135	1.85075	0.851174	-0.193795	1.13403	0.945069	1.30178	0.177932	0.313699	2.18194	1.21484	2.63029	0.810236	1.54586	1.07783	-0.0179367
1.209	2.67274	1.20688	2.67179	0.530089	1.85025	0.850902	-0.182061	1.13539	0.946849	1.30205	0.19002	0.31685	2.18367	1.21104	2.62747	0.812466	1.5447	1.07781	-0.0093887
1.20514	2.67101	1.20303	2.67005	0.531386	1.8495	0.850648	-0.169652	1.13676	0.947844	1.30233	0.202549	0.320003	2.18421	1.20725	2.62433	0.814695	1.54298	1.0778	-0.000349262
1.20129	2.66923	1.19918	2.66824	0.533025	1.84809	0.850412	-0.156553	1.13813	0.948077	1.30263	0.215597	0.323155	2.18371	1.20347	2.6209	0.816921	1.54078	1.07781	0.00923353
1.19744	2.66745	1.19533	2.66638	0.535006	1.84621	0.850196	-0.142807	1.1395	0.947591	1.30295	0.229168	0.326307	2.1821	1.19969	2.61719	0.819143	1.53799	1.07783	0.0192438
