Sym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2		Asym3		Asym4	
395  Points		394  Points		374  Points		355  Points		227  Points		396  Points		379  Points		289  Points		231  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
1.40293	2.66736	1.40023	2.66658	0.433013	0.183761	0.866024	-0.0029852	1.23198	0.0122493	0.216532	0.114357	1.40175	2.63936	0.821318	0.0261335	1.08253	0.00215903
1.39908	2.66679	1.39638	2.66598	0.433278	0.346874	0.86602	-0.00422696	1.232	0.0171099	0.216697	0.167395	1.39794	2.63878	0.821355	0.0462392	1.08254	0.00330238
1.39523	2.66564	1.39253	2.66481	0.434014	0.648199	0.866012	-0.00663385	1.23203	0.0268577	0.217015	0.272969	1.39413	2.63756	0.821451	0.0863412	1.08254	0.00556053
1.39138	2.66445	1.38869	2.66358	0.435149	0.895331	0.866001	-0.00895741	1.23207	0.0366122	0.217485	0.377329	1.39033	2.6363	0.821605	0.126262	1.08255	0.00780633
1.38754	2.66318	1.38485	2.6623	0.436599	1.0871	0.865986	-0.0112608	1.23213	0.0462334	0.218104	0.480069	1.38652	2.63494	0.821816	0.166041	1.08256	0.0101007
1.3837	2.66194	1.381	2.66105	0.438288	1.23232	0.865968	-0.0135237	1.23221	0.0557346	0.218871	0.580738	1.38272	2.63339	0.822084	0.205534	1.08258	0.0124188
1.37985	2.66064	1.37716	2.65971	0.440156	1.34214	0.865947	-0.0157059	1.2323	0.0651424	0.219781	0.679025	1.37892	2.6317	0.822409	0.244677	1.0826	0.0147846
1.37601	2.65928	1.37333	2.65837	0.442162	1.42621	0.865923	-0.0177998	1.2324	0.0743632	0.220831	0.774599	1.37512	2.62984	0.82279	0.283411	1.08262	0.0171725
1.37218	2.65796	1.36949	2.65699	0.444273	1.49182	0.865896	-0.0198636	1.23251	0.0834298	0.222017	0.867161	1.37133	2.62781	0.823227	0.321696	1.08265	0.0196044
1.36834	2.65656	1.36566	2.65556	0.446469	1.54414	0.865866	-0.0217938	1.23264	0.0923346	0.223334	0.95656	1.36754	2.62566	0.823719	0.359521	1.08268	0.0221246
1.36451	2.65516	1.36182	2.65409	0.448731	1.58682	0.865833	-0.0236035	1.23278	0.100989	0.224778	1.04256	1.36375	2.62326	0.824265	0.396718	1.08271	0.0246748
1.36068	2.65367	1.35799	2.65261	0.451049	1.62237	0.865798	-0.0253186	1.23293	0.109435	0.226344	1.12505	1.35997	2.62065	0.824864	0.433319	1.08275	0.0272848
1.35685	2.65215	1.35417	2.65112	0.453414	1.65254	0.86576	-0.0269178	1.23309	0.117611	0.228026	1.20398	1.35619	2.61785	0.825516	0.469315	1.08279	0.0300147
1.35302	2.65065	1.35034	2.64952	0.45582	1.67859	0.86572	-0.0283583	1.23327	0.125541	0.229819	1.27922	1.35241	2.61475	0.826219	0.504612	1.08284	0.0328376
1.3492	2.64905	1.34652	2.64794	0.45826	1.7014	0.865678	-0.0296279	1.23345	0.133197	0.231719	1.35082	1.34864	2.61141	0.826973	0.539172	1.08289	0.0357003
1.34537	2.64745	1.3427	2.64631	0.460731	1.72161	0.865634	-0.0307756	1.23365	0.140525	0.233719	1.41888	1.34487	2.6078	0.827775	0.572988	1.08294	0.0386426
1.34155	2.64579	1.33888	2.64461	0.46323	1.73969	0.865589	-0.0317527	1.23386	0.147565	0.235814	1.48336	1.34111	2.60387	0.828627	0.605976	1.083	0.0417439
1.33774	2.64409	1.33506	2.64287	0.465753	1.75608	0.865543	-0.032535	1.23408	0.154248	0.237715	1.53678	1.33735	2.59961	0.829525	0.638188	1.08306	0.0449436
1.33392	2.64237	1.33125	2.64109	0.468299	1.77097	0.865495	-0.0331473	1.23431	0.160582	0.239386	1.58027	1.3336	2.59496	0.830469	0.66958	1.08313	0.0482668
1.33011	2.64055	1.32744	2.63928	0.470866	1.78458	0.865447	-0.0335664	1.23454	0.166586	0.240803	1.61474	1.32986	2.58992	0.831458	0.700064	1.0832	0.0516905
1.3263	2.63873	1.32363	2.63741	0.473451	1.79715	0.865398	-0.0337454	1.23479	0.172221	0.241944	1.64116	1.32613	2.58445	0.83249	0.729757	1.08328	0.055242
1.32249	2.63685	1.31982	2.63552	0.476054	1.80875	0.86535	-0.0337372	1.23504	0.177485	0.242795	1.66024	1.3224	2.57849	0.833564	0.758529	1.08336	0.0589759
1.31869	2.63493	1.31602	2.63356	0.478672	1.81948	0.865301	-0.033501	1.2353	0.182373	0.243345	1.67215	1.31868	2.57205	0.834679	0.786409	1.08345	0.0627816
1.31488	2.63298	1.31222	2.63155	0.481306	1.82944	0.865253	-0.0330287	1.23557	0.186877	0.244142	1.68884	1.31498	2.56505	0.835834	0.813458	1.08354	0.066804
