Sym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2		Asym3		Asym4	
395  Points		394  Points		373  Points		352  Points		225  Points		395  Points		379  Points		286  Points		227  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
1.40343	2.4975	1.40021	2.49715	0.433108	568.63	0.866024	612.282	1.25082	917.95	0.21651	647.44	1.4036	2.60468	0.833894	784.161	1.08253	1518.18
1.39959	2.49708	1.39637	2.49673	0.433782	196.722	0.866021	303.038	1.25083	445.77	0.216623	121.85	1.39981	2.60461	0.833961	332.68	1.08254	502.006
1.39576	2.49667	1.39254	2.49632	0.434986	119.226	0.866016	201.344	1.25085	294.36	0.21689	67.3327	1.39601	2.60454	0.834081	211.151	1.08254	300.724
1.39192	2.49625	1.3887	2.49591	0.436566	85.7391	0.866009	150.753	1.25087	219.73	0.217308	46.5873	1.39221	2.60448	0.834255	154.676	1.08256	214.658
1.38809	2.49584	1.38487	2.4955	0.4384	67.0832	0.866	120.48	1.25089	175.29	0.217878	35.6714	1.38842	2.60442	0.834483	122.055	1.08257	166.895
1.38426	2.49543	1.38104	2.49509	0.440406	55.1988	0.865989	100.331	1.25092	145.804	0.218595	28.948	1.38464	2.60436	0.834763	100.813	1.0826	136.52
1.38043	2.49502	1.37722	2.49468	0.442533	46.9685	0.865976	85.9557	1.25096	124.811	0.219458	24.3986	1.38085	2.60431	0.835096	85.8827	1.08262	115.501
1.37661	2.49461	1.37339	2.49427	0.444749	40.9329	0.865961	75.1829	1.25101	109.103	0.220461	21.121	1.37707	2.60427	0.835481	74.8166	1.08265	100.091
1.37278	2.49421	1.36957	2.49387	0.447032	36.3184	0.865944	66.8093	1.25105	96.9086	0.221603	18.6512	1.37329	2.60424	0.835917	66.2878	1.08269	88.3102
1.36896	2.49381	1.36575	2.49347	0.449368	32.6764	0.865926	60.1137	1.25111	87.1669	0.222878	16.7265	1.36952	2.60422	0.836405	59.5145	1.08273	79.0114
1.36514	2.4934	1.36193	2.49307	0.451748	29.7292	0.865907	54.6377	1.25117	79.2058	0.224281	15.1868	1.36575	2.6042	0.836943	54.0061	1.08277	71.4851
1.36133	2.493	1.35812	2.49267	0.454165	27.2955	0.865887	50.0757	1.25123	72.5781	0.225807	13.9288	1.36199	2.60419	0.83753	49.4393	1.08282	65.2687
1.35751	2.49261	1.35431	2.49227	0.456614	25.2521	0.865865	46.2166	1.2513	66.9746	0.227453	12.8832	1.35824	2.6042	0.838166	45.5923	1.08287	60.0477
1.3537	2.49221	1.3505	2.49188	0.45909	23.5123	0.865842	42.9096	1.25137	62.1751	0.229211	12.0016	1.35449	2.60421	0.83885	42.3078	1.08293	55.6008
1.34989	2.49182	1.34669	2.49149	0.461592	22.0131	0.865819	40.044	1.25144	58.0181	0.231077	11.2492	1.35074	2.60424	0.839581	39.4713	1.083	51.7677
1.34608	2.49143	1.34288	2.4911	0.464116	20.7081	0.865795	37.5371	1.25152	54.3826	0.233047	10.6002	1.34701	2.60429	0.840358	36.9973	1.08306	48.4296
1.34228	2.49104	1.33908	2.49072	0.466661	19.5619	0.865771	35.3254	1.2516	51.1765	0.235113	10.0354	1.34328	2.60435	0.84118	34.8208	1.08314	45.4966
1.33847	2.49066	1.33528	2.49034	0.469225	18.5471	0.865747	33.3598	1.25169	48.3278	0.23699	9.60008	1.33956	2.60442	0.842047	32.8914	1.08322	42.899
1.33468	2.49028	1.33148	2.48996	0.471807	17.6426	0.865723	31.6013	1.25178	45.7799	0.238642	9.26462	1.33585	2.60452	0.842956	31.1696	1.0833	40.5826
1.33088	2.4899	1.32769	2.48958	0.474405	16.8313	0.8657	30.0188	1.25187	43.4876	0.240044	9.00894	1.33215	2.60463	0.843908	29.6237	1.0834	38.5041
1.32709	2.48953	1.3239	2.48921	0.477018	16.0996	0.865677	28.5872	1.25196	41.4143	0.241174	8.8193	1.32846	2.60477	0.8449	28.2283	1.08349	36.6286
1.3233	2.48915	1.32011	2.48885	0.479645	15.4363	0.865655	27.2859	1.25206	39.53	0.242017	8.68638	1.32478	2.60493	0.845932	26.9626	1.0836	34.9278
1.31951	2.48879	1.31633	2.48848	0.482286	14.8323	0.865634	26.0979	1.25215	37.8101	0.242561	8.60404	1.32111	2.60512	0.847003	25.8093	1.08371	33.3784
1.31572	2.48842	1.31255	2.48812	0.484939	14.28	0.865615	25.0091	1.25225	36.2338	0.243351	8.48926	1.31746	2.60533	0.848111	24.7544	1.08382	31.9611
1.31194	2.48806	1.30877	2.48777	0.487604	13.7731	0.865598	24.0074	1.25235	34.7839	0.244219	8.36903	1.31383	2.60558	0.849256	23.7857	1.08395	30.6598
1.30816	2.48771	1.30499	2.48741	0.49028	13.3062	0.865583	23.0829	1.25245	33.4458	0.245414	8.21267	1.31021	2.60586	0.850436	22.8933	1.08408	29.4607
1.30439	2.48736	1.30122	2.48707	0.492966	12.8747	0.86557	22.2271	1.25255	32.2071	0.246949	8.02591	1.30661	2.60618	0.85165	22.0685	1.08422	28.3523
1.30062	2.48701	1.29745	2.48673	0.495662	12.4749	0.865561	21.4324	1.25265	31.057	0.24884	7.81503	1.30302	2.60653	0.852897	21.304	1.08436	27.3248
1.29685	2.48667	1.29369	2.48639	0.498367	12.1033	0.865554	20.6927	1.25275	29.9864	0.251104	7.58645	1.29946	2.60693	0.854176	20.5935	1.08451	26.3695
1.29309	2.48634	1.28993	2.48606	0.50108	11.757	0.865552	20.0024	1.25285	28.9873	0.25376	7.34633	1.29592	2.60738	0.855485	19.9315	1.08468	25.4793
1.28933	2.48601	1.28617	2.48573	0.503801	11.4337	0.865553	19.3568	1.25295	28.0528	0.256473	7.12706	1.2924	2.60788	0.856824	19.3132	1.08485	24.6476
1.28557	2.48568	1.28242	2.48541	0.506529	11.131	0.865559	18.7516	1.25305	27.1767	0.25924	6.92616	1.28891	2.60843	0.858192	18.7345	1.08502	23.8689
1.28182	2.48536	1.27867	2.4851	0.509264	10.847	0.865569	18.1833	1.25314	26.3539	0.262058	6.74147	1.28544	2.60903	0.859586	18.1917	1.08521	23.1383
1.27807	2.48505	1.27492	2.48479	0.512004	10.5801	0.865585	17.6485	1.25324	25.5795	0.264923	6.57117	1.282	2.6097	0.861006	17.6817	1.08541	22.4515
1.27433	2.48474	1.27118	2.48449	0.514751	10.3288	0.865606	17.1444	1.25334	24.8494	0.267831	6.41369	1.2786	2.61044	0.862451	17.2015	1.08561	21.8048
1.27059	2.48444	1.26745	2.48419	0.517502	10.0917	0.865634	16.6684	1.25343	24.1599	0.270781	6.26768	1.27522	2.61124	0.86392	16.7486	1.08583	21.1947
1.26685	2.48415	1.26371	2.48391	0.520257	9.86771	0.865668	16.2183	1.25353	23.5077	0.273768	6.13197	1.27188	2.61211	0.865412	16.3208	1.08605	20.6182
1.26312	2.48386	1.25999	2.48363	0.523017	9.65571	0.865709	15.792	1.25362	22.8898	0.276791	6.00552	1.26857	2.61306	0.866925	15.9161	1.08629	20.0727
1.25939	2.48358	1.25626	2.48335	0.525424	9.48002	0.865757	15.3878	1.25371	22.3037	0.279846	5.88743	1.26529	2.61409	0.868459	15.5327	1.08654	19.5557
1.25567	2.48331	1.25255	2.48309	0.527478	9.33645	0.865813	15.0038	1.2538	21.7469	0.282931	5.77692	1.26206	2.6152	0.870012	15.1689	1.0868	19.0651
1.25195	2.48305	1.24883	2.48283	0.529177	9.2218	0.865878	14.6388	1.25389	21.2172	0.286044	5.67329	1.25885	2.61639	0.871583	14.8232	1.08707	18.5989
1.24824	2.48279	1.24512	2.48258	0.530521	9.13364	0.865951	14.2913	1.25398	20.7128	0.289183	5.57592	1.25569	2.61767	0.873171	14.4944	1.08735	18.1554
1.24453	2.48254	1.24142	2.48234	0.53151	9.07017	0.866034	13.9601	1.25406	20.2319	0.292346	5.48426	1.25256	2.61903	0.874776	14.1813	1.08765	17.7329
1.24083	2.48231	1.23772	2.48211	0.532143	9.03013	0.866127	13.6442	1.25415	19.7728	0.295529	5.39783	1.24947	2.62048	0.876396	13.8827	1.08795	17.3301
1.23713	2.48208	1.23403	2.48189	0.533053	8.97335	0.86623	13.3424	1.25423	19.3341	0.298733	5.31618	1.24642	2.62201	0.87803	13.5977	1.08827	16.9456
1.23344	2.48186	1.23035	2.48168	0.534042	8.91266	0.866344	13.054	1.25431	18.9145	0.301953	5.23894	1.24341	2.62363	0.879677	13.3253	1.08861	16.5782
1.22976	2.48165	1.22666	2.48148	0.535387	8.83178	0.866469	12.778	1.25439	18.5128	0.30519	5.16573	1.24043	2.62534	0.881336	13.0648	1.08896	16.2269
1.22608	2.48145	1.22299	2.48129	0.537089	8.73214	0.866607	12.5136	1.25447	18.1278	0.308442	5.09626	1.23748	2.62713	0.883006	12.8154	1.08932	15.8905
1.2224	2.48127	1.21932	2.48112	0.539148	8.61542	0.866757	12.2603	1.25454	17.7585	0.311705	5.03022	1.23457	2.62901	0.884687	12.5763	1.0897	15.5682
1.21874	2.48109	1.21566	2.48095	0.541563	8.4835	0.866919	12.0172	1.25462	17.404	0.31498	4.96737	1.23169	2.63097	0.886376	12.347	1.09009	15.2592
1.21507	2.48092	1.212	2.4808	0.544334	8.33837	0.867096	11.7839	1.25469	17.0634	0.318265	4.90746	1.22885	2.63301	0.888074	12.1268	1.0905	14.9626
1.21142	2.48077	1.20835	2.48065	0.547104	8.19952	0.867287	11.5597	1.25477	16.7358	0.321558	4.85028	1.22603	2.63513	0.889779	11.9153	1.09093	14.6777
1.20777	2.48063	1.20471	2.48052	0.549873	8.06652	0.867492	11.3442	1.25484	16.4207	0.324857	4.79564	1.22325	2.63732	0.891491	11.7118	1.09137	14.404
1.20413	2.4805	1.20107	2.48041	0.55264	7.93901	0.867713	11.1369	1.25491	16.1172	0.328162	4.74336	1.22049	2.63959	0.893208	11.516	1.09183	14.1407
1.20049	2.48039	1.19744	2.4803	0.555405	7.81665	0.867949	10.9373	1.25498	15.8247	0.331471	4.69328	1.21776	2.64193	0.894929	11.3274	1.09231	13.8873
1.19686	2.48029	1.19382	2.48022	0.558166	7.69912	0.868202	10.7451	1.25505	15.5427	0.334783	4.64524	1.21505	2.64435	0.896654	11.1456	1.0928	13.6432
1.19324	2.4802	1.1902	2.48014	0.560925	7.58613	0.868473	10.5598	1.25512	15.2706	0.338097	4.59911	1.21237	2.64683	0.898382	10.9703	1.09332	13.408
1.18963	2.48013	1.1866	2.48008	0.563679	7.47742	0.86876	10.3811	1.25518	15.0079	0.341411	4.55476	1.20972	2.64938	0.900111	10.801	1.09385	13.1812
1.18602	2.48008	1.183	2.48004	0.566429	7.37273	0.869066	10.2087	1.25525	14.7541	0.344724	4.51208	1.20709	2.652	0.901842	10.6375	1.0944	12.9624
1.18242	2.48004	1.1794	2.48001	0.569174	7.27184	0.869391	10.0422	1.25532	14.5087	0.348036	4.47096	1.20448	2.65468	0.903572	10.4795	1.09498	12.7513
1.17883	2.48001	1.17582	2.48	0.571913	7.17453	0.86969	9.90181	1.25539	14.2714	0.351345	4.4313	1.20189	2.65743	0.905302	10.3267	1.09557	12.5473
1.17525	2.48	1.17224	2.48001	0.574646	7.08061	0.869956	9.78539	1.25546	14.0418	0.354649	4.39301	1.19932	2.66023	0.907031	10.1789	1.09619	12.3502
1.17167	2.48001	1.16867	2.48004	0.577373	6.98989	0.870185	9.69131	1.25552	13.8195	0.357949	4.356	1.19677	2.6631	0.908757	10.0357	1.09683	12.1596
1.16811	2.48004	1.16512	2.48008	0.580092	6.9022	0.870372	9.61829	1.25559	13.6041	0.361242	4.32019	1.19423	2.66603	0.910259	9.91454	1.09749	11.9753
1.16455	2.48009	1.16157	2.48014	0.582803	6.81738	0.870512	9.56535	1.25566	13.3953	0.364528	4.28552	1.19172	2.66902	0.911537	9.81384	1.09817	11.797
1.161	2.48015	1.15802	2.48022	0.585507	6.73529	0.870604	9.5318	1.25573	13.1929	0.367807	4.25191	1.18922	2.67206	0.912591	9.7323	1.09888	11.6243
1.15746	2.48024	1.15449	2.48033	0.588201	6.65577	0.870737	9.48402	1.2558	12.9966	0.371075	4.21929	1.18674	2.67517	0.913424	9.66889	1.09961	11.4571
1.15393	2.48034	1.15097	2.48045	0.590886	6.57871	0.870884	9.43266	1.25587	12.806	0.374334	4.18762	1.18428	2.67833	0.914036	9.62286	1.10036	11.2951
1.15041	2.48047	1.14745	2.48059	0.593561	6.50398	0.871089	9.36378	1.25594	12.621	0.377582	4.15683	1.18183	2.68154	0.914427	9.59365	1.10114	11.1381
1.14689	2.48062	1.14395	2.48076	0.596226	6.43146	0.871356	9.27821	1.25602	12.4413	0.380817	4.12687	1.1794	2.68481	0.914989	9.55202	1.10194	10.9858
1.14339	2.48079	1.14046	2.48095	0.59888	6.36104	0.871689	9.17699	1.25609	12.2667	0.384039	4.09769	1.17698	2.68814	0.915599	9.50722	1.10277	10.8381
1.1399	2.48098	1.13697	2.48116	0.601522	6.29264	0.872097	9.06129	1.25617	12.0969	0.387247	4.06926	1.17457	2.69152	0.916427	9.44705	1.10363	10.6948
1.13642	2.48119	1.1335	2.48139	0.604152	6.22614	0.872587	8.93242	1.25625	11.9318	0.390441	4.04151	1.17218	2.69496	0.917472	9.37216	1.10451	10.5557
1.13294	2.48143	1.13003	2.48165	0.60677	6.16147	0.8731	8.80755	1.25633	11.7712	0.393618	4.01443	1.1698	2.69845	0.918732	9.28335	1.10542	10.4207
1.12948	2.48169	1.12658	2.48193	0.609375	6.09853	0.873639	8.6865	1.25641	11.6149	0.396779	3.98796	1.16744	2.70199	0.920205	9.18155	1.10635	10.2895
1.12603	2.48198	1.12314	2.48224	0.611965	6.03725	0.874202	8.56912	1.2565	11.4627	0.399923	3.96207	1.16509	2.70559	0.921888	9.06775	1.10719	10.1782
1.12259	2.4823	1.11971	2.48258	0.614542	5.97755	0.874792	8.45527	1.25658	11.3145	0.403047	3.93674	1.16275	2.70924	0.923563	8.95706	1.10792	10.0855
1.11916	2.48264	1.11629	2.48294	0.617104	5.91937	0.875407	8.34481	1.25667	11.1702	0.406153	3.91192	1.16043	2.71294	0.925228	8.84933	1.10854	10.0103
1.11574	2.483	1.11288	2.48333	0.619651	5.86263	0.87605	8.23759	1.25677	11.0295	0.409238	3.88759	1.15811	2.7167	0.926884	8.74445	1.10904	9.95182
1.11233	2.4834	1.10948	2.48375	0.622182	5.80727	0.87672	8.1335	1.25686	10.8924	0.412303	3.86373	1.15581	2.72051	0.928529	8.64228	1.1094	9.90928
1.10894	2.48382	1.10609	2.4842	0.624697	5.75324	0.877418	8.03242	1.25696	10.7587	0.415346	3.8403	1.15352	2.72438	0.930163	8.54273	1.10964	9.88229
1.10555	2.48427	1.10272	2.48467	0.627195	5.70047	0.878145	7.93424	1.25706	10.6282	0.418367	3.81728	1.15124	2.7283	0.931786	8.44567	1.10999	9.84378
1.10218	2.48475	1.09936	2.48518	0.629676	5.64891	0.878901	7.83884	1.25717	10.501	0.421364	3.79466	1.14897	2.73227	0.933396	8.35102	1.11036	9.80232
1.09882	2.48526	1.096	2.48571	0.63214	5.59852	0.879686	7.74612	1.25727	10.3926	0.424338	3.7724	1.14672	2.7363	0.934995	8.25867	1.11088	9.74658
1.09547	2.4858	1.09267	2.48628	0.634585	5.54924	0.880502	7.656	1.25735	10.302	0.427287	3.7505	1.14447	2.74038	0.93658	8.16853	1.11155	9.67715
1.09213	2.48637	1.08934	2.48687	0.637012	5.50103	0.881348	7.56837	1.25742	10.2282	0.430211	3.72892	1.14224	2.74451	0.938152	8.08052	1.11237	9.59474
