Sym0		Sym1		Sym2		Sym3		Sym4		Sym5		Sym6		Sym7		Asym1		Asym2		Asym3		Asym4		Asym5		Asym6		Asym7	
311  Points		310  Points		303  Points		293  Points		285  Points		218  Points		177  Points		105  Points		310  Points		304  Points		296  Points		257  Points		217  Points		179  Points		105  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
2.20148	2.49768	2.20086	2.49771	0.469745	1019.29	0.866031	413.827	1.29904	52502.9	1.4092	1186.33	1.73205	945.365	2.16506	17934.8	0.216554	192.198	0.649518	595.556	0.939461	9898.04	1.08253	1389.92	1.51554	1108.71	1.87894	715.847	1.94856	11752.3
2.19456	2.49802	2.19394	2.49805	0.470489	140.305	0.86606	173.726	1.29903	445.296	1.40932	345.392	1.73207	366.604	2.16506	718.528	0.217107	54.0176	0.649503	163.066	0.939526	314.497	1.08257	294.873	1.51555	355.812	1.87902	340.571	1.94858	637.148
2.18765	2.49838	2.18704	2.49842	0.472259	75.6122	0.866113	109.945	1.29899	223.59	1.40956	202.151	1.73209	227.395	2.16506	366.608	0.218274	31.5804	0.649472	94.4611	0.939712	159.819	1.08266	164.945	1.51556	211.91	1.87914	223.448	1.94863	327.459
2.18075	2.49876	2.18014	2.4988	0.474852	51.963	0.86619	80.425	1.29892	149.265	1.40994	142.919	1.73213	164.815	2.16506	246.082	0.220033	22.4428	0.649425	66.4848	0.940019	107.157	1.0828	114.507	1.51558	150.888	1.87932	166.279	1.94871	220.362
2.17387	2.49916	2.17326	2.4992	0.478062	39.7366	0.86629	63.4058	1.29884	112.021	1.41043	110.555	1.73218	129.247	2.16506	185.196	0.222356	17.513	0.649364	51.2906	0.940446	80.6225	1.083	87.7011	1.5156	117.154	1.87954	132.412	1.94883	166.06
2.167	2.49958	2.16639	2.49962	0.481723	32.2801	0.866416	52.3353	1.29873	89.6472	1.41106	90.1621	1.73224	106.308	2.16505	148.463	0.225208	14.4465	0.64929	41.747	0.940991	64.6406	1.08324	71.0733	1.51562	95.7479	1.87982	110.014	1.94898	133.235
2.16015	2.50001	2.15954	2.50005	0.485717	27.2634	0.866568	44.5592	1.2986	74.7198	1.41181	76.1381	1.73232	90.286	2.16505	123.89	0.228095	12.5952	0.649204	35.1959	0.941652	53.9636	1.08354	59.753	1.51566	80.9568	1.88015	94.1033	1.94917	111.25
2.15331	2.50047	2.1527	2.50051	0.489963	23.6604	0.866745	38.7978	1.29845	64.0511	1.41268	65.9046	1.7324	78.4622	2.16505	106.296	0.230828	11.3942	0.649109	30.4204	0.942427	46.3286	1.0839	51.5498	1.51569	70.1247	1.88052	82.2191	1.94939	95.4967
