Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Sym5		Sym6		Asym1		Asym2		Asym3		Asym4		Asym5		Asym6		Asym7		Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Sym5		Sym6		Asym1		Asym2		Asym3		Asym4		Asym5		Asym6		Asym7	
378  Points		427  Points		379  Points		366  Points		321  Points		301  Points		270  Points		219  Points		376  Points		375  Points		348  Points		301  Points		271  Points		215  Points		146  Points		378  Points		427  Points		379  Points		366  Points		321  Points		301  Points		270  Points		219  Points		376  Points		375  Points		348  Points		301  Points		271  Points		215  Points		146  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.279326	186.819	0.000597657	0.150697	1.40211	2.20029	0.292845	358.126	0.559022	409.117	0.838524	836.713	0.878351	800.254	1.11804	678.022	0.139781	167.376	0.419263	4361.43	0.585561	2866.5	0.698773	1028.33	0.97828	3992.78	1.17113	874.36	1.25779	5869.83	0.279326	186.819	0.000597657	0.150697	1.40211	2.20029	0.292845	358.126	0.559022	409.117	0.838524	836.713	0.878351	800.254	1.11804	678.022	0.139781	167.376	0.419263	4361.43	0.585561	2866.5	0.698773	1028.33	0.97828	3992.78	1.17113	874.36	1.25779	5869.83
0.278715	87.017	0.00121793	0.21466	1.39835	2.20029	0.293372	116.162	0.559044	181.848	0.838515	309.416	0.878406	313.111	1.11805	333.071	0.139998	55.0531	0.419267	232.415	0.585587	306.253	0.698792	292.706	0.978284	500.955	1.17115	384.333	1.25779	654.384	0.278715	87.017	0.00121793	0.21466	1.39835	2.20029	0.293372	116.162	0.559044	181.848	0.838515	309.416	0.878406	313.111	1.11805	333.071	0.139998	55.0531	0.419267	232.415	0.585587	306.253	0.698792	292.706	0.978284	500.955	1.17115	384.333	1.25779	654.384
0.277782	56.5653	0.00204938	0.277635	1.39459	2.2003	0.294347	69.5304	0.559083	116.913	0.838498	189.799	0.878509	194.651	1.11807	220.761	0.140432	33.0367	0.419279	119.392	0.585656	161.787	0.698831	170.647	0.978296	267.246	1.1712	246.306	1.25781	346.511	0.277782	56.5653	0.00204938	0.277635	1.39459	2.2003	0.294347	69.5304	0.559083	116.913	0.838498	189.799	0.878509	194.651	1.11807	220.761	0.140432	33.0367	0.419279	119.392	0.585656	161.787	0.698831	170.647	0.978296	267.246	1.1712	246.306	1.25781	346.511
0.276642	41.7974	0.0030848	0.339384	1.39084	2.2003	0.295651	49.763	0.559139	86.1554	0.838472	136.879	0.87866	141.239	1.1181	165.096	0.141079	23.6766	0.419298	80.3314	0.585767	109.946	0.698892	120.436	0.978315	182.233	1.17127	181.23	1.25784	235.65	0.276642	41.7974	0.0030848	0.339384	1.39084	2.2003	0.295651	49.763	0.559139	86.1554	0.838472	136.879	0.87866	141.239	1.1181	165.096	0.141079	23.6766	0.419298	80.3314	0.585767	109.946	0.698892	120.436	0.978315	182.233	1.17127	181.23	1.25784	235.65
0.275381	33.073	0.00431587	0.39972	1.38708	2.2003	0.297185	38.8527	0.559212	68.2156	0.838439	107.033	0.878857	110.842	1.11814	131.852	0.141934	18.5137	0.419326	60.5312	0.585921	83.2797	0.698973	93.0621	0.978341	138.256	1.17136	143.361	1.25788	178.534	0.275381	33.073	0.00431587	0.39972	1.38708	2.2003	0.297185	38.8527	0.559212	68.2156	0.838439	107.033	0.878857	110.842	1.11814	131.852	0.141934	18.5137	0.419326	60.5312	0.585921	83.2797	0.698973	93.0621	0.978341	138.256	1.17136	143.361	1.25788	178.534
0.274056	27.3119	0.00573273	0.458432	1.38333	2.20031	0.298882	31.9426	0.559301	56.4635	0.838398	87.8706	0.879102	91.2243	1.11818	109.754	0.142989	15.2534	0.419361	48.5638	0.586116	67.0352	0.699076	75.8328	0.978374	111.38	1.17147	118.588	1.25793	143.707	0.274056	27.3119	0.00573273	0.458432	1.38333	2.20031	0.298882	31.9426	0.559301	56.4635	0.838398	87.8706	0.879102	91.2243	1.11818	109.754	0.142989	15.2534	0.419361	48.5638	0.586116	67.0352	0.699076	75.8328	0.978374	111.38	1.17147	118.588	1.25793	143.707
0.272702	23.2243	0.00732536	0.515403	1.37957	2.20032	0.300698	27.1764	0.559408	48.1693	0.838351	74.526	0.879393	77.5169	1.11824	94.0019	0.144235	13.0151	0.419404	40.5493	0.586353	56.1038	0.699199	63.9913	0.978414	93.2537	1.1716	101.119	1.25799	120.252	0.272702	23.2243	0.00732536	0.515403	1.37957	2.20032	0.300698	27.1764	0.559408	48.1693	0.838351	74.526	0.879393	77.5169	1.11824	94.0019	0.144235	13.0151	0.419404	40.5493	0.586353	56.1038	0.699199	63.9913	0.978414	93.2537	1.1716	101.119	1.25799	120.252
0.271344	20.1743	0.00908309	0.57052	1.37582	2.20032	0.302606	23.692	0.559532	42.0031	0.838298	64.6988	0.87973	67.4	1.1183	82.2055	0.145662	11.3888	0.419456	34.807	0.586632	48.2465	0.699344	55.3528	0.978461	80.2031	1.17176	88.1404	1.25806	103.382	0.271344	20.1743	0.00908309	0.57052	1.37582	2.20032	0.302606	23.692	0.559532	42.0031	0.838298	64.6988	0.87973	67.4	1.1183	82.2055	0.145662	11.3888	0.419456	34.807	0.586632	48.2465	0.699344	55.3528	0.978461	80.2031	1.17176	88.1404	1.25806	103.382
0.269996	17.8124	0.0109951	0.623708	1.37207	2.20033	0.304587	21.0346	0.559673	37.2395	0.83824	57.1601	0.880111	59.6274	1.11837	73.0411	0.14726	10.1575	0.419517	30.4909	0.586952	42.3276	0.69951	48.7731	0.978516	70.3583	1.17193	78.1181	1.25814	90.6642	0.269996	17.8124	0.0109951	0.623708	1.37207	2.20033	0.304587	21.0346	0.559673	37.2395	0.83824	57.1601	0.880111	59.6274	1.11837	73.0411	0.14726	10.1575	0.419517	30.4909	0.586952	42.3276	0.69951	48.7731	0.978516	70.3583	1.17193	78.1181	1.25814	90.6642
0.268671	15.9301	0.0130506	0.674927	1.36832	2.20035	0.306631	18.9417	0.559831	33.449	0.838177	51.1939	0.880537	53.4695	1.11845	65.7164	0.149019	9.19554	0.419586	27.1286	0.587313	37.7094	0.699697	43.595	0.978577	62.6673	1.17212	70.1456	1.25823	80.7347	0.268671	15.9301	0.0130506	0.674927	1.36832	2.20035	0.306631	18.9417	0.559831	33.449	0.838177	51.1939	0.880537	53.4695	1.11845	65.7164	0.149019	9.19554	0.419586	27.1286	0.587313	37.7094	0.699697	43.595	0.978577	62.6673	1.17212	70.1456	1.25823	80.7347
0.267375	14.3956	0.0152395	0.724167	1.36457	2.20036	0.308726	17.2512	0.560006	30.3614	0.838109	46.3545	0.881006	48.4712	1.11854	59.7282	0.150673	8.5156	0.419665	24.4355	0.587714	34.0063	0.699905	39.414	0.978646	56.4932	1.17234	63.6528	1.25833	72.7672	0.267375	14.3956	0.0152395	0.724167	1.36457	2.20036	0.308726	17.2512	0.560006	30.3614	0.838109	46.3545	0.881006	48.4712	1.11854	59.7282	0.150673	8.5156	0.419665	24.4355	0.587714	34.0063	0.699905	39.414	0.978646	56.4932	1.17234	63.6528	1.25833	72.7672
0.266115	13.1212	0.0175513	0.771419	1.36082	2.20037	0.310868	15.8576	0.560199	27.798	0.838039	42.3504	0.881517	44.3337	1.11864	54.7412	0.152168	8.0247	0.419754	22.2301	0.588155	30.9713	0.700135	35.9678	0.978723	51.4276	1.17257	58.2629	1.25844	66.2325	0.266115	13.1212	0.0175513	0.771419	1.36082	2.20037	0.310868	15.8576	0.560199	27.798	0.838039	42.3504	0.881517	44.3337	1.11864	54.7412	0.152168	8.0247	0.419754	22.2301	0.588155	30.9713	0.700135	35.9678	0.978723	51.4276	1.17257	58.2629	1.25844	66.2325
0.264895	12.0467	0.0199768	0.816719	1.35707	2.20039	0.313052	14.6893	0.56041	25.636	0.837967	38.9824	0.882069	40.8526	1.11875	50.524	0.153459	7.66854	0.419853	20.3911	0.588636	28.439	0.700387	33.0786	0.978806	47.1966	1.17283	53.7172	1.25856	60.7762	0.264895	12.0467	0.0199768	0.816719	1.35707	2.20039	0.313052	14.6893	0.56041	25.636	0.837967	38.9824	0.882069	40.8526	1.11875	50.524	0.153459	7.66854	0.419853	20.3911	0.588636	28.439	0.700387	33.0786	0.978806	47.1966	1.17283	53.7172	1.25856	60.7762
0.263719	11.1289	0.0225069	0.860103	1.35333	2.20041	0.315273	13.696	0.560638	23.788	0.837894	36.11	0.882662	37.8836	1.11886	46.911	0.154514	7.41393	0.419962	18.8342	0.589156	26.2946	0.70066	30.6216	0.978897	43.6098	1.1731	49.8319	1.2587	56.1518	0.263719	11.1289	0.0225069	0.860103	1.35333	2.20041	0.315273	13.696	0.560638	23.788	0.837894	36.11	0.882662	37.8836	1.11886	46.911	0.154514	7.41393	0.419962	18.8342	0.589156	26.2946	0.70066	30.6216	0.978897	43.6098	1.1731	49.8319	1.2587	56.1518
0.26259	10.3363	0.0251331	0.901619	1.34958	2.20043	0.31753	12.8413	0.560885	22.1904	0.83782	33.6316	0.883294	35.3217	1.11898	43.7812	0.155308	7.24013	0.420083	17.4993	0.589715	24.4554	0.700955	28.5068	0.978995	40.5304	1.1734	46.4731	1.25884	52.1826	0.26259	10.3363	0.0251331	0.901619	1.34958	2.20043	0.31753	12.8413	0.560885	22.1904	0.83782	33.6316	0.883294	35.3217	1.11898	43.7812	0.155308	7.24013	0.420083	17.4993	0.589715	24.4554	0.700955	28.5068	0.978995	40.5304	1.1734	46.4731	1.25884	52.1826
